model,attack,true_class,target_class,original_pred_class,adversarial_pred_class,first_success_iter,attack_successful,psnr_score,ssim_score,ergas_score,adversarial_image_path,original_probs,adversarial_probs,dataset_index
mobilenet_imagenet20,fgsm,0,3,0,3,1.0,True,85.73505401611328,0.9999962449073792,1317612.5,results/adversarial_images/adv_fgsm_src0_tgt3_idx0.png,"[0.9970968961715698, 0.00010146907879970968, 8.848724064591806e-06, 0.0007951902807690203, 5.617705755867064e-05, 3.8464680983452126e-05, 3.470764931989834e-05, 4.8898647946771234e-05, 7.625266880495474e-05, 2.9783866921206936e-05, 2.546626092225779e-05, 0.00015519800945185125, 2.1203353753662668e-05, 0.001269762055017054, 2.5793568056542426e-05, 5.4005111451260746e-05, 2.472086634952575e-05, 4.416301817400381e-05, 5.923551361775026e-05, 3.375183223397471e-05]","[0.00020487362053245306, 5.023905760026537e-05, 2.676709118532017e-05, 0.9983982443809509, 0.0001012403445201926, 5.153963866177946e-05, 4.212343628751114e-05, 4.887257455266081e-05, 0.00018429035844746977, 5.993060040054843e-05, 2.15246036532335e-05, 2.0781104467459954e-05, 1.4858356735203415e-05, 0.00031872172257862985, 2.058456993836444e-05, 4.466645623324439e-05, 0.0001325005869148299, 5.1919258112320676e-05, 7.288647611858323e-05, 0.00013329765351954848]",0
mobilenet_imagenet20,fgsm,0,11,0,11,4.0,True,85.64140319824219,0.999996542930603,769384.4375,results/adversarial_images/adv_fgsm_src0_tgt11_idx1.png,"[0.9996386766433716, 1.1396089576010127e-05, 1.2707329915429e-05, 9.709367986943107e-06, 4.112373062525876e-06, 8.284415343950968e-06, 7.530502443842124e-06, 2.6050497581309173e-06, 1.4362426554725971e-05, 2.1911451767664403e-05, 1.405198963766452e-05, 8.114151569316164e-06, 5.254244024399668e-05, 1.748599788697902e-05, 7.396669388981536e-06, 0.00010358911094954237, 1.5190867088676896e-05, 1.654646075621713e-05, 2.881956061173696e-05, 4.951399660058087e-06]","[0.0005257861921563745, 8.796255860943347e-05, 2.483351454429794e-05, 0.0001159574167104438, 0.0003262892132624984, 1.548719774291385e-05, 7.767118950141594e-05, 2.8568074412760325e-05, 2.907280213548802e-05, 9.530640818411484e-05, 4.9592646973906085e-05, 0.9977821707725525, 0.0002550551143940538, 0.00022470658586826175, 4.893925506621599e-05, 3.664475661935285e-05, 4.04887723561842e-05, 5.9541886002989486e-05, 0.00011057846859330311, 6.532403494929895e-05]",1
mobilenet_imagenet20,fgsm,0,17,0,0,4.0,False,86.0067138671875,0.9999966621398926,1043041.1875,results/adversarial_images/adv_fgsm_src0_tgt17_idx2.png,"[0.9968309998512268, 0.00011608964268816635, 2.451532600389328e-05, 0.0012232766021043062, 0.00010618923261063173, 6.788653990952298e-05, 4.922163498122245e-05, 5.386558405007236e-05, 4.810614336747676e-05, 4.394482311909087e-05, 4.464702578843571e-05, 0.0003514978743623942, 1.8335460481466725e-05, 0.0005391911254264414, 3.9161557651823387e-05, 6.419607234420255e-05, 9.977334411814809e-05, 5.952348874416202e-05, 5.690120451617986e-05, 0.00016260755364783108]","[0.9034085273742676, 8.967601752374321e-05, 0.0006643660017289221, 0.010474796406924725, 0.00017810564895626158, 0.0001362017064820975, 0.00016205495921894908, 0.00013689801562577486, 0.00012509230873547494, 0.0013870776165276766, 0.00016034957661759108, 0.00018072966486215591, 0.00010076980834128335, 0.0004934185417369008, 7.707125041633844e-05, 0.0012329784221947193, 0.00030179854365997016, 0.07110728323459625, 0.0006045877235010266, 0.008978141471743584]",2
mobilenet_imagenet20,fgsm,0,15,0,0,10.0,False,85.93865203857422,0.9999967813491821,1287087.375,results/adversarial_images/adv_fgsm_src0_tgt15_idx3.png,"[0.9997933506965637, 9.78205025603529e-06, 5.815593794977758e-06, 1.7726119040162303e-05, 8.672030162415467e-06, 1.0204934369539842e-05, 2.1775507775601e-05, 7.5737384577223565e-06, 1.0796736205520574e-05, 1.105899536923971e-05, 7.984981493791565e-06, 1.870953565230593e-05, 1.3551870324590709e-05, 1.5873625670792535e-05, 6.757984465366462e-06, 5.030515239923261e-06, 9.518596016278025e-06, 8.838002941047307e-06, 9.715826308820397e-06, 7.237381851155078e-06]","[0.9127067923545837, 1.4918792658136226e-05, 0.00035467545967549086, 0.0002570461365394294, 0.00011679843737510964, 4.228593752486631e-05, 0.00035578341339714825, 0.00021147486404515803, 5.07566801388748e-05, 0.0005681115435436368, 0.00016771676018834114, 6.408210174413398e-05, 0.001879534567706287, 0.00012028349738102406, 4.381528924568556e-05, 0.07119293510913849, 0.00015098876610863954, 5.840119774802588e-05, 0.01161032821983099, 3.323077180539258e-05]",3
mobilenet_imagenet20,fgsm,0,19,0,19,1.0,True,85.93367767333984,0.9999967813491821,1287823.75,results/adversarial_images/adv_fgsm_src0_tgt19_idx4.png,"[0.9979782700538635, 4.6732824557693675e-05, 6.0766418755520135e-05, 0.00011548101610969752, 8.92209864105098e-05, 7.571627520519542e-06, 7.325370097532868e-05, 4.3560452468227595e-05, 3.675272819236852e-05, 0.00020294819842092693, 2.0188350390526466e-05, 4.3400224967626855e-05, 3.830301284324378e-05, 0.00024166957882698625, 3.6219840694684535e-05, 0.0002115437382599339, 9.789210162125528e-05, 0.00029104051645845175, 0.00020437577040866017, 0.00016074640734586865]","[4.57618489235756e-06, 8.39927452034317e-06, 8.611316843598615e-06, 2.202461701017455e-06, 5.8883006204268895e-06, 1.938003833856783e-06, 6.07160745857982e-06, 1.5253839364959276e-06, 4.067120244144462e-06, 2.0900092749798205e-06, 3.040829597011907e-06, 5.4942425776971504e-05, 2.1687521893909434e-06, 8.854391921886418e-07, 5.441053872345947e-06, 2.8770167773473077e-05, 1.0685595952963922e-05, 0.0009026016923598945, 2.198207403125707e-05, 0.998924195766449]",4
mobilenet_imagenet20,fgsm,0,16,0,16,3.0,True,85.79118347167969,0.9999966621398926,755578.0625,results/adversarial_images/adv_fgsm_src0_tgt16_idx5.png,"[0.9992976188659668, 2.0939722162438557e-05, 2.825926276273094e-05, 1.3274248885863926e-05, 2.2750826246920042e-05, 4.145559432799928e-05, 2.3223918105941266e-05, 4.063217784278095e-05, 7.944481694721617e-06, 3.629973070928827e-05, 1.635456646909006e-05, 3.075223139603622e-05, 4.074843673151918e-05, 5.3860832849750295e-05, 2.0883344404865056e-05, 8.556644024793059e-05, 4.339821316534653e-05, 2.8333417503745295e-05, 0.00011417952919146046, 3.352268322487362e-05]","[1.4836222362646367e-05, 3.7616271129081724e-06, 4.291101504350081e-06, 4.389868081489112e-06, 2.9401227948255837e-05, 2.768721060419921e-06, 7.049756277410779e-06, 7.998402725206688e-05, 1.7050715541699901e-06, 0.00011007846478605643, 7.065114914439619e-06, 2.1936000393907307e-06, 0.00010746319458121434, 0.00010103391105076298, 9.873073167909752e-07, 3.161895801895298e-05, 0.9992371797561646, 2.3884629172243876e-06, 0.00013024592772126198, 0.00012162471102783456]",5
mobilenet_imagenet20,fgsm,0,3,0,3,2.0,True,85.81773376464844,0.999996542930603,1305128.625,results/adversarial_images/adv_fgsm_src0_tgt3_idx6.png,"[0.9996169805526733, 2.1445539459818974e-05, 7.612030458403751e-06, 1.3446345292322803e-05, 9.804317414818797e-06, 7.903709956735838e-06, 2.7235952074988745e-05, 6.962240149732679e-06, 3.223725434509106e-05, 1.618095120647922e-05, 3.209721398889087e-05, 1.6832218534545973e-05, 1.906130819406826e-05, 1.898080518003553e-05, 2.8481908884714358e-05, 2.0745525034726597e-05, 2.462640986777842e-05, 2.2666323275188915e-05, 2.875038808269892e-05, 2.7915652026422322e-05]","[1.5894813259365037e-05, 1.6749368114687968e-06, 1.5470893686142517e-06, 0.999836802482605, 6.970426329644397e-05, 5.783529104519403e-06, 3.169998535668128e-06, 5.63855155633064e-06, 4.204029210086446e-06, 3.051186922675697e-06, 5.469373718369752e-06, 3.5478810787026305e-06, 8.617757885076571e-07, 5.369492555473698e-06, 3.0279275051725563e-06, 3.1719669095764402e-06, 4.370177521195728e-06, 5.663763658958487e-06, 1.0703010048018768e-05, 1.0244421901006717e-05]",6
mobilenet_imagenet20,fgsm,0,17,3,17,2.0,True,85.95806121826172,0.9999964237213135,741239.125,results/adversarial_images/adv_fgsm_src0_tgt17_idx7.png,"[0.09182532876729965, 0.013364812359213829, 0.0034582160878926516, 0.824488639831543, 0.005025539081543684, 0.0021483346354216337, 0.002215254819020629, 0.0037009844090789557, 0.00427365954965353, 0.0023727205116301775, 0.0035572946071624756, 0.011498643085360527, 0.0017062656115740538, 0.005396770779043436, 0.004102885257452726, 0.004106516018509865, 0.001059718313626945, 0.010661400854587555, 0.0028444950003176928, 0.0021924395114183426]","[5.3872903663432226e-05, 9.021836376632564e-06, 2.1452429791679606e-05, 0.0010795717826113105, 1.6431968106189743e-05, 5.162664365343517e-06, 8.62017350300448e-06, 1.097517269954551e-05, 3.149206895614043e-05, 0.00017989396292250603, 4.2578096326906234e-05, 7.115483458619565e-05, 7.644242032256443e-06, 2.8779631975339726e-05, 1.2028409400954843e-05, 2.0353332729428075e-05, 1.2353565580269787e-05, 0.9983698725700378, 5.438771040644497e-06, 1.3239822692412417e-05]",7
mobilenet_imagenet20,fgsm,0,12,0,12,2.0,True,85.82778930664062,0.9999966621398926,1303618.5,results/adversarial_images/adv_fgsm_src0_tgt12_idx8.png,"[0.9878551363945007, 0.0003554165596142411, 0.00037882098695263267, 0.00037176397745497525, 0.00047190036275424063, 0.0005571067449636757, 0.00040662995888851583, 0.0002772204752545804, 0.0009441599249839783, 0.0013012780109420419, 0.0002580700966063887, 0.002665574662387371, 0.0003509882080834359, 0.00016156976926140487, 0.0016781920567154884, 0.0004187239974271506, 0.0003283132391516119, 0.0004921121872030199, 0.00040181708754971623, 0.0003251161833759397]","[2.88756509689847e-05, 1.276271518690919e-06, 8.276661560557841e-07, 3.145708546981041e-07, 1.0791599152071285e-06, 2.4055239578046894e-07, 3.683690579237009e-07, 9.31055694763927e-07, 1.8282520613865927e-05, 1.3689717661691247e-06, 5.503679290086438e-07, 1.3028444527662941e-06, 0.9999350309371948, 4.430380329267791e-07, 1.7245733943127561e-06, 1.7778755818653735e-06, 3.907568100203207e-07, 2.5035028556885663e-06, 1.3170961210562382e-06, 1.4346345551530248e-06]",8
mobilenet_imagenet20,fgsm,0,4,0,0,1.0,False,86.25934600830078,0.9999967813491821,3.8026702404022217,results/adversarial_images/adv_fgsm_src0_tgt4_idx9.png,"[0.9960057139396667, 5.6450837291777134e-05, 0.00022599162184633315, 0.00017726753139868379, 0.00023710590903647244, 0.00046726898290216923, 0.0001709282660158351, 9.050813969224691e-05, 0.0002360214275540784, 0.0004854074213653803, 0.0001707137271296233, 8.563797018723562e-05, 0.00013243618013802916, 0.0004787595244124532, 9.181637869914994e-05, 0.0001820455800043419, 0.00018132288823835552, 0.00011924013961106539, 0.00023345841327682137, 0.00017200785805471241]","[0.549673855304718, 0.00011144474410684779, 0.0008292575948871672, 0.0001785728964023292, 0.4429190456867218, 0.0025029832031577826, 0.00023893995967227966, 0.000349756155628711, 0.00010945985559374094, 0.0008221472962759435, 0.0004028629628010094, 6.691165617667139e-05, 4.865420487476513e-05, 0.0009730600286275148, 5.9369664086261764e-05, 3.950036261812784e-05, 0.00027301712543703616, 7.779549196129665e-05, 0.0001950676232809201, 0.00012824227451346815]",9
