model,attack,true_class,target_class,original_pred_class,adversarial_pred_class,first_success_iter,attack_successful,psnr_score,ssim_score,ergas_score,adversarial_image_path,original_probs,adversarial_probs,dataset_index
mobilenet_imagenet20,fgsm,0,12,0,12,2.0,True,85.6148681640625,0.9999961256980896,770626.25,results/adversarial_images/adv_fgsm_src0_tgt12_idx0.png,"[0.9922124743461609, 0.00013835911522619426, 0.0004910351126454771, 0.004972195252776146, 9.071198292076588e-05, 0.00015814689686521888, 5.664492346113548e-05, 0.00012058830179739743, 4.837884989683516e-05, 0.00013220864639151841, 0.00013981806114315987, 0.00033900782000273466, 0.00017533401842229068, 0.00012092410906916484, 3.16192745231092e-05, 0.00013143224350642413, 0.00019848174997605383, 0.00011709362297551706, 0.00020775511802639812, 0.00011783465015469119]","[0.0007285132887773216, 0.0004489644488785416, 0.00029888859717175364, 0.00020185313769616187, 0.00020486846915446222, 0.00010867592936847359, 0.00016631990729365498, 0.00032671456574462354, 9.106567449634895e-05, 0.0008442456019110978, 0.0006961885956116021, 0.000722471799235791, 0.9889801740646362, 0.0007342803291976452, 0.00034354181843809783, 0.0007544381078332663, 0.0010061684297397733, 0.0002673935960046947, 0.002688249573111534, 0.0003869486681651324]",0
mobilenet_imagenet20,fgsm,0,16,0,0,2.0,False,86.06163787841797,0.9999966621398926,1268989.125,results/adversarial_images/adv_fgsm_src0_tgt16_idx1.png,"[0.9983968138694763, 4.403488492243923e-05, 1.726435039017815e-05, 0.000561786990147084, 4.6631841541966423e-05, 4.298032945371233e-05, 6.183550431160256e-05, 3.648949132184498e-05, 5.478766979649663e-05, 1.4425756489799824e-05, 2.5317342078778893e-05, 0.0001808216329663992, 3.521158214425668e-05, 0.00022939058544579893, 3.423659291001968e-05, 9.092751133721322e-05, 1.3056869647698477e-05, 3.967463635490276e-05, 3.47758068528492e-05, 3.9560534787597135e-05]","[0.558210015296936, 0.0018238173797726631, 0.0005862262914888561, 0.0008441356476396322, 0.0009620212949812412, 0.0012918495340272784, 0.004722213372588158, 0.002634745789691806, 0.001360114198178053, 0.0012624590890482068, 0.00039329679566435516, 0.012459400109946728, 0.0014970403863117099, 0.021421262994408607, 0.0013433557469397783, 0.0012252532178536057, 0.383489727973938, 0.0014946331502869725, 0.0016557126073166728, 0.0013227491872385144]",1
mobilenet_imagenet20,fgsm,0,2,0,2,4.0,True,85.81787109375,0.9999960064888,1065906.625,results/adversarial_images/adv_fgsm_src0_tgt2_idx2.png,"[0.999265730381012, 1.2124605746066663e-05, 5.621488071483327e-06, 0.00017041499086190015, 1.0401598956377711e-05, 3.922109681298025e-05, 7.747472409391776e-06, 6.807303179812152e-06, 6.0511292758747e-06, 2.8792421744583407e-06, 1.6217478332691826e-05, 3.879204086842947e-05, 5.286397026793566e-06, 1.091723061108496e-05, 4.591850029100897e-06, 1.2270206752873491e-05, 1.1164407624164596e-05, 5.940190749242902e-05, 1.5370618712040596e-05, 0.0002988640917465091]","[2.7248377591604367e-05, 6.214288077899255e-06, 0.9997268319129944, 3.438190105953254e-05, 2.1207339159445837e-05, 3.928525620722212e-05, 4.045234163640998e-06, 8.946987691160757e-06, 9.97255597212643e-07, 1.3012080671614967e-05, 2.209109425166389e-06, 1.2107595466659404e-05, 1.2813541161449393e-06, 1.106137005990604e-05, 1.0060323347715894e-06, 9.552144547342323e-06, 2.77712333627278e-05, 2.4706090698600747e-05, 1.3931238754594233e-05, 1.4171637303661555e-05]",2
mobilenet_imagenet20,fgsm,0,6,0,6,2.0,True,85.97012329101562,0.9999964237213135,1282430.625,results/adversarial_images/adv_fgsm_src0_tgt6_idx3.png,"[0.997897744178772, 0.0002516777894925326, 2.3544671421404928e-05, 0.0001593614142620936, 2.14961328310892e-05, 5.016428622184321e-05, 1.896564026537817e-05, 3.786158049479127e-05, 3.4970191336469725e-05, 0.00010126277629751712, 2.974724702653475e-05, 0.00011963515862589702, 1.2681074622378219e-05, 0.00041626679012551904, 1.2991841686016414e-05, 1.8069204088533297e-05, 0.00020554393995553255, 0.00028362468583509326, 3.119239045190625e-05, 0.00027314157341606915]","[0.05174386501312256, 0.00037994966260157526, 0.00021799455862492323, 0.0005467907758429646, 0.0002894959761761129, 0.00046403694432228804, 0.933030366897583, 0.0003744193818420172, 0.0007813440170139074, 0.00044062218512408435, 0.0001877666509244591, 7.74386862758547e-05, 0.00010311514051863924, 0.00799635425209999, 9.180534834740683e-05, 0.0003603808581829071, 0.0007961638038977981, 0.0010402397019788623, 0.0003846194304060191, 0.0006933301920071244]",3
mobilenet_imagenet20,fgsm,0,6,0,6,4.0,True,86.0628890991211,0.999996542930603,732018.875,results/adversarial_images/adv_fgsm_src0_tgt6_idx4.png,"[0.9939563870429993, 0.00015116743452381343, 3.696788553497754e-05, 0.00010251244384562597, 2.2881691620568745e-05, 0.00024679445778019726, 6.667813431704417e-05, 0.0007088776328600943, 0.00013772040256299078, 6.433328962884843e-05, 3.38637109962292e-05, 0.0003098647284787148, 2.084788866341114e-05, 0.003414164762943983, 0.000167624035384506, 3.0413506465265527e-05, 4.3484273192007095e-05, 0.00011974808148806915, 7.484430534532294e-05, 0.0002908958704210818]","[0.21770642697811127, 0.012425494380295277, 0.037339940667152405, 0.001694575883448124, 0.01029939018189907, 0.05073750019073486, 0.2694527804851532, 0.006948508787900209, 0.09945247322320938, 0.009560300968587399, 0.07623354345560074, 0.012087703682482243, 0.006771351210772991, 0.07484177500009537, 0.019903000444173813, 0.01955226995050907, 0.002346764085814357, 0.008258510380983353, 0.032369017601013184, 0.03201861307024956]",4
mobilenet_imagenet20,fgsm,0,17,0,0,4.0,False,86.01608276367188,0.9999966621398926,1275663.625,results/adversarial_images/adv_fgsm_src0_tgt17_idx5.png,"[0.9980819225311279, 0.00016251315537374467, 2.673322887858376e-05, 0.0005750033888034523, 3.402317452128045e-05, 4.0207374695455655e-05, 5.4472635383717716e-05, 2.858262632798869e-05, 0.00015106530918274075, 0.00014947971794754267, 2.0139503249083646e-05, 5.1805727707687765e-05, 6.344242137856781e-05, 5.9178226365474984e-05, 6.774530629627407e-05, 7.338808791246265e-05, 0.00012319834786467254, 7.019750773906708e-05, 0.00010663129069143906, 6.030324220773764e-05]","[0.8596954941749573, 0.00011551939678611234, 3.9182876207632944e-05, 0.00264493259601295, 4.179847383056767e-05, 3.564318467397243e-05, 0.00017557163664605469, 2.4982369723147713e-05, 3.1292955100070685e-05, 7.674334483454004e-05, 2.1559433662332594e-05, 1.9564542526495643e-05, 3.687819844344631e-05, 4.944599641021341e-05, 9.754263373906724e-06, 0.0010673889191821218, 9.957483416656032e-05, 0.13533514738082886, 0.0002603403991088271, 0.00021912679949309677]",5
mobilenet_imagenet20,fgsm,0,8,0,8,2.0,True,85.64830017089844,0.9999960064888,1330839.25,results/adversarial_images/adv_fgsm_src0_tgt8_idx6.png,"[0.9982717037200928, 5.715069710277021e-05, 3.658948844531551e-05, 0.0008928292663767934, 5.432956822915003e-05, 4.9294420023215935e-05, 3.303549237898551e-05, 6.91584064043127e-05, 3.25676410284359e-05, 1.3854626558895689e-05, 2.8809588911826722e-05, 5.763294029748067e-05, 4.548713332042098e-05, 0.00013934697199147195, 1.9543875168892555e-05, 4.368776717456058e-05, 2.959254925372079e-05, 4.288511991035193e-05, 3.373215804458596e-05, 4.8676563892513514e-05]","[0.024093449115753174, 0.0004053501470480114, 0.0007673202781006694, 0.02533539943397045, 0.010194307193160057, 0.0003534469869919121, 0.0009431668440811336, 0.00382774299941957, 0.9136719703674316, 0.001559220952913165, 0.0021120142191648483, 0.0008920948603190482, 0.0005050539039075375, 0.009437408298254013, 0.002622242784127593, 0.000711232190951705, 0.0008018516236916184, 0.0005474398494698107, 0.0010610511526465416, 0.0001581872347742319]",6
mobilenet_imagenet20,fgsm,0,1,0,1,1.0,True,85.8542709350586,0.9999962449073792,1299650.125,results/adversarial_images/adv_fgsm_src0_tgt1_idx7.png,"[0.9935364127159119, 0.0007915687747299671, 0.0001012458887998946, 0.0017261616885662079, 0.00011178643035236746, 5.116169631946832e-05, 0.00010483832011232153, 0.0005255461437627673, 5.588561907643452e-05, 0.00012455119576770812, 4.296729093766771e-05, 0.0012196762254461646, 0.00011113503569504246, 0.00047034499584697187, 0.00020091932674404234, 0.00018017867114394903, 0.0002458195958752185, 0.0001702330046100542, 0.00016519466589670628, 6.440971628762782e-05]","[4.151235043536872e-05, 0.999813973903656, 3.733297489816323e-06, 5.1146304031135514e-05, 6.931292773515452e-06, 3.6913413623551605e-06, 2.382763796049403e-06, 9.03788622963475e-06, 2.4966791443148395e-06, 7.366327736235689e-06, 6.439167350436037e-07, 5.051305834058439e-06, 1.1848649137391476e-06, 3.5443656088318676e-05, 1.0145643045689212e-06, 3.07590676129621e-06, 3.880116310028825e-06, 1.6756700915721012e-06, 4.210926817904692e-06, 1.691247916824068e-06]",7
mobilenet_imagenet20,fgsm,0,6,0,6,2.0,True,85.92678833007812,0.9999964237213135,744649.4375,results/adversarial_images/adv_fgsm_src0_tgt6_idx8.png,"[0.9191073179244995, 0.004120411816984415, 0.000496252323500812, 0.00045402467367239296, 0.0004244463052600622, 0.0008928428869694471, 0.0005684110801666975, 0.00020765959925483912, 0.0002907055022660643, 0.002229556441307068, 0.0009111748659051955, 0.0014304163632914424, 0.001198657788336277, 0.05016498640179634, 0.0008497592061758041, 0.0031405568588525057, 0.004679505713284016, 0.0018116029677912593, 0.005439156666398048, 0.0015826033195480704]","[0.0003192713775206357, 8.563931623939425e-05, 1.2179655641375575e-05, 1.4947095223760698e-05, 1.72545260284096e-05, 2.1617212041746825e-05, 0.998711347579956, 9.834719094214961e-06, 1.1030193491023965e-05, 7.290265784831718e-05, 5.0487364205764607e-05, 0.00010301984730176628, 4.85322525491938e-05, 5.635399429593235e-05, 8.951232302933931e-06, 0.00013700441922992468, 1.8688950149226002e-05, 1.287037866859464e-05, 0.00022519100457429886, 6.287611904554069e-05]",8
mobilenet_imagenet20,fgsm,0,14,0,0,3.0,False,86.03125762939453,0.9999964237213135,1273438.375,results/adversarial_images/adv_fgsm_src0_tgt14_idx9.png,"[0.998820960521698, 5.397039058152586e-05, 5.891852197237313e-05, 8.181961311493069e-05, 2.06886361411307e-05, 0.0001279236312257126, 5.0836541049648076e-05, 1.794954005163163e-05, 5.379890353651717e-05, 3.1605668482370675e-05, 0.00016214564675465226, 6.973637937335297e-05, 3.941454633604735e-05, 9.948480874300003e-05, 2.9855607863282785e-05, 7.067390833981335e-05, 2.7353939003660344e-05, 8.326960960403085e-05, 4.1961451643146574e-05, 5.752656579716131e-05]","[0.6228551268577576, 0.0006486923084594309, 0.0006940254825167358, 0.0019200497772544622, 0.0003901234595105052, 0.00033524667378515005, 0.0019984589889645576, 0.0004910707357339561, 0.006273559760302305, 0.0005056742229498923, 0.0019042394123971462, 0.0015316616045311093, 0.0009709310252219439, 0.0007841209881007671, 0.35518115758895874, 0.000627592031378299, 0.0003157044993713498, 0.0009756551589816809, 0.0010603921255096793, 0.0005364596727304161]",9
mobilenet_imagenet20,fgsm,0,8,0,8,2.0,True,85.84725952148438,0.9999964237213135,1063457.75,results/adversarial_images/adv_fgsm_src0_tgt8_idx10.png,"[0.9986193180084229, 6.336789374472573e-05, 0.00011483869457151741, 0.00012547022197395563, 2.4230024791904725e-05, 1.9938373952754773e-05, 7.020831981208175e-05, 9.427764780411962e-06, 6.651698640780523e-05, 2.5036100851139054e-05, 4.8879293899517506e-05, 4.4048352719983086e-05, 1.1766097486543003e-05, 2.0912839318043552e-05, 4.766715210280381e-05, 2.9457738492055796e-05, 6.640682113356888e-05, 0.00010844727512449026, 6.233294698176906e-05, 0.0004217813548166305]","[0.00018087004718836397, 8.34703168948181e-05, 1.9230972611694597e-05, 9.381687414133921e-05, 4.797138171852566e-05, 0.0003717308572959155, 2.667332228156738e-05, 2.2295471353572793e-05, 0.9941362142562866, 0.0007584509439766407, 2.56222156167496e-05, 8.768134284764528e-05, 1.972885729628615e-05, 0.00023735543072689325, 0.00010278525587636977, 4.317792991059832e-05, 0.0012377966195344925, 0.0003421239962335676, 3.909724546247162e-05, 0.002123913262039423]",10
mobilenet_imagenet20,fgsm,0,4,0,4,2.0,True,85.79483032226562,0.999996542930603,1308574.75,results/adversarial_images/adv_fgsm_src0_tgt4_idx11.png,"[0.9937353730201721, 0.000492850027512759, 7.351695239776745e-05, 0.003689518431201577, 0.0001493780582677573, 0.00026396947214379907, 0.00010169159213546664, 9.18222576729022e-05, 9.616265742806718e-05, 8.270409307442605e-05, 4.604976129485294e-05, 0.00010994612239301205, 9.796004451345652e-05, 0.00010044436203315854, 5.164278263691813e-05, 0.000208123994525522, 0.00011467529839137569, 0.0001553609035909176, 0.0002009273594012484, 0.0001378199813188985]","[5.7059511163970456e-05, 3.7656043332390254e-06, 4.632329364540055e-06, 0.00013513567682821304, 0.9997252821922302, 2.9985219498485094e-06, 1.502940790487628e-06, 1.4644350585513166e-06, 6.986225002947322e-07, 3.2320863283530343e-06, 1.4473226883637835e-06, 3.301704055047594e-06, 4.588013666761981e-07, 2.171919186366722e-05, 1.877419606444164e-07, 1.4953155186958611e-05, 2.2787394300394226e-06, 3.0381670512724668e-06, 5.85354064241983e-06, 1.0909841876127757e-05]",11
