model,attack,true_class,target_class,original_pred_class,adversarial_pred_class,first_success_iter,attack_successful,psnr_score,ssim_score,ergas_score,adversarial_image_path,original_probs,adversarial_probs,dataset_index
mobilenet_imagenet20,pgd,0,4,0,4,29.0,True,90.6100845336914,0.9999987483024597,435767.125,results/adversarial_images/adv_pgd_src0_tgt4_idx0.png,"[0.9922124743461609, 0.00013835911522619426, 0.0004910351126454771, 0.004972195252776146, 9.071198292076588e-05, 0.00015814689686521888, 5.664492346113548e-05, 0.00012058830179739743, 4.837884989683516e-05, 0.00013220864639151841, 0.00013981806114315987, 0.00033900782000273466, 0.00017533401842229068, 0.00012092410906916484, 3.16192745231092e-05, 0.00013143224350642413, 0.00019848174997605383, 0.00011709362297551706, 0.00020775511802639812, 0.00011783465015469119]","[0.003944260999560356, 0.0011109246406704187, 0.0014950010227039456, 0.0034169647842645645, 0.9671005606651306, 0.0023175941314548254, 0.000450444029411301, 0.0057883900590240955, 0.0007844443898648024, 0.0011989413760602474, 0.0011361166834831238, 0.0027425687294453382, 0.0008210665546357632, 0.00212766882032156, 0.00037130387499928474, 0.00051901611732319, 0.0016842943150550127, 0.0005004563136026263, 0.0020657521672546864, 0.0004242664435878396]",0
mobilenet_imagenet20,pgd,0,9,0,9,19.0,True,91.39744567871094,0.9999991655349731,686543.4375,results/adversarial_images/adv_pgd_src0_tgt9_idx1.png,"[0.9983968138694763, 4.403488492243923e-05, 1.726435039017815e-05, 0.000561786990147084, 4.6631841541966423e-05, 4.298032945371233e-05, 6.183550431160256e-05, 3.648949132184498e-05, 5.478766979649663e-05, 1.4425756489799824e-05, 2.5317342078778893e-05, 0.0001808216329663992, 3.521158214425668e-05, 0.00022939058544579893, 3.423659291001968e-05, 9.092751133721322e-05, 1.3056869647698477e-05, 3.967463635490276e-05, 3.47758068528492e-05, 3.9560534787597135e-05]","[0.0002825181290972978, 2.2564354367204942e-05, 0.00012495879491325468, 5.937633977737278e-05, 0.00014612269296776503, 4.3526084482437e-05, 7.635074871359393e-05, 1.1070138498325832e-05, 7.677599205635488e-05, 0.9972375631332397, 0.00014803688100073487, 1.5226625691866502e-05, 4.202706622891128e-05, 0.00014849855506327003, 1.945608528330922e-05, 0.0005796887562610209, 6.505171040771529e-05, 0.0005427426658570766, 0.0003143378999084234, 4.410623660078272e-05]",1
mobilenet_imagenet20,pgd,0,13,0,13,18.0,True,90.9451904296875,0.999998927116394,590617.1875,results/adversarial_images/adv_pgd_src0_tgt13_idx2.png,"[0.999265730381012, 1.2124605746066663e-05, 5.621488071483327e-06, 0.00017041499086190015, 1.0401598956377711e-05, 3.922109681298025e-05, 7.747472409391776e-06, 6.807303179812152e-06, 6.0511292758747e-06, 2.8792421744583407e-06, 1.6217478332691826e-05, 3.879204086842947e-05, 5.286397026793566e-06, 1.091723061108496e-05, 4.591850029100897e-06, 1.2270206752873491e-05, 1.1164407624164596e-05, 5.940190749242902e-05, 1.5370618712040596e-05, 0.0002988640917465091]","[4.0868222583867464e-08, 2.144789679192627e-09, 1.707781582815926e-09, 5.025085059173762e-08, 2.016032318863381e-08, 2.1245915249323843e-08, 1.3195958770140237e-09, 5.003840009010219e-09, 3.4232479073637023e-09, 7.838225180023528e-09, 3.5110383489467267e-09, 1.1923518172807235e-08, 3.6206926345982993e-10, 0.9999997615814209, 1.222089762720202e-09, 1.5273778908309055e-09, 2.029535828285134e-08, 2.727488457310301e-08, 1.3562307943359997e-09, 4.186210933454504e-09]",2
mobilenet_imagenet20,pgd,0,10,0,10,20.0,True,91.35395050048828,0.9999991655349731,689989.6875,results/adversarial_images/adv_pgd_src0_tgt10_idx3.png,"[0.997897744178772, 0.0002516777894925326, 2.3544671421404928e-05, 0.0001593614142620936, 2.14961328310892e-05, 5.016428622184321e-05, 1.896564026537817e-05, 3.786158049479127e-05, 3.4970191336469725e-05, 0.00010126277629751712, 2.974724702653475e-05, 0.00011963515862589702, 1.2681074622378219e-05, 0.00041626679012551904, 1.2991841686016414e-05, 1.8069204088533297e-05, 0.00020554393995553255, 0.00028362468583509326, 3.119239045190625e-05, 0.00027314157341606915]","[9.926535312843043e-06, 2.9667976377822924e-06, 3.402323045520461e-06, 1.2008846397293382e-06, 4.053225438838126e-06, 5.25407187978999e-07, 1.9559561224014033e-06, 3.776740697958303e-07, 7.203953828138765e-06, 4.907163202005904e-06, 0.9998997449874878, 7.100821676431224e-06, 3.0602645892940927e-06, 5.643533768306952e-06, 1.4102121212999918e-06, 6.155290520837298e-06, 1.2247995073266793e-05, 1.5333271221606992e-05, 1.5955022263369756e-06, 1.1179186003573705e-05]",3
mobilenet_imagenet20,pgd,0,2,0,2,18.0,True,90.794189453125,0.999998927116394,425409.75,results/adversarial_images/adv_pgd_src0_tgt2_idx4.png,"[0.9939563870429993, 0.00015116743452381343, 3.696788553497754e-05, 0.00010251244384562597, 2.2881691620568745e-05, 0.00024679445778019726, 6.667813431704417e-05, 0.0007088776328600943, 0.00013772040256299078, 6.433328962884843e-05, 3.38637109962292e-05, 0.0003098647284787148, 2.084788866341114e-05, 0.003414164762943983, 0.000167624035384506, 3.0413506465265527e-05, 4.3484273192007095e-05, 0.00011974808148806915, 7.484430534532294e-05, 0.0002908958704210818]","[1.1363371044126325e-07, 2.0382982413025275e-08, 0.9999992847442627, 3.4931284531580786e-09, 3.823078031928162e-08, 8.643321081081012e-08, 4.665103414680516e-09, 6.907637128961142e-08, 5.125813551387637e-09, 4.260821384605151e-08, 2.5063358055632534e-09, 8.170818688313375e-09, 8.251947569704043e-09, 3.894906441814783e-08, 3.455600916524304e-09, 1.6283712156450747e-08, 1.9309560173041973e-08, 6.549618802864643e-08, 7.080351416277608e-09, 1.6694745852419146e-07]",4
mobilenet_imagenet20,pgd,0,9,0,9,16.0,True,91.9363784790039,0.9999993443489075,645240.3125,results/adversarial_images/adv_pgd_src0_tgt9_idx5.png,"[0.9980819225311279, 0.00016251315537374467, 2.673322887858376e-05, 0.0005750033888034523, 3.402317452128045e-05, 4.0207374695455655e-05, 5.4472635383717716e-05, 2.858262632798869e-05, 0.00015106530918274075, 0.00014947971794754267, 2.0139503249083646e-05, 5.1805727707687765e-05, 6.344242137856781e-05, 5.9178226365474984e-05, 6.774530629627407e-05, 7.338808791246265e-05, 0.00012319834786467254, 7.019750773906708e-05, 0.00010663129069143906, 6.030324220773764e-05]","[4.448931534284384e-08, 1.226243884211442e-09, 2.543505628338494e-09, 4.2646917108868365e-09, 4.3814174510714565e-09, 4.867967140498308e-10, 8.420729002978078e-09, 1.2545934291452454e-09, 5.2888098345249546e-09, 0.9999998807907104, 2.203821125590366e-09, 1.3265131215689507e-09, 1.90058919713465e-08, 2.3890388334280033e-08, 3.0708633413922826e-09, 1.2789286962799906e-08, 6.828219767385235e-08, 2.5858685859248e-08, 1.524458892454561e-09, 3.833571238232025e-09]",5
mobilenet_imagenet20,pgd,0,5,0,5,41.0,True,90.0827407836914,0.9999985098838806,798736.0625,results/adversarial_images/adv_pgd_src0_tgt5_idx6.png,"[0.9982717037200928, 5.715069710277021e-05, 3.658948844531551e-05, 0.0008928292663767934, 5.432956822915003e-05, 4.9294420023215935e-05, 3.303549237898551e-05, 6.91584064043127e-05, 3.25676410284359e-05, 1.3854626558895689e-05, 2.8809588911826722e-05, 5.763294029748067e-05, 4.548713332042098e-05, 0.00013934697199147195, 1.9543875168892555e-05, 4.368776717456058e-05, 2.959254925372079e-05, 4.288511991035193e-05, 3.373215804458596e-05, 4.8676563892513514e-05]","[0.013296992518007755, 0.0014614253304898739, 0.0008325898670591414, 0.008923373185098171, 0.006702414248138666, 0.9560098648071289, 0.002608275506645441, 0.0018797529628500342, 0.00036321423249319196, 0.00010863539500860497, 0.00034482154296711087, 0.00013789982767775655, 0.00020180136198177934, 0.001915259868837893, 6.512118125101551e-05, 0.001265385071747005, 0.0008587430929765105, 0.0005498542450368404, 0.0009751913603395224, 0.0014993422664701939]",6
mobilenet_imagenet20,pgd,0,6,0,6,12.0,True,91.42334747314453,0.9999991655349731,684499.0625,results/adversarial_images/adv_pgd_src0_tgt6_idx7.png,"[0.9935364127159119, 0.0007915687747299671, 0.0001012458887998946, 0.0017261616885662079, 0.00011178643035236746, 5.116169631946832e-05, 0.00010483832011232153, 0.0005255461437627673, 5.588561907643452e-05, 0.00012455119576770812, 4.296729093766771e-05, 0.0012196762254461646, 0.00011113503569504246, 0.00047034499584697187, 0.00020091932674404234, 0.00018017867114394903, 0.0002458195958752185, 0.0001702330046100542, 0.00016519466589670628, 6.440971628762782e-05]","[0.0002558139094617218, 0.0001879385526990518, 7.632842607563362e-05, 1.6432086340500973e-05, 8.141376747516915e-05, 2.16586486203596e-05, 0.9973673224449158, 0.00017415289767086506, 3.998093961854465e-05, 0.00027384591521695256, 5.155825783731416e-05, 4.390904359752312e-05, 0.0003329929313622415, 3.0016359232831746e-05, 0.00018552292021922767, 0.0001833087153499946, 0.00015823010471649468, 7.947868289193138e-05, 0.0003252382157370448, 0.0001149194868048653]",7
mobilenet_imagenet20,pgd,0,12,0,12,9.0,True,92.02734375,0.9999992251396179,368984.53125,results/adversarial_images/adv_pgd_src0_tgt12_idx8.png,"[0.9191073179244995, 0.004120411816984415, 0.000496252323500812, 0.00045402467367239296, 0.0004244463052600622, 0.0008928428869694471, 0.0005684110801666975, 0.00020765959925483912, 0.0002907055022660643, 0.002229556441307068, 0.0009111748659051955, 0.0014304163632914424, 0.001198657788336277, 0.05016498640179634, 0.0008497592061758041, 0.0031405568588525057, 0.004679505713284016, 0.0018116029677912593, 0.005439156666398048, 0.0015826033195480704]","[1.2963630169338103e-09, 1.3446505020553445e-09, 1.2731673493249218e-09, 1.4611969967326388e-10, 6.765326632240942e-10, 7.606243412894287e-10, 9.322582705806326e-10, 9.700259484546336e-10, 9.94223259276339e-10, 1.301878826964753e-09, 9.082911645030833e-10, 1.8403469859151755e-09, 1.0, 1.911542035770708e-09, 1.382877479194633e-09, 1.6076976416812272e-09, 1.2749510336362846e-09, 1.1982700387491718e-09, 9.894994823511638e-10, 1.6270739200408002e-09]",8
mobilenet_imagenet20,pgd,0,7,0,7,54.0,True,90.66558074951172,0.999998927116394,746898.0,results/adversarial_images/adv_pgd_src0_tgt7_idx9.png,"[0.998820960521698, 5.397039058152586e-05, 5.891852197237313e-05, 8.181961311493069e-05, 2.06886361411307e-05, 0.0001279236312257126, 5.0836541049648076e-05, 1.794954005163163e-05, 5.379890353651717e-05, 3.1605668482370675e-05, 0.00016214564675465226, 6.973637937335297e-05, 3.941454633604735e-05, 9.948480874300003e-05, 2.9855607863282785e-05, 7.067390833981335e-05, 2.7353939003660344e-05, 8.326960960403085e-05, 4.1961451643146574e-05, 5.752656579716131e-05]","[0.05266781151294708, 0.0027897602412849665, 0.022928066551685333, 0.006149855442345142, 0.062412798404693604, 0.023148082196712494, 0.015766527503728867, 0.6478461623191833, 0.004373407922685146, 0.01013958640396595, 0.027989394962787628, 0.005430995021015406, 0.004006245173513889, 0.024920957162976265, 0.009506805799901485, 0.010148030705749989, 0.006269960198551416, 0.02983134798705578, 0.01933456026017666, 0.014339663088321686]",9
