model,attack,true_class,target_class,original_pred_class,adversarial_pred_class,first_success_iter,attack_successful,psnr_score,ssim_score,ergas_score,adversarial_image_path,original_probs,adversarial_probs,dataset_index
mobilenet_imagenet20_robust,cw,0,8,0,11,5.0,False,69.62529754638672,0.9996510744094849,4354010.0,results/adversarial_images/adv_cw_src0_tgt8_idx0.png,"[0.9889603853225708, 4.882201028522104e-05, 4.938706752000144e-06, 0.00034133304143324494, 0.006698283366858959, 2.4659555492689833e-05, 2.9154437086731377e-08, 3.361990093253553e-05, 3.0958823060700524e-08, 1.6902849893085659e-06, 8.589838216721546e-06, 0.0006598723120987415, 1.154512574430555e-06, 0.0013320784782990813, 5.375217142500333e-07, 1.9379046989342896e-06, 0.001789945992641151, 1.646966120461002e-05, 7.361421739915386e-05, 2.0984321054129396e-06]","[0.001109380624257028, 1.919592614285648e-05, 4.208529389870819e-06, 5.676085493178107e-06, 0.0010711346985772252, 5.8160043408861384e-05, 1.0649163328935174e-08, 4.997959877073299e-07, 1.053135179063247e-06, 2.3746886654407717e-05, 7.703568371653091e-06, 0.9972930550575256, 6.498491700313025e-08, 0.00015250674914568663, 1.005288777378155e-05, 2.680235695606825e-07, 0.00019211320613976568, 2.8363381716189906e-05, 2.247531847388018e-05, 3.48840615060908e-07]",0
mobilenet_imagenet20_robust,cw,0,12,0,0,1.0,False,74.72171783447266,0.9999048113822937,4682247.5,results/adversarial_images/adv_cw_src0_tgt12_idx1.png,"[0.844165563583374, 0.14413832128047943, 5.16621594215394e-06, 0.0006517456495203078, 5.833911200170405e-05, 4.160089883953333e-05, 6.610810032725567e-08, 3.234315227018669e-05, 2.1911105818617216e-08, 1.2583822126543964e-06, 2.9560890197899425e-06, 2.1806450604344718e-05, 1.8596769280065928e-07, 0.010530034080147743, 1.8830414205694979e-07, 2.2002288346811838e-07, 0.0003276007773820311, 2.5397339413757436e-06, 2.6233931293973e-07, 1.9840235836454667e-05]","[0.9576436877250671, 0.02834450826048851, 1.5914019968477078e-05, 0.0003299561212770641, 3.6438636016100645e-05, 1.667323158471845e-05, 4.1765187575038e-07, 5.100496127852239e-05, 1.4465881292835547e-07, 6.409347406588495e-06, 1.0917265171883628e-05, 3.3402113331248984e-05, 4.401586011226755e-06, 0.01288515143096447, 1.0549792932579294e-06, 6.330826067824091e-07, 0.0004872149438597262, 1.4007769095769618e-05, 3.919526818663144e-07, 0.00011766081297537312]",1
mobilenet_imagenet20_robust,cw,0,6,0,0,4.0,False,70.26051330566406,0.9996932744979858,6326170.0,results/adversarial_images/adv_cw_src0_tgt6_idx2.png,"[0.9999997615814209, 1.0865362776169007e-10, 1.6092287008148687e-12, 4.461915992237664e-08, 4.2961186691448106e-11, 9.370186050683404e-12, 1.8087481924548843e-13, 1.8522456901592932e-09, 6.690316838942403e-15, 7.367083505738226e-12, 6.348688393574553e-13, 1.2936752780134952e-09, 9.115446591989596e-11, 3.8407890201597183e-08, 4.52058572866787e-12, 1.439931247154691e-11, 1.0215531887070028e-07, 9.022507047040662e-11, 9.428816755141511e-11, 8.248843275104889e-11]","[0.9999991655349731, 1.9139656526334647e-10, 1.0833590968761797e-10, 4.535444908526642e-09, 4.436560563370051e-10, 1.6076809883358578e-09, 6.745101699401346e-11, 2.727437165006563e-10, 1.9845091553134103e-13, 1.0222249262337169e-11, 3.8422685172401216e-11, 4.585046509131274e-10, 1.8406533242032452e-10, 1.6240309719250945e-07, 1.5180816673177056e-11, 2.193065694322538e-11, 5.884451184101636e-07, 7.824309533610574e-10, 2.0546793155773457e-09, 2.726711834100115e-08]",2
mobilenet_imagenet20_robust,cw,0,7,0,0,3.0,False,74.31437683105469,0.9999029040336609,4907061.5,results/adversarial_images/adv_cw_src0_tgt7_idx3.png,"[0.9982271790504456, 0.00096657604444772, 4.059536706790823e-08, 0.0001575841597514227, 7.764293172840553e-07, 9.533440703535234e-08, 4.79288324584104e-08, 2.2888771127327345e-06, 1.0804796168883968e-08, 1.5229144310069387e-06, 9.169270498432525e-08, 1.729979703668505e-05, 1.961224370461423e-06, 0.00032550402102060616, 1.8943967461382272e-07, 7.194990757852793e-06, 0.0002593022072687745, 1.8831962734111585e-05, 2.105560810150564e-07, 1.3272770047478843e-05]","[0.9486216306686401, 0.04960593208670616, 2.5935423764167354e-07, 0.0003366884193383157, 2.5723857106640935e-05, 2.6019199594884412e-06, 5.06846298264918e-08, 0.00022767491464037448, 9.526575972529372e-09, 1.266811409550428e-06, 2.468933928412298e-07, 0.00019705932936631143, 5.70477368455613e-07, 0.000579308660235256, 1.0594536803409937e-07, 5.274086652207188e-05, 0.0002239848836325109, 0.00010577623470453545, 1.1792675422839238e-06, 1.7191352526424453e-05]",3
mobilenet_imagenet20_robust,cw,0,9,0,0,1.0,False,73.70795440673828,0.9998667240142822,2965339.75,results/adversarial_images/adv_cw_src0_tgt9_idx4.png,"[0.9624929428100586, 0.00021477437985595316, 2.5657547553237237e-07, 4.4129257730674e-05, 1.0822468254900741e-07, 3.57022145180963e-07, 4.1887474822033255e-08, 0.0068933130241930485, 3.891757103247073e-07, 9.159743967757095e-06, 2.12350732908817e-06, 2.545313918744796e-06, 0.0004185150610283017, 0.02968428283929825, 1.0309498748029e-06, 3.4215634514112025e-05, 2.1410738554550335e-05, 0.0001793429401004687, 2.0012491219745243e-08, 1.0834577324203565e-06]","[0.82780921459198, 0.000274862686637789, 7.09855996205988e-08, 8.159776189131662e-05, 1.211982123550115e-07, 2.75026832241565e-06, 3.257440095438824e-09, 0.01709776371717453, 2.8223519521475282e-08, 1.6445554138044827e-05, 9.978124353438034e-07, 2.8250426566955866e-06, 3.184638262609951e-05, 0.15450379252433777, 5.179864359661224e-08, 1.1621342309808824e-05, 5.604014586424455e-05, 0.00010934982856269926, 9.431974312690272e-09, 6.877644409541972e-07]",4
mobilenet_imagenet20_robust,cw,0,19,0,17,3.0,False,72.69560241699219,0.9998400211334229,5912352.0,results/adversarial_images/adv_cw_src0_tgt19_idx5.png,"[0.9997528195381165, 3.310080032292717e-08, 3.233018333048676e-07, 8.09592347650323e-06, 2.2551797883352265e-05, 2.2337471250466479e-07, 3.36805666689699e-10, 1.8344468116993085e-05, 3.1377159204204474e-10, 1.2362633583506977e-07, 3.453328289992896e-08, 9.910665994539158e-07, 1.077182609776628e-08, 0.00019394005357753485, 2.1678699724247963e-08, 5.864242211828241e-07, 4.393488381992938e-07, 1.174181875285285e-06, 1.505784723576653e-07, 1.8314052852019813e-07]","[0.3790585398674011, 5.722594323742669e-06, 0.0004208593163639307, 1.8167756934417412e-06, 0.0012140703620389104, 8.460088429274037e-05, 3.8220602505134593e-07, 0.0003469671355560422, 1.0880717660199934e-08, 7.269303750945255e-05, 0.0002241738693555817, 1.2147945938068005e-07, 3.07805635202385e-06, 0.0001014501103782095, 8.835548896968248e-07, 0.00010857147572096437, 3.703296897583641e-06, 0.6070755124092102, 4.648138656193623e-06, 0.011272207833826542]",5
mobilenet_imagenet20_robust,cw,0,16,0,0,2.0,False,72.91854095458984,0.999846339225769,5762530.0,results/adversarial_images/adv_cw_src0_tgt16_idx6.png,"[0.9993844032287598, 2.9012045388299157e-07, 3.553391181299048e-08, 1.9363216779311188e-05, 2.5785707293835003e-06, 5.728979317609628e-07, 2.03792325237373e-08, 3.36392258759588e-05, 3.001863424501039e-09, 4.449442769782763e-08, 4.733668106382538e-07, 1.853329933965142e-07, 1.0233786724711535e-06, 0.00024183059576898813, 1.3617689198497374e-08, 7.535508075307007e-07, 4.155883289058693e-05, 1.5505411283811554e-05, 1.4984717608967912e-06, 0.000256236206041649]","[0.9929569959640503, 3.0354881346283946e-06, 1.00982754247525e-06, 0.0013158242218196392, 3.970110265072435e-05, 1.3666151971847285e-05, 8.111610583227957e-08, 2.8092754291719757e-05, 2.022118827937902e-08, 3.81455606657255e-07, 1.1912834452232346e-06, 2.7086337013315642e-06, 2.3998524056878523e-07, 0.003251047106459737, 9.635656716966423e-09, 1.23491349768301e-06, 0.0013406523503363132, 3.2007144909584895e-05, 1.5811905313967145e-06, 0.0010105813853442669]",6
mobilenet_imagenet20_robust,cw,0,4,0,4,5.0,True,72.43233489990234,0.9998282790184021,6094297.0,results/adversarial_images/adv_cw_src0_tgt4_idx7.png,"[0.5230141878128052, 0.029040491208434105, 0.0005646056379191577, 0.14421793818473816, 0.0010361216263845563, 0.0005006497958675027, 3.613492663134821e-05, 0.00014575103705283254, 3.104373172391206e-05, 0.00019124787650071084, 5.9561261878116056e-05, 0.2629461884498596, 9.108897211262956e-05, 0.0051113152876496315, 0.0015820590779185295, 0.01671077124774456, 0.01198064349591732, 0.0014446640852838755, 0.00048532927758060396, 0.0008102115825749934]","[0.0006563740316778421, 0.00010019332694355398, 1.252456695510773e-05, 0.00014987892063800246, 0.996839165687561, 0.0006009206990711391, 1.0199340039207527e-07, 2.0669202058343217e-05, 1.1154196499774116e-07, 1.7689717424218543e-06, 6.337629656627541e-07, 0.0013094933237880468, 1.237621782834708e-09, 4.117800199310295e-05, 5.01008457831631e-07, 2.8731205020449124e-05, 0.00022714959050063044, 3.8072878396633314e-06, 3.034893325093435e-06, 3.830293735518353e-06]",7
mobilenet_imagenet20_robust,cw,0,6,12,4,3.0,False,71.17887878417969,0.9997581243515015,3578582.5,results/adversarial_images/adv_cw_src0_tgt6_idx8.png,"[0.018400369212031364, 0.0036576492711901665, 0.0006175138987600803, 1.004799469228601e-05, 0.0008022037800401449, 0.0009248171118088067, 0.00018861249554902315, 0.013986103236675262, 0.0002751696156337857, 0.0012880421709269285, 0.011300928890705109, 1.8330396414967254e-05, 0.45533275604248047, 0.006005785893648863, 0.0010177884250879288, 0.021535741165280342, 0.0007551276357844472, 0.016459399834275246, 0.4364232122898102, 0.011000406928360462]","[0.01665865071117878, 0.004326256457716227, 0.0010659852996468544, 2.282437208123156e-06, 0.5605695247650146, 0.008716285228729248, 0.12134690582752228, 0.11698751896619797, 0.0008801221265457571, 0.00010408712842036039, 0.1455554962158203, 1.3986397789267357e-05, 0.00013003882486373186, 9.710151061881334e-05, 0.0023474411573261023, 0.0005931410705670714, 0.012129723094403744, 0.0022450049873441458, 0.002812126185745001, 0.003418354783207178]",8
mobilenet_imagenet20_robust,cw,0,2,0,0,2.0,False,72.03471374511719,0.9998044967651367,6379763.0,results/adversarial_images/adv_cw_src0_tgt2_idx9.png,"[0.9895617365837097, 9.295742415815766e-07, 7.62681580113167e-08, 0.0016366516938433051, 8.82331223692745e-05, 1.5828281902940944e-06, 6.482333247959104e-08, 1.3009452004553168e-06, 3.298579187571704e-08, 1.652314131206367e-05, 4.7574165051855744e-08, 4.087611614522757e-06, 1.5871723917371128e-06, 0.008553083054721355, 2.022477474383777e-07, 4.7855406592134386e-05, 5.1174811233067885e-05, 2.393354407104198e-06, 1.786146458471194e-05, 1.4619048670283519e-05]","[0.9987452030181885, 1.5589424151585263e-07, 1.0201976152757197e-07, 8.238379086833447e-05, 3.769474278669804e-05, 3.143390586046735e-06, 3.4895530909295758e-09, 3.535191694936657e-07, 1.1676127842363826e-09, 1.899925109682954e-06, 1.3643337126723054e-08, 1.4739887319592526e-06, 1.6365144972496637e-07, 0.001091392245143652, 3.9768139004081604e-08, 2.8684430617431644e-06, 2.252532976854127e-05, 9.402235150446359e-07, 8.369841452804394e-06, 1.2239098623467726e-06]",9
