model,attack,true_class,target_class,original_pred_class,adversarial_pred_class,first_success_iter,attack_successful,psnr_score,ssim_score,ergas_score,adversarial_image_path,original_probs,adversarial_probs,dataset_index
resnet_imagenet20,fgsm,0,12,0,12,4.0,True,85.87095642089844,0.9999964237213135,748197.1875,results/adversarial_images/adv_fgsm_src0_tgt12_idx0.png,"[0.7899100184440613, 0.007779794745147228, 0.004739179275929928, 0.05929815024137497, 0.0125971594825387, 0.010344678536057472, 0.004265042021870613, 0.008814772590994835, 0.0037085763178765774, 0.00940975733101368, 0.005700856447219849, 0.008112340234220028, 0.0035627062898129225, 0.025052065029740334, 0.005003437865525484, 0.009492416866123676, 0.006318185478448868, 0.012739659287035465, 0.0064514861442148685, 0.006699769292026758]","[0.026151392608880997, 0.007448663003742695, 0.014237245544791222, 0.014010350219905376, 0.011104297824203968, 0.01292926911264658, 0.010844388976693153, 0.011923971585929394, 0.008209481835365295, 0.02554028294980526, 0.020045947283506393, 0.007679065223783255, 0.6263867020606995, 0.019096720963716507, 0.014027433469891548, 0.05611805617809296, 0.03722218796610832, 0.015754960477352142, 0.04813988506793976, 0.01312965340912342]",0
resnet_imagenet20,fgsm,0,17,0,17,2.0,True,85.89549255371094,0.9999966621398926,1293497.75,results/adversarial_images/adv_fgsm_src0_tgt17_idx1.png,"[0.7540792226791382, 0.01871180348098278, 0.00637088343501091, 0.04857805743813515, 0.011864038184285164, 0.009904746897518635, 0.0060147447511553764, 0.009515496902167797, 0.006365508772432804, 0.009573802351951599, 0.009673749096691608, 0.015683868899941444, 0.0039410837925970554, 0.017525946721434593, 0.011345906183123589, 0.011565745808184147, 0.013357204385101795, 0.015203925780951977, 0.00873398408293724, 0.011990209110081196]","[0.01728789694607258, 0.02269970439374447, 0.023014279082417488, 0.013230595737695694, 0.010215817019343376, 0.022298453375697136, 0.004660531412810087, 0.013087729923427105, 0.008165151812136173, 0.03288000077009201, 0.03229594975709915, 0.009943591430783272, 0.007756374776363373, 0.01585417240858078, 0.007386835757642984, 0.058749813586473465, 0.032066456973552704, 0.5098413825035095, 0.024234287440776825, 0.13433092832565308]",1
resnet_imagenet20,fgsm,0,9,0,9,2.0,True,85.86673736572266,0.9999964237213135,1059430.625,results/adversarial_images/adv_fgsm_src0_tgt9_idx2.png,"[0.7393586039543152, 0.019141031429171562, 0.012099072337150574, 0.022885596379637718, 0.015833627432584763, 0.015439486131072044, 0.01101087499409914, 0.013699818402528763, 0.00912727415561676, 0.0158045906573534, 0.00970989279448986, 0.014023683033883572, 0.00847037136554718, 0.017879994586110115, 0.01124915387481451, 0.011511522345244884, 0.014348173514008522, 0.01612839661538601, 0.01016302965581417, 0.012115873396396637]","[0.0057390411384403706, 0.0016984808025881648, 0.019197538495063782, 0.0026810704730451107, 0.00837482325732708, 0.01029897853732109, 0.0020576701499521732, 0.004201868548989296, 0.002168591832742095, 0.7419056296348572, 0.008749323897063732, 0.004885097965598106, 0.00644959369674325, 0.013839553110301495, 0.0016822002362459898, 0.020197249948978424, 0.07544922828674316, 0.03028281219303608, 0.015573760494589806, 0.024567460641264915]",2
resnet_imagenet20,fgsm,0,14,0,0,33.0,False,86.01852416992188,0.9999967813491821,1275304.625,results/adversarial_images/adv_fgsm_src0_tgt14_idx3.png,"[0.7688208818435669, 0.007012076675891876, 0.006364031229168177, 0.029602795839309692, 0.012904048897325993, 0.02167457900941372, 0.004197373054921627, 0.011431961320340633, 0.008241434581577778, 0.011023925617337227, 0.009530946612358093, 0.009905494749546051, 0.005296510178595781, 0.023783564567565918, 0.008837364614009857, 0.008040093816816807, 0.019050266593694687, 0.017409101128578186, 0.007513962686061859, 0.009359605610370636]","[0.33440613746643066, 0.01774635910987854, 0.028693165630102158, 0.03138653188943863, 0.031156271696090698, 0.038756243884563446, 0.017166750505566597, 0.02074991725385189, 0.029667668044567108, 0.04408978670835495, 0.044255513697862625, 0.024185150861740112, 0.02567382901906967, 0.03726795315742493, 0.07246823608875275, 0.029775256291031837, 0.0633220449090004, 0.04295621067285538, 0.022520877420902252, 0.04375609755516052]",3
resnet_imagenet20,fgsm,0,3,0,3,5.0,True,86.00758361816406,0.9999966621398926,736537.9375,results/adversarial_images/adv_fgsm_src0_tgt3_idx4.png,"[0.6073282957077026, 0.030423816293478012, 0.013330990448594093, 0.03292911872267723, 0.019375918433070183, 0.01958092302083969, 0.011934137903153896, 0.027872413396835327, 0.011976984329521656, 0.023701651021838188, 0.012423504143953323, 0.0261994581669569, 0.010082594119012356, 0.04290870204567909, 0.01718924008309841, 0.013650585897266865, 0.019548095762729645, 0.023878680542111397, 0.015569370239973068, 0.020095566287636757]","[0.11232829093933105, 0.0028079969342797995, 0.0014367157127708197, 0.8329951167106628, 0.0025525211822241545, 0.004589852411299944, 0.001103872200474143, 0.0033214520663022995, 0.0011676918948069215, 0.006223026197403669, 0.001960769761353731, 0.0019489976111799479, 0.0009090923704206944, 0.00966086145490408, 0.0013094726018607616, 0.0026387383695691824, 0.0028537632897496223, 0.004751758649945259, 0.0019450350664556026, 0.0034949667751789093]",4
resnet_imagenet20,fgsm,0,3,0,0,23.0,False,85.89990234375,0.9999966621398926,1292840.375,results/adversarial_images/adv_fgsm_src0_tgt3_idx5.png,"[0.7188342809677124, 0.016761351376771927, 0.011922215111553669, 0.020258504897356033, 0.014686960726976395, 0.01254886295646429, 0.010219516232609749, 0.013816230930387974, 0.013500906527042389, 0.013768375851213932, 0.01614730805158615, 0.015272948890924454, 0.010783784091472626, 0.017410865053534508, 0.01504471804946661, 0.017031211405992508, 0.01225037407130003, 0.018549595028162003, 0.015491212718188763, 0.015700776129961014]","[0.22819551825523376, 0.01755717769265175, 0.03538431227207184, 0.18836557865142822, 0.022310109809041023, 0.03650056943297386, 0.009860032238066196, 0.02458270452916622, 0.018746403977274895, 0.04569600895047188, 0.029808344319462776, 0.017848500981926918, 0.010563156567513943, 0.06752241402864456, 0.024666782468557358, 0.03795510157942772, 0.017174677923321724, 0.06106945499777794, 0.02349993586540222, 0.08269315958023071]",5
resnet_imagenet20,fgsm,0,7,0,7,6.0,True,85.73860931396484,0.9999964237213135,1317072.75,results/adversarial_images/adv_fgsm_src0_tgt7_idx6.png,"[0.7536357641220093, 0.015778042376041412, 0.010066834278404713, 0.030622484162449837, 0.016908202320337296, 0.013128625229001045, 0.01044708862900734, 0.012299258261919022, 0.010530692525207996, 0.011562841013073921, 0.010948803275823593, 0.012676741927862167, 0.007994983345270157, 0.014401706866919994, 0.009736670181155205, 0.012256577610969543, 0.011759785003960133, 0.013582258485257626, 0.011436786502599716, 0.01022576354444027]","[0.02324073761701584, 0.010111783631145954, 0.006491496693342924, 0.011526646092534065, 0.07976739853620529, 0.02532041445374489, 0.0059827775694429874, 0.7401354908943176, 0.004092672374099493, 0.005650384351611137, 0.0053577180951833725, 0.009383411146700382, 0.003483966924250126, 0.011993853375315666, 0.005305542144924402, 0.010534659959375858, 0.0061941202729940414, 0.016088489443063736, 0.006320434156805277, 0.013017995283007622]",6
resnet_imagenet20,fgsm,0,1,0,0,4.0,False,85.94902801513672,0.9999966621398926,1285549.625,results/adversarial_images/adv_fgsm_src0_tgt1_idx7.png,"[0.7894312143325806, 0.008136344142258167, 0.005369229707866907, 0.06066296622157097, 0.011416813358664513, 0.009376823902130127, 0.0044243731535971165, 0.00879676453769207, 0.005161437671631575, 0.00927350390702486, 0.004377550911158323, 0.015509947203099728, 0.003622065531089902, 0.021689079701900482, 0.008776834234595299, 0.007263028994202614, 0.009017856791615486, 0.00778959272429347, 0.004801180679351091, 0.005103397648781538]","[0.4777880012989044, 0.2639046311378479, 0.0073550427332520485, 0.03838089108467102, 0.012281668372452259, 0.010080358944833279, 0.005943397991359234, 0.007593392860144377, 0.006454122252762318, 0.009077428840100765, 0.006489797029644251, 0.026664044708013535, 0.002746578771620989, 0.025789383798837662, 0.013040274381637573, 0.011811542324721813, 0.01237601786851883, 0.020992444828152657, 0.008727164939045906, 0.03250384330749512]",7
resnet_imagenet20,fgsm,0,13,0,13,1.0,True,86.020751953125,0.9999966621398926,735338.5,results/adversarial_images/adv_fgsm_src0_tgt13_idx8.png,"[0.7757834196090698, 0.008272568695247173, 0.009956207126379013, 0.008414586074650288, 0.008805111981928349, 0.010950121097266674, 0.006935661192983389, 0.007638666778802872, 0.005719018634408712, 0.017731627449393272, 0.009558958001434803, 0.011373030953109264, 0.006842856761068106, 0.046326905488967896, 0.00723085505887866, 0.012925141490995884, 0.012210572138428688, 0.013300438411533833, 0.010066116228699684, 0.009958149865269661]","[0.18908768892288208, 0.0016564670950174332, 0.002733434084802866, 0.00380313815549016, 0.005707547999918461, 0.005345038138329983, 0.0011167224729433656, 0.002275833860039711, 0.0029047210700809956, 0.010873300954699516, 0.004226178862154484, 0.00565020926296711, 0.0017277515726163983, 0.7326446771621704, 0.0019242926500737667, 0.004929419606924057, 0.006138946861028671, 0.007908431813120842, 0.003679986810311675, 0.005666211247444153]",8
resnet_imagenet20,fgsm,0,1,0,1,2.0,True,85.96283721923828,0.9999966621398926,1283507.25,results/adversarial_images/adv_fgsm_src0_tgt1_idx9.png,"[0.770167350769043, 0.010853143408894539, 0.00902937538921833, 0.023306118324398994, 0.014342577196657658, 0.01275890413671732, 0.008452605456113815, 0.01475299708545208, 0.009018071927130222, 0.010273324325680733, 0.012364767491817474, 0.012105320580303669, 0.008198117837309837, 0.017624329775571823, 0.009785804897546768, 0.011743195354938507, 0.012431132607161999, 0.012540101073682308, 0.011112790554761887, 0.009139959700405598]","[0.020590541884303093, 0.9523657560348511, 0.0005074197542853653, 0.0026976256631314754, 0.0014568588230758905, 0.002332068048417568, 0.00039384266710840166, 0.0010758900316432118, 0.0003863670863211155, 0.0006913314573466778, 0.0008962142746895552, 0.004414450377225876, 0.00032506202114745975, 0.0016335522523149848, 0.0006054969853721559, 0.0017237691208720207, 0.0018969662487506866, 0.0032412484288215637, 0.0013973999302834272, 0.0013682849239557981]",9
resnet_imagenet20,fgsm,0,14,0,14,9.0,True,85.96710205078125,0.9999966621398926,1047264.1875,results/adversarial_images/adv_fgsm_src0_tgt14_idx10.png,"[0.8427465558052063, 0.006153713911771774, 0.011100017465651035, 0.015224771574139595, 0.008336211554706097, 0.006889588199555874, 0.005988758057355881, 0.005411816760897636, 0.0055318125523626804, 0.012267591431736946, 0.006209428887814283, 0.006443684920668602, 0.007187990937381983, 0.011111312545835972, 0.006527181249111891, 0.007468420546501875, 0.01054542325437069, 0.009388539008796215, 0.0075295413844287395, 0.007937629707157612]","[0.12322429567575455, 0.01333249919116497, 0.005933333188295364, 0.013036497868597507, 0.007267914712429047, 0.009199353866279125, 0.005828969180583954, 0.006342988461256027, 0.011197230778634548, 0.019074296578764915, 0.006932252552360296, 0.014044469222426414, 0.005900154355913401, 0.012485071085393429, 0.6540767550468445, 0.011066040024161339, 0.0349079854786396, 0.01910404860973358, 0.01428462564945221, 0.012761177495121956]",10
