model,attack,true_class,target_class,original_pred_class,adversarial_pred_class,first_success_iter,attack_successful,psnr_score,ssim_score,ergas_score,adversarial_image_path,original_probs,adversarial_probs,dataset_index
resnet_imagenet20_robust,fgsm,0,2,0,0,,False,85.14656829833984,0.9999910593032837,813872.875,results/adversarial_images/adv_fgsm_src0_tgt2_idx0.png,"[0.977612316608429, 9.065995072887745e-06, 1.4471234862867277e-05, 0.0024793834891170263, 0.0012189571280032396, 0.0015168668469414115, 2.6660762486585554e-08, 8.645542402518913e-05, 2.4664584543643286e-06, 0.00010278375702910125, 0.0020910147577524185, 0.0036283007357269526, 0.0010425661457702518, 0.0001475308818044141, 8.114124625535624e-07, 3.755382203962654e-05, 0.009335882030427456, 0.0004055060853715986, 0.00023731781402602792, 3.079460293520242e-05]","[0.5946845412254333, 0.00016062363283708692, 0.13038870692253113, 0.018841492012143135, 0.06313230097293854, 0.02932501584291458, 1.5982889181032078e-06, 0.0018938755383715034, 5.495297591551207e-05, 0.007954700849950314, 0.032768312841653824, 0.02237733267247677, 0.019758082926273346, 0.001809177454560995, 2.3811629944248125e-05, 0.0038271972443908453, 0.03467515483498573, 0.0292225182056427, 0.007097537629306316, 0.002003027591854334]",0
resnet_imagenet20_robust,fgsm,0,18,0,0,,False,85.14225006103516,0.9999920129776001,1410677.625,results/adversarial_images/adv_fgsm_src0_tgt18_idx1.png,"[0.9758869409561157, 0.00018483279563952237, 9.413075758857303e-07, 0.0004599423846229911, 5.739369044022169e-06, 3.322449401821359e-06, 6.542421715494129e-07, 1.6866226360434666e-05, 1.61146587629446e-07, 2.6033451376861194e-06, 4.2028864299936686e-06, 0.0014448774745687842, 1.087019427359337e-06, 0.021968504413962364, 4.1242294912535726e-08, 9.023967322718818e-06, 1.807130615816277e-06, 7.012527930783108e-06, 1.148667820416449e-06, 2.8048555122950347e-07]","[0.616641640663147, 0.0860041007399559, 0.002133850706741214, 0.01375898439437151, 0.004272152204066515, 0.0015787159791216254, 0.00064575340365991, 0.0047221556305885315, 7.160245149862021e-05, 0.0006277507054619491, 0.0012962642358615994, 0.05102880671620369, 0.00039336588815785944, 0.08020791411399841, 5.613236498902552e-05, 0.016575785353779793, 0.0004017385945189744, 0.0016911126440390944, 0.1175757423043251, 0.00031641931855119765]",1
resnet_imagenet20_robust,fgsm,0,1,0,0,,False,85.12651062011719,0.9999911785125732,1155865.125,results/adversarial_images/adv_fgsm_src0_tgt1_idx2.png,"[0.9999734163284302, 1.2872203747349431e-08, 3.489182498483956e-09, 2.463670625729719e-06, 1.4063846087708498e-08, 1.1640673314161631e-08, 4.0908285092733365e-10, 4.696274036319892e-09, 2.7791324797021844e-11, 1.557769885307536e-10, 2.030859702628618e-09, 5.894583523513575e-07, 1.8870751627986238e-09, 2.2037763613980133e-08, 1.5855374790874066e-09, 7.93021470713029e-09, 2.3449494619853795e-05, 9.029814118655111e-10, 3.366702472362704e-08, 2.9220307951050017e-08]","[0.9185562133789062, 0.04727122560143471, 4.506993718678132e-06, 0.0003691360470838845, 6.497156391560566e-06, 1.241199606738519e-05, 1.1442750746937236e-06, 1.1408003501856001e-06, 3.216444710574251e-08, 2.3257025816292298e-07, 1.3042321143075242e-06, 0.004623867571353912, 6.270681296882685e-06, 7.805008863215335e-06, 6.133046213108173e-07, 2.272697201988194e-05, 0.028995217755436897, 2.323644139323733e-06, 6.33249364909716e-05, 5.412245081970468e-05]",2
resnet_imagenet20_robust,fgsm,0,8,0,0,,False,85.38729858398438,0.9999931454658508,1371435.0,results/adversarial_images/adv_fgsm_src0_tgt8_idx3.png,"[0.8436664342880249, 0.003698627930134535, 0.00011136226385133341, 0.0006015658145770431, 0.0033073946833610535, 0.00035270361695438623, 5.9028530813520774e-05, 7.110008300514892e-05, 0.00012240983778610826, 0.07697904109954834, 0.00035753395059145987, 0.0010207516606897116, 0.007344559766352177, 0.0014526800950989127, 2.3796064851921983e-05, 0.03870939463376999, 0.010074058547616005, 0.0004895201418548822, 2.6547846573521383e-05, 0.011531420052051544]","[0.7649085521697998, 0.012779624201357365, 0.00025493130669929087, 0.0015614700969308615, 0.016224171966314316, 0.001003549317829311, 0.0005288096144795418, 0.0002274542348459363, 0.0275482889264822, 0.05571857467293739, 0.002397150034084916, 0.004770469851791859, 0.008801943622529507, 0.0031935004517436028, 0.00035687501076608896, 0.04383810982108116, 0.013717717491090298, 0.0017501575639471412, 3.588874824345112e-05, 0.04038264602422714]",3
resnet_imagenet20_robust,fgsm,0,3,0,0,,False,85.13825225830078,0.9999915957450867,812445.625,results/adversarial_images/adv_fgsm_src0_tgt3_idx4.png,"[0.9981233477592468, 2.6964635253534652e-05, 1.318229715252528e-05, 9.677070920588449e-06, 3.2902009934332455e-06, 1.8651629716259777e-06, 1.666446905801422e-06, 0.000556563725695014, 5.005058028473286e-06, 1.7426273188902996e-05, 2.8422078685252927e-05, 0.00013089575804769993, 6.08827467658557e-05, 0.00015137832087930292, 1.4470602764049545e-05, 0.0005860156379640102, 9.21974569791928e-05, 3.249799192417413e-05, 1.2974865967407823e-05, 0.00013129871513228863]","[0.7728806734085083, 0.002401696750894189, 0.00017993952496908605, 0.15398567914962769, 0.00014721039042342454, 5.194944969844073e-05, 4.734176036436111e-05, 0.006038285791873932, 0.0001674213126534596, 7.169017044361681e-05, 8.154515671776608e-05, 0.01881086267530918, 0.00024801146355457604, 0.02139977551996708, 0.0008184850448742509, 0.01419963501393795, 0.0025610988959670067, 0.002236777450889349, 0.0005510259652510285, 0.003120909910649061]",4
resnet_imagenet20_robust,fgsm,0,4,0,4,6.0,True,85.20878601074219,0.999992311000824,1399912.25,results/adversarial_images/adv_fgsm_src0_tgt4_idx5.png,"[0.997702419757843, 3.8468056118290406e-06, 1.5480785577892675e-06, 0.0008722919737920165, 0.0006773055647499859, 2.3007323761703447e-05, 6.297126731169556e-08, 0.00021187448874115944, 1.2964336804088816e-07, 4.498761427385034e-06, 3.3524131026752e-08, 2.0401826077431906e-06, 7.793730816274547e-08, 0.00020152122306171805, 6.492859370155202e-07, 8.058499361141003e-07, 1.9884782886947505e-05, 6.891479279147461e-05, 6.091672730690334e-06, 0.00020301791664678603]","[0.4221622943878174, 0.00011364265810698271, 9.627910185372457e-05, 0.007789554540067911, 0.5514899492263794, 0.0008951722993515432, 8.540371254639467e-07, 0.010565754026174545, 1.8601054989630939e-06, 6.4704472606536e-05, 3.2436716423944745e-07, 2.673716880963184e-05, 7.631811627106799e-07, 0.001218682387843728, 6.875446615595138e-06, 1.2089489246136509e-05, 0.00041682965820655227, 0.0009287879802286625, 0.00019422649347689003, 0.004014587961137295]",5
resnet_imagenet20_robust,fgsm,0,6,0,0,,False,85.13972473144531,0.9999910593032837,1411089.0,results/adversarial_images/adv_fgsm_src0_tgt6_idx6.png,"[0.9782740473747253, 8.761667231738102e-07, 2.5620720407459885e-06, 0.012145488522946835, 0.0006401220452971756, 0.0003873386885970831, 2.6423131771480257e-07, 0.0007024423684924841, 2.848695203283569e-06, 1.164756940852385e-05, 1.7206712072947994e-06, 1.248114222107688e-05, 1.5848458190248493e-07, 0.0076301745139062405, 2.4772066353762057e-06, 9.49328750721179e-06, 0.0001277419360121712, 7.835559699742589e-06, 9.855432381300488e-07, 3.93653244827874e-05]","[0.35930585861206055, 0.0014973018551245332, 0.0030566751956939697, 0.2021346241235733, 0.03493189066648483, 0.03780793026089668, 0.03203417733311653, 0.0979614406824112, 0.0006432016962207854, 0.0062170433811843395, 0.00033236836316064, 0.0013252152130007744, 0.0001152539553004317, 0.06549406051635742, 0.002538535511121154, 0.023020021617412567, 0.03820786997675896, 0.005327543709427118, 0.005211285315454006, 0.08283773809671402]",6
resnet_imagenet20_robust,fgsm,0,5,0,0,,False,85.27949523925781,0.9999920725822449,1388563.125,results/adversarial_images/adv_fgsm_src0_tgt5_idx7.png,"[0.8330390453338623, 0.0009041210869327188, 0.00013393984409049153, 0.062467314302921295, 5.856311327079311e-05, 3.394228042452596e-05, 6.449603915825719e-06, 0.0022720673587173223, 3.463095936240279e-06, 4.141636600252241e-05, 5.225878794590244e-06, 0.06953119486570358, 0.0006470391526818275, 0.010549165308475494, 0.0018958133878186345, 0.0006152481073513627, 0.011428442783653736, 0.0012030147481709719, 0.0008339228224940598, 0.004330718889832497]","[0.5313966274261475, 0.008319508284330368, 0.0032204976305365562, 0.09691810607910156, 0.004317948129028082, 0.050249259918928146, 9.719112858874723e-05, 0.03840506821870804, 0.0001076620610547252, 0.0008828865247778594, 6.889110227348283e-05, 0.08593051135540009, 0.005615654401481152, 0.024187233299016953, 0.009810743853449821, 0.003387302625924349, 0.0608731172978878, 0.010555778630077839, 0.014436126686632633, 0.05121990293264389]",7
resnet_imagenet20_robust,fgsm,0,1,0,1,1.0,True,85.17681121826172,0.9999915957450867,813240.0,results/adversarial_images/adv_fgsm_src0_tgt1_idx8.png,"[0.96165531873703, 0.001818248420022428, 0.0005388222052715719, 0.0002972738875541836, 0.0011836133198812604, 0.0006180994678288698, 0.0007128944853320718, 0.021289944648742676, 0.00019038050959352404, 0.0009950839448720217, 0.0002046210429398343, 0.0005375093896873295, 0.0007327907951548696, 0.0027396653313189745, 0.0001935569744091481, 0.003469456685706973, 0.0004062868538312614, 0.0008935459773056209, 0.0005954474327154458, 0.0009274759795516729]","[0.01134571898728609, 0.9851002097129822, 5.7177385315299034e-05, 4.393526978674345e-05, 8.552798681193963e-05, 6.756206857971847e-05, 0.00014929297321941704, 0.000559080857783556, 2.874785423045978e-05, 6.677195051452145e-05, 1.1954974070249591e-05, 0.0007163868867792189, 0.00029383806395344436, 0.00033550368971191347, 9.383772521687206e-06, 0.0005472538177855313, 8.817455091048032e-05, 0.00010432919225422665, 0.00020593471708707511, 0.00018324109259992838]",8
resnet_imagenet20_robust,fgsm,0,10,0,0,,False,85.13868713378906,0.999991774559021,1411256.875,results/adversarial_images/adv_fgsm_src0_tgt10_idx9.png,"[0.7877154350280762, 1.1843171705550049e-05, 3.0839018005934804e-09, 0.0028700316324830055, 1.629714824957773e-05, 4.22772109232028e-06, 2.491350414857152e-08, 1.5400752090499736e-05, 1.5915435369606712e-07, 4.561401212299643e-08, 6.75083668966181e-08, 5.2446339395828545e-05, 1.7663659264144371e-06, 0.20930048823356628, 2.914179901836178e-07, 1.5901947847396514e-07, 2.3769696610997926e-07, 4.882672783423914e-06, 5.850624802405946e-06, 3.6167079997539986e-07]","[0.9638046622276306, 0.0006064065382815897, 5.344398914530757e-07, 0.002613475313410163, 0.000750500475987792, 0.00023914821213111281, 3.9133419704739936e-06, 0.0018970557721331716, 6.141571066109464e-05, 4.8389033509010915e-06, 0.000531100551597774, 0.00164890440646559, 0.0007370176608674228, 0.024386746808886528, 0.0001516488555353135, 3.458190258243121e-05, 3.888724677381106e-06, 0.0006647594273090363, 0.001799939782358706, 5.941418567090295e-05]",9
