model,attack,true_class,target_class,original_pred_class,adversarial_pred_class,first_success_iter,attack_successful,psnr_score,ssim_score,ergas_score,adversarial_image_path,original_probs,adversarial_probs,dataset_index
swin_imagenet20_adv,cw,0,7,7,7,,True,110.82774353027344,1.0,49050.1875,results/adversarial_images/adv_cw_src0_tgt7_idx0.png,"[0.04231131821870804, 0.05384958162903786, 0.011531676165759563, 0.1557169258594513, 0.1591227799654007, 0.024233199656009674, 0.02870706468820572, 0.16437587141990662, 0.002715614391490817, 0.011387457139790058, 0.002204340882599354, 0.11062373220920563, 0.030130725353956223, 0.035275161266326904, 0.002181754680350423, 0.05545587092638016, 0.07568787783384323, 0.003820775542408228, 0.019274305552244186, 0.01139396708458662]","[0.0423102080821991, 0.05383028835058212, 0.011514025740325451, 0.15553312003612518, 0.1594320386648178, 0.024167409166693687, 0.028562089428305626, 0.16447202861309052, 0.002685914048925042, 0.011368129402399063, 0.0021886550821363926, 0.11085294187068939, 0.030144238844513893, 0.03533743694424629, 0.002162112155929208, 0.05527378246188164, 0.07576269656419754, 0.003806618507951498, 0.019218992441892624, 0.01137728150933981]",0
swin_imagenet20_adv,cw,0,3,3,3,,True,83.41444396972656,0.9999843835830688,1721147.875,results/adversarial_images/adv_cw_src0_tgt3_idx1.png,"[0.0285957008600235, 0.04488102346658707, 0.010422495193779469, 0.23098982870578766, 0.06132717430591583, 0.07672611624002457, 0.1406087726354599, 0.028612680733203888, 0.006161716766655445, 0.008541319519281387, 0.007448376156389713, 0.05199630931019783, 0.021115830168128014, 0.015461133792996407, 0.004329857416450977, 0.11416447162628174, 0.04360875114798546, 0.015162532217800617, 0.064543716609478, 0.025302255526185036]","[0.028819279745221138, 0.044868629425764084, 0.010393842123448849, 0.23167026042938232, 0.06178182736039162, 0.07646764069795609, 0.13986077904701233, 0.02880222350358963, 0.00615644408389926, 0.008525660261511803, 0.007446322124451399, 0.052286989986896515, 0.021117789670825005, 0.015493274666368961, 0.004330155905336142, 0.11393790692090988, 0.04356567561626434, 0.015066839754581451, 0.06424889713525772, 0.025159521028399467]",1
swin_imagenet20_adv,cw,0,4,0,0,,False,113.71163940429688,1.0,46759.83984375,results/adversarial_images/adv_cw_src0_tgt4_idx2.png,"[0.17004334926605225, 0.03730534762144089, 0.011885945685207844, 0.07671841979026794, 0.167971670627594, 0.018595952540636063, 0.011439765803515911, 0.13314415514469147, 0.0037282409612089396, 0.012941762804985046, 0.017337871715426445, 0.1353456974029541, 0.024411391466856003, 0.050961535423994064, 0.012155376374721527, 0.03968806192278862, 0.03098827414214611, 0.008478980511426926, 0.027547843754291534, 0.009310380555689335]","[0.17044813930988312, 0.037284012883901596, 0.01189816277474165, 0.07620710134506226, 0.1684444099664688, 0.018476244062185287, 0.011293172836303711, 0.13343875110149384, 0.003683679737150669, 0.012938485480844975, 0.01729542389512062, 0.13567666709423065, 0.02439049817621708, 0.05109438672661781, 0.012113559991121292, 0.039385270327329636, 0.030904944986104965, 0.008432519622147083, 0.02734069712460041, 0.0092538483440876]",2
swin_imagenet20_adv,cw,0,8,0,0,,False,89.19841766357422,0.9999955296516418,884340.125,results/adversarial_images/adv_cw_src0_tgt8_idx3.png,"[0.18716329336166382, 0.042539168149232864, 0.014229944907128811, 0.058494068682193756, 0.1526087522506714, 0.024495471268892288, 0.011371839791536331, 0.09981740266084671, 0.002352077979594469, 0.013103118166327477, 0.028115058317780495, 0.1314212679862976, 0.021286047995090485, 0.06083831936120987, 0.01172233559191227, 0.04396124556660652, 0.03420690819621086, 0.013235344551503658, 0.03765035420656204, 0.011387915350496769]","[0.1861128807067871, 0.04277249798178673, 0.014311827719211578, 0.058786820620298386, 0.15204869210720062, 0.024728473275899887, 0.011514405719935894, 0.09927146881818771, 0.002379725221544504, 0.0131832305341959, 0.02818189561367035, 0.13129393756389618, 0.021416258066892624, 0.06074078753590584, 0.011798708699643612, 0.044278036803007126, 0.0343218632042408, 0.013391739688813686, 0.03794962167739868, 0.011517124250531197]",3
swin_imagenet20_adv,cw,0,11,16,16,,False,116.699462890625,1.0,17040.203125,results/adversarial_images/adv_cw_src0_tgt11_idx4.png,"[0.017813557758927345, 0.0753183588385582, 0.04195670783519745, 0.06765871495008469, 0.044103849679231644, 0.05764321610331535, 0.060170408338308334, 0.0688926950097084, 0.032251987606287, 0.03962891548871994, 0.008829577825963497, 0.052143409848213196, 0.0503682978451252, 0.03490084409713745, 0.020240267738699913, 0.08310306072235107, 0.11269230395555496, 0.027508346363902092, 0.04861105605959892, 0.05616440623998642]","[0.017922554165124893, 0.07517697662115097, 0.041580237448215485, 0.06837750226259232, 0.04450678825378418, 0.0575755350291729, 0.060483794659376144, 0.0693790465593338, 0.03228107467293739, 0.03936626762151718, 0.008762959390878677, 0.05224836245179176, 0.05029880627989769, 0.03484392538666725, 0.02011956088244915, 0.0831301361322403, 0.1125483587384224, 0.027281131595373154, 0.048373110592365265, 0.05574396625161171]",4
swin_imagenet20_adv,cw,0,7,4,4,,False,88.91304779052734,0.9999954104423523,913876.875,results/adversarial_images/adv_cw_src0_tgt7_idx5.png,"[0.18217170238494873, 0.03248228132724762, 0.00911862961947918, 0.0664297491312027, 0.20043286681175232, 0.013944183476269245, 0.00865359976887703, 0.14878635108470917, 0.0020184130407869816, 0.010783824138343334, 0.01152832806110382, 0.12981466948986053, 0.022154919803142548, 0.06043264642357826, 0.007344048470258713, 0.031270209699869156, 0.028955180197954178, 0.005940543953329325, 0.021373648196458817, 0.006364267319440842]","[0.1830124855041504, 0.03225458040833473, 0.00904073752462864, 0.06620246171951294, 0.2007126361131668, 0.013787041418254375, 0.008544067852199078, 0.14942049980163574, 0.0020060986280441284, 0.010712235234677792, 0.01147435512393713, 0.12996160984039307, 0.022032814100384712, 0.06039787828922272, 0.007323054131120443, 0.03100346028804779, 0.028795814141631126, 0.005863159894943237, 0.021163562312722206, 0.006291437428444624]",5
swin_imagenet20_adv,cw,0,10,0,0,,False,118.37806701660156,1.0,30735.25,results/adversarial_images/adv_cw_src0_tgt10_idx6.png,"[0.22126977145671844, 0.02788723260164261, 0.008200559765100479, 0.05799575522542, 0.1887982189655304, 0.010377234779298306, 0.005346513353288174, 0.13917429745197296, 0.002150546060875058, 0.009794107638299465, 0.01508910022675991, 0.14802286028862, 0.01920616440474987, 0.05888886749744415, 0.009609522297978401, 0.026864025741815567, 0.022812413051724434, 0.005011980887502432, 0.018548352643847466, 0.004952545743435621]","[0.22099731862545013, 0.027945788577198982, 0.008222621865570545, 0.05798424035310745, 0.18872487545013428, 0.010404260829091072, 0.005353646352887154, 0.13906186819076538, 0.0021514971740543842, 0.009818254970014095, 0.015116561204195023, 0.1480603814125061, 0.01924998126924038, 0.05890793353319168, 0.009620795957744122, 0.02693004161119461, 0.022838760167360306, 0.005027974024415016, 0.018615471199154854, 0.004967777989804745]",6
swin_imagenet20_adv,cw,0,5,11,11,,False,114.76570892333984,1.0,46585.9296875,results/adversarial_images/adv_cw_src0_tgt5_idx7.png,"[0.08861491084098816, 0.06065038591623306, 0.025289081037044525, 0.07351120561361313, 0.09209167957305908, 0.045787177979946136, 0.031201081350445747, 0.07660786807537079, 0.009957797825336456, 0.023615548387169838, 0.02759380266070366, 0.09825557470321655, 0.03430753946304321, 0.04690287262201309, 0.02203080989420414, 0.07280784100294113, 0.05430786311626434, 0.02798042818903923, 0.059713780879974365, 0.02877272665500641]","[0.08859649300575256, 0.06068967282772064, 0.025323597714304924, 0.07333812862634659, 0.09193576872348785, 0.04578574746847153, 0.03114040195941925, 0.07659095525741577, 0.009981987997889519, 0.023653637617826462, 0.027652529999613762, 0.09818442910909653, 0.03434400632977486, 0.046935565769672394, 0.022118080407381058, 0.07279721647500992, 0.05432615801692009, 0.028028490021824837, 0.05976562947034836, 0.028811492025852203]",7
swin_imagenet20_adv,cw,0,2,4,4,,False,114.18212127685547,1.0,34600.32421875,results/adversarial_images/adv_cw_src0_tgt2_idx8.png,"[0.08590205758810043, 0.05000198259949684, 0.014174751937389374, 0.11312521249055862, 0.14361263811588287, 0.027405930683016777, 0.025636671110987663, 0.13900746405124664, 0.007879998534917831, 0.01609530672430992, 0.00884392112493515, 0.11299392580986023, 0.033533114939928055, 0.04395732656121254, 0.00967562198638916, 0.057799357920885086, 0.0572020560503006, 0.008856759406626225, 0.029370885342359543, 0.01492502260953188]","[0.08576720952987671, 0.05002807080745697, 0.014173720963299274, 0.11324626952409744, 0.14357265830039978, 0.027426311746239662, 0.025665855035185814, 0.13897380232810974, 0.007871586829423904, 0.016077281907200813, 0.008835832588374615, 0.11299514770507812, 0.033484090119600296, 0.043932318687438965, 0.00965043157339096, 0.057856880128383636, 0.057281047105789185, 0.008852156810462475, 0.029371090233325958, 0.014938216656446457]",8
swin_imagenet20_adv,cw,0,10,0,0,,False,115.79532623291016,1.0,41378.42578125,results/adversarial_images/adv_cw_src0_tgt10_idx9.png,"[0.29590439796447754, 0.025911161676049232, 0.008869539014995098, 0.03962378576397896, 0.1503862887620926, 0.009391674771904945, 0.0028480845503509045, 0.10426655411720276, 0.0008256195578724146, 0.0060660564340651035, 0.03198777511715889, 0.18406644463539124, 0.008305474184453487, 0.0550205297768116, 0.008068480528891087, 0.02124396152794361, 0.0222963597625494, 0.004319856408983469, 0.016124455258250237, 0.004473516717553139]","[0.29550182819366455, 0.025971805676817894, 0.0088949678465724, 0.03971768915653229, 0.15034930408000946, 0.009432709775865078, 0.0028648641891777515, 0.10422355681657791, 0.0008279902976937592, 0.006086075212806463, 0.03200650215148926, 0.18400976061820984, 0.008333050645887852, 0.05499823018908501, 0.008074773475527763, 0.02132890745997429, 0.02233806438744068, 0.004341994412243366, 0.016203267499804497, 0.004494603257626295]",9
