model,attack,true_class,target_class,original_pred_class,adversarial_pred_class,first_success_iter,attack_successful,psnr_score,ssim_score,ergas_score,adversarial_image_path,original_probs,adversarial_probs,dataset_index
swin_imagenet20_adv,fgsm,0,8,7,7,,False,85.1194076538086,0.9999871850013733,813531.375,results/adversarial_images/adv_fgsm_src0_tgt8_idx0.png,"[0.042311299592256546, 0.05384959280490875, 0.011531678959727287, 0.15571697056293488, 0.15912280976772308, 0.02423320896923542, 0.028707081452012062, 0.16437587141990662, 0.0027156115975230932, 0.011387459933757782, 0.002204339951276779, 0.11062368005514145, 0.030130725353956223, 0.035275161266326904, 0.0021817516535520554, 0.05545589327812195, 0.07568789273500443, 0.003820776240900159, 0.019274309277534485, 0.01139396894723177]","[0.048477888107299805, 0.05519217997789383, 0.013721947558224201, 0.13069099187850952, 0.14066845178604126, 0.02689548395574093, 0.03047080896794796, 0.1734728366136551, 0.006957854609936476, 0.015135135501623154, 0.0035747839137911797, 0.10211288928985596, 0.03595306724309921, 0.037472330033779144, 0.005416962783783674, 0.056520842015743256, 0.07540694624185562, 0.005667260382324457, 0.02176026813685894, 0.01443110965192318]",0
swin_imagenet20_adv,fgsm,0,17,3,3,,False,84.40169525146484,0.999984085559845,1536227.875,results/adversarial_images/adv_fgsm_src0_tgt17_idx1.png,"[0.0285956934094429, 0.04488101229071617, 0.01042248960584402, 0.23098982870578766, 0.061327166855335236, 0.07672608643770218, 0.1406087726354599, 0.02861267328262329, 0.006161712575703859, 0.008541314862668514, 0.00744837149977684, 0.05199630185961723, 0.021115824580192566, 0.015461129136383533, 0.004329855088144541, 0.11416447162628174, 0.04360875114798546, 0.015162527561187744, 0.0645436942577362, 0.025302249938249588]","[0.021963991224765778, 0.04731578379869461, 0.012933255173265934, 0.19626767933368683, 0.046284787356853485, 0.08837435394525528, 0.15879113972187042, 0.021942676976323128, 0.007049819454550743, 0.00987948477268219, 0.008690118789672852, 0.043968647718429565, 0.020890850573778152, 0.014474628493189812, 0.004959901329129934, 0.12173856049776077, 0.04521165043115616, 0.020892495289444923, 0.07609130442142487, 0.032278887927532196]",1
swin_imagenet20_adv,fgsm,0,18,0,0,,False,84.75265502929688,0.9999836683273315,1204719.125,results/adversarial_images/adv_fgsm_src0_tgt18_idx2.png,"[0.17004337906837463, 0.03730533644556999, 0.011885941959917545, 0.07671841979026794, 0.16797170042991638, 0.018595946952700615, 0.011439763009548187, 0.13314418494701385, 0.0037282395642250776, 0.012941760942339897, 0.01733786053955555, 0.1353456676006317, 0.024411387741565704, 0.05096155032515526, 0.012155369855463505, 0.039688050746917725, 0.030988266691565514, 0.008478978648781776, 0.027547836303710938, 0.009310377761721611]","[0.15147799253463745, 0.04504496976733208, 0.016946231946349144, 0.06764274835586548, 0.13904303312301636, 0.024915404617786407, 0.01355072297155857, 0.1096397340297699, 0.0048527405597269535, 0.017066117376089096, 0.025669308379292488, 0.1324283629655838, 0.027821598574519157, 0.05525422841310501, 0.01662256009876728, 0.04865521937608719, 0.03668741509318352, 0.013801570981740952, 0.039001546800136566, 0.0138784758746624]",2
swin_imagenet20_adv,fgsm,0,17,0,0,,False,84.45587921142578,0.9999860525131226,1526674.75,results/adversarial_images/adv_fgsm_src0_tgt17_idx3.png,"[0.1871633231639862, 0.042539168149232864, 0.01422994676977396, 0.05849407985806465, 0.152608722448349, 0.024495476856827736, 0.011371842585504055, 0.09981740266084671, 0.0023520784452557564, 0.013103120028972626, 0.028115062043070793, 0.13142129778862, 0.021286040544509888, 0.06083831563591957, 0.011722332797944546, 0.04396124929189682, 0.03420690819621086, 0.013235344551503658, 0.03765036165714264, 0.011387914419174194]","[0.16503067314624786, 0.04801912233233452, 0.01747737266123295, 0.05947648733854294, 0.13459916412830353, 0.03100000135600567, 0.014184517785906792, 0.08700157701969147, 0.002963023027405143, 0.015394465997815132, 0.03265218064188957, 0.1266077756881714, 0.02405419945716858, 0.05923546105623245, 0.01428237371146679, 0.05096111819148064, 0.03754909336566925, 0.01818307489156723, 0.0461747981607914, 0.015153593383729458]",3
swin_imagenet20_adv,fgsm,0,9,16,16,,False,84.93556213378906,0.9999848008155823,833107.625,results/adversarial_images/adv_fgsm_src0_tgt9_idx4.png,"[0.017813552170991898, 0.07531841099262238, 0.04195674508810043, 0.0676586776971817, 0.04410383477807045, 0.05764321982860565, 0.06017037481069565, 0.06889268755912781, 0.03225194662809372, 0.039628926664590836, 0.008829581551253796, 0.05214342474937439, 0.0503682941198349, 0.03490084782242775, 0.020240262150764465, 0.08310308307409286, 0.11269235610961914, 0.027508355677127838, 0.04861107096076012, 0.056164421141147614]","[0.013463884592056274, 0.07357264310121536, 0.05650695785880089, 0.045220814645290375, 0.02764909155666828, 0.06065468117594719, 0.05534689873456955, 0.04787068068981171, 0.041207052767276764, 0.050417184829711914, 0.011944783851504326, 0.04262739419937134, 0.04761245846748352, 0.03366311267018318, 0.030957721173763275, 0.0780157819390297, 0.11337633430957794, 0.04092356935143471, 0.0550355464220047, 0.07393345981836319]",4
swin_imagenet20_adv,fgsm,0,6,4,4,,False,85.04276275634766,0.9999876022338867,1426928.375,results/adversarial_images/adv_fgsm_src0_tgt6_idx5.png,"[0.18217165768146515, 0.03248228132724762, 0.00911862961947918, 0.06642972677946091, 0.20043286681175232, 0.013944186270236969, 0.00865359790623188, 0.14878633618354797, 0.0020184130407869816, 0.010783824138343334, 0.01152832992374897, 0.12981468439102173, 0.022154919803142548, 0.06043264642357826, 0.007344052195549011, 0.031270209699869156, 0.028955180197954178, 0.005940545350313187, 0.021373648196458817, 0.006364268716424704]","[0.17014922201633453, 0.035251911729574203, 0.010034577921032906, 0.07018692791461945, 0.1969393491744995, 0.016110632568597794, 0.010122629813849926, 0.14142538607120514, 0.0021773080807179213, 0.011529535055160522, 0.012054949067533016, 0.12858591973781586, 0.02371981181204319, 0.06035987660288811, 0.0075051323510706425, 0.034759070724248886, 0.03110450692474842, 0.006817715708166361, 0.023848317563533783, 0.007317147683352232]",5
swin_imagenet20_adv,fgsm,0,10,0,0,,False,84.92420959472656,0.9999871850013733,1446537.5,results/adversarial_images/adv_fgsm_src0_tgt10_idx6.png,"[0.22126968204975128, 0.027887240052223206, 0.008200563490390778, 0.057995736598968506, 0.18879827857017517, 0.010377234779298306, 0.005346511956304312, 0.13917429745197296, 0.0021505451295524836, 0.009794111363589764, 0.01508910208940506, 0.1480228751897812, 0.01920616254210472, 0.058888860046863556, 0.009609525091946125, 0.02686402015388012, 0.022812414914369583, 0.005011982284486294, 0.018548350781202316, 0.004952546209096909]","[0.18615643680095673, 0.03698296099901199, 0.013893305324018002, 0.06600620597600937, 0.16658060252666473, 0.01789853163063526, 0.008924062363803387, 0.10467946529388428, 0.0025312083307653666, 0.013484117574989796, 0.024865034967660904, 0.14942793548107147, 0.021980907768011093, 0.055877722799777985, 0.011811954900622368, 0.040868211537599564, 0.026968330144882202, 0.00957814883440733, 0.03295668214559555, 0.008528230711817741]",6
swin_imagenet20_adv,fgsm,0,2,11,11,,False,85.1744384765625,0.9999875426292419,1405459.25,results/adversarial_images/adv_fgsm_src0_tgt2_idx7.png,"[0.08861488848924637, 0.06065038591623306, 0.025289088487625122, 0.07351119816303253, 0.09209166467189789, 0.045787177979946136, 0.031201081350445747, 0.07660786062479019, 0.009957797825336456, 0.023615553975105286, 0.027593808248639107, 0.09825559705495834, 0.03430754318833351, 0.04690288379788399, 0.02203080803155899, 0.07280784100294113, 0.05430786684155464, 0.027980435639619827, 0.05971378833055496, 0.028772728517651558]","[0.08112090080976486, 0.06391340494155884, 0.0302220918238163, 0.061387840658426285, 0.07957077771425247, 0.04874351993203163, 0.029812730848789215, 0.06897000223398209, 0.011198071762919426, 0.026793980970978737, 0.033208973705768585, 0.09394825249910355, 0.034992679953575134, 0.04767255112528801, 0.027145039290189743, 0.07307542860507965, 0.05637909471988678, 0.03379691392183304, 0.06445077806711197, 0.03359701856970787]",7
swin_imagenet20_adv,fgsm,0,13,4,7,,False,85.12882232666016,0.9999860525131226,816359.625,results/adversarial_images/adv_fgsm_src0_tgt13_idx8.png,"[0.08590206503868103, 0.05000198259949684, 0.0141747472807765, 0.11312519013881683, 0.14361266791820526, 0.027405928820371628, 0.025636669248342514, 0.13900749385356903, 0.007879996672272682, 0.016095301136374474, 0.008843917399644852, 0.11299393326044083, 0.033533111214637756, 0.04395733401179314, 0.009675618261098862, 0.05779935047030449, 0.057202067226171494, 0.0088567566126585, 0.029370879754424095, 0.014925021678209305]","[0.08939225971698761, 0.04988577589392662, 0.013834912329912186, 0.09895740449428558, 0.15200716257095337, 0.0234445258975029, 0.020094944164156914, 0.15659841895103455, 0.006166740786284208, 0.015792977064847946, 0.0077383010648190975, 0.12036927789449692, 0.03326764702796936, 0.047918450087308884, 0.008225113153457642, 0.05086790397763252, 0.05836348235607147, 0.007696288172155619, 0.025971129536628723, 0.013407294638454914]",8
swin_imagenet20_adv,fgsm,0,4,0,0,,False,84.80274200439453,0.9999867081642151,1466909.875,results/adversarial_images/adv_fgsm_src0_tgt4_idx9.png,"[0.2959044277667999, 0.025911159813404083, 0.008869540877640247, 0.03962377458810806, 0.1503862738609314, 0.00939167384058237, 0.00284808361902833, 0.10426653921604156, 0.0008256196742877364, 0.006066055037081242, 0.031987760215997696, 0.18406642973423004, 0.008305473253130913, 0.055020522326231, 0.008068479597568512, 0.021243957802653313, 0.02229635789990425, 0.004319855011999607, 0.016124453395605087, 0.0044735148549079895]","[0.2834647297859192, 0.025665579363703728, 0.00855590682476759, 0.04027089104056358, 0.1597670465707779, 0.009170152246952057, 0.00300867622718215, 0.11266948282718658, 0.0008156262338161469, 0.006417385768145323, 0.02591192163527012, 0.1806739866733551, 0.009700579568743706, 0.05867571756243706, 0.007294344250112772, 0.020956125110387802, 0.02253173105418682, 0.004192240536212921, 0.015968866646289825, 0.004289007280021906]",9
