model,attack,true_class,target_class,original_pred_class,adversarial_pred_class,first_success_iter,attack_successful,psnr_score,ssim_score,ergas_score,adversarial_image_path,original_probs,adversarial_probs,dataset_index
swin_imagenet20,cw,0,5,0,5,3.0,True,74.4726791381836,0.9999421834945679,2664765.5,results/adversarial_images/adv_cw_src0_tgt5_idx0.png,"[0.9910911321640015, 0.00032780651235952973, 0.0003584793012123555, 0.0033279331400990486, 0.00037776472163386643, 0.0003462678287178278, 0.00028020786703564227, 7.902646029833704e-05, 0.0005506916786544025, 0.0002483318676240742, 0.00013938407937530428, 0.0005119422567076981, 0.0003491467796266079, 0.0008452335023321211, 0.000151626139995642, 0.00015039481513667852, 0.0003039812436327338, 0.00020603107986971736, 0.00014294199354480952, 0.00021158542949706316]","[0.0007208591559901834, 9.12156465346925e-05, 0.00014302648196462542, 0.0007165448623709381, 0.0004333771939855069, 0.9940469264984131, 0.00017321477935183793, 0.00010552872117841616, 0.00013301904255058616, 0.00017045714776031673, 0.000297281687380746, 0.0002173319080611691, 0.00018918482237495482, 0.0003056333807762712, 0.000266702234512195, 0.0012121569598093629, 7.241914136102423e-05, 0.00022022092889528722, 0.0001786251086741686, 0.00030621892074123025]",0
swin_imagenet20,cw,0,8,0,8,2.0,True,76.42225646972656,0.9999635219573975,3849705.5,results/adversarial_images/adv_cw_src0_tgt8_idx1.png,"[0.9956595301628113, 0.00019769390928559005, 0.00014084689610172063, 0.002039940096437931, 0.00010550102160777897, 0.0001310965744778514, 0.00015205466479528695, 5.195213088882156e-05, 0.00012721300299745053, 0.00014253094559535384, 0.00012020211579510942, 0.00020418307394720614, 4.7639503463869914e-05, 0.00022347411140799522, 9.516853606328368e-05, 5.173769386601634e-05, 5.960557609796524e-05, 0.00015411827189382166, 0.00011746995005523786, 0.00017803120135795325]","[0.005832579452544451, 0.0007124586263671517, 0.0005438736989162862, 0.001618088106624782, 0.000937556498683989, 0.0005250280373729765, 0.0006967006484046578, 0.00021540500165428966, 0.9784300327301025, 0.0030873448122292757, 0.0011892096372321248, 0.001044353935867548, 0.00014875388296786696, 0.0004502978117670864, 0.00033229010296054184, 0.0007767911301925778, 0.0007071789004839957, 0.001613553031347692, 0.0006036990089341998, 0.0005347448750399053]",1
swin_imagenet20,cw,0,6,0,6,4.0,True,74.66238403320312,0.9999451637268066,3790047.0,results/adversarial_images/adv_cw_src0_tgt6_idx2.png,"[0.9954026937484741, 0.0003203869273420423, 0.0002491366467438638, 0.0006904336041770875, 6.653132004430518e-05, 0.0003577934403438121, 0.00019244832219555974, 5.502842032001354e-05, 0.0001787686487659812, 0.0002874157507903874, 0.0001245150633621961, 0.0004705481987912208, 0.00020515442884061486, 0.0002365137479500845, 0.00015558952873107046, 0.0001340076414635405, 0.00020393970771692693, 0.00017317516903858632, 0.0001439803745597601, 0.0003518362937029451]","[0.008402549661695957, 0.0015718098729848862, 0.00308400159701705, 0.13695339858531952, 0.004248525481671095, 0.008308914490044117, 0.37843698263168335, 0.003184030530974269, 0.0025483141653239727, 0.014379058964550495, 0.010296560823917389, 0.01981324516236782, 0.004810845945030451, 0.004558586981147528, 0.004485233686864376, 0.01830548793077469, 0.06801597774028778, 0.1559847593307495, 0.03191022574901581, 0.12070154398679733]",2
swin_imagenet20,cw,0,7,0,0,3.0,False,78.32150268554688,0.9999768137931824,3093607.25,results/adversarial_images/adv_cw_src0_tgt7_idx3.png,"[0.9956361651420593, 0.0002599064609967172, 0.00013758514251094311, 0.0009304803679697216, 0.0002047023590421304, 0.000303170207189396, 0.00019321184663567692, 4.22158555011265e-05, 0.0001681112771620974, 0.0003052081447094679, 7.421135524054989e-05, 0.0004023178480565548, 0.000130819360492751, 0.0005080836708657444, 0.00015284914115909487, 9.050209337146953e-05, 0.00013764090545009822, 8.025453280424699e-05, 8.135604730341583e-05, 0.00016112859884742647]","[0.9818971157073975, 0.0010373801924288273, 0.0004335306293796748, 0.0035076269414275885, 0.0010562071111053228, 0.0008439513621851802, 0.0005598550196737051, 0.0002167173515772447, 0.0004108484135940671, 0.0024325349368155003, 0.0002693831629585475, 0.0015283325919881463, 0.0004949618596583605, 0.0018727406859397888, 0.0004444106016308069, 0.0002940163540188223, 0.0005545586463995278, 0.0012112760450690985, 0.0002303688379470259, 0.0007041435455903411]",3
swin_imagenet20,cw,0,8,0,8,1.0,True,73.98703002929688,0.99993896484375,2886458.5,results/adversarial_images/adv_cw_src0_tgt8_idx4.png,"[0.9971898198127747, 0.0002834123733919114, 0.00011518483370309696, 7.280443969648331e-05, 2.827820753736887e-05, 0.00019361819431651384, 0.00017139411647804081, 4.4095926568843424e-05, 0.0002148193889297545, 0.00014022212417330593, 0.00010374908015364781, 0.00019432094995863736, 0.00010527551785344258, 0.00038779256283305585, 0.00011793503654189408, 4.664187872549519e-05, 0.00017767793906386942, 0.00011994405940640718, 0.00012621910718735307, 0.00016692269127815962]","[0.0003957306034862995, 0.0001100997906178236, 2.9287639335962012e-05, 5.532945579034276e-05, 2.2773741875425912e-05, 1.5435547538800165e-05, 7.161236135289073e-05, 6.859579298179597e-05, 0.9971743822097778, 0.000254296901402995, 0.0002386018168181181, 0.00039921296411193907, 3.1790525099495426e-05, 0.00015284224355127662, 0.00010744313476607203, 0.000174485903698951, 0.00027045171009376645, 0.00018355400243308395, 0.000129189487779513, 0.00011490109318401664]",4
swin_imagenet20,cw,0,2,0,2,2.0,True,76.68760681152344,0.999966025352478,3733875.75,results/adversarial_images/adv_cw_src0_tgt2_idx5.png,"[0.9973434805870056, 0.00018124499183613807, 9.712592145660892e-05, 0.0004009217373095453, 5.720432454836555e-05, 0.00011914550850633532, 0.000174775326740928, 3.760351683013141e-05, 0.0002152419474441558, 0.00015207278192974627, 8.73797107487917e-05, 0.00017740679322741926, 0.00011743196228053421, 0.00023469902225770056, 6.485697667812929e-05, 5.087455065222457e-05, 0.00010407288937130943, 0.00017799451597966254, 9.796174708753824e-05, 0.00010867902892641723]","[0.0032711464446038008, 0.0014004595577716827, 0.9591548442840576, 0.0019572318997234106, 0.0074390084482729435, 0.0008132438524626195, 0.0008212645188905299, 0.0006606013048440218, 0.0009419858688488603, 0.0009357447270303965, 0.0011802423978224397, 0.0007723856251686811, 0.0017246403731405735, 0.009072369895875454, 0.0029671306256204844, 0.0034963141661137342, 0.0006736279465258121, 0.0013384533813223243, 0.0005904283607378602, 0.000788765144534409]",5
swin_imagenet20,cw,0,16,0,16,2.0,True,74.66792297363281,0.9999468326568604,4711338.0,results/adversarial_images/adv_cw_src0_tgt16_idx6.png,"[0.9841408729553223, 0.000934228184632957, 0.00045392257743515074, 0.0025425744242966175, 0.0007807138608768582, 0.0009441711590625346, 0.0008514202199876308, 0.0003081230679526925, 0.0015069779474288225, 0.0007518870988860726, 0.000495438405778259, 0.0007732352241873741, 0.000547533854842186, 0.001071384409442544, 0.0004863661015406251, 0.00040053349221125245, 0.0009441009606234729, 0.0007565596024505794, 0.0003223360690753907, 0.0009876397671177983]","[0.011304770596325397, 0.0003161877393722534, 0.0010118687059730291, 0.0008287745877169073, 0.0011978402035310864, 0.0005446701543405652, 0.0007466180832125247, 0.000569153344258666, 0.001976123545318842, 0.0014195723924785852, 0.00021818149252794683, 0.0002736906462814659, 0.0014729175018146634, 0.001727718161419034, 0.0002244023489765823, 0.0025645007845014334, 0.9707059860229492, 0.0005112678045406938, 0.0019535899627953768, 0.00043213102617301047]",6
swin_imagenet20,cw,0,8,0,8,1.0,True,75.6278305053711,0.9999567866325378,4218411.5,results/adversarial_images/adv_cw_src0_tgt8_idx7.png,"[0.9758196473121643, 0.001091578509658575, 0.0010196433868259192, 0.011325816623866558, 0.0007448329124599695, 0.00048181723104789853, 0.0004114385519642383, 0.0002671949623618275, 0.0011593400267884135, 0.0010681430576369166, 0.00037629733560606837, 0.0017825895920395851, 0.00032344841747544706, 0.0013545574620366096, 0.00041870929999276996, 0.00020740812760777771, 0.0004260111600160599, 0.0006408042390830815, 0.00035358124296180904, 0.000727261183783412]","[0.023707997053861618, 0.0204105693846941, 0.03426600992679596, 0.025554219260811806, 0.012247299775481224, 0.007817698642611504, 0.046280790120363235, 0.0029765244107693434, 0.6229230165481567, 0.014068366028368473, 0.005803761538118124, 0.07879787683486938, 0.00530603900551796, 0.005953165702521801, 0.007137666456401348, 0.006728787440806627, 0.02584582380950451, 0.02085411548614502, 0.012661576271057129, 0.02065875567495823]",7
swin_imagenet20,cw,0,1,0,1,3.0,True,74.2651138305664,0.9999387264251709,2733958.5,results/adversarial_images/adv_cw_src0_tgt1_idx8.png,"[0.9806129336357117, 0.0021543989423662424, 0.0004948196583427489, 0.0007680302951484919, 0.0006537677254527807, 0.001061220420524478, 0.0008953078067861497, 0.0001978241780307144, 0.0003854036040138453, 0.0015146225923672318, 0.0007000932819209993, 0.0011820093495771289, 0.0005101661081425846, 0.0051540182903409, 0.0007130749872885644, 0.000811464327853173, 0.000914151081815362, 0.0004893012228421867, 0.0003968562523368746, 0.000390529225114733]","[0.006573089398443699, 0.8501015901565552, 0.0034595048055052757, 0.048302020877599716, 0.00936831347644329, 0.004537034779787064, 0.0018584496574476361, 0.007300170138478279, 0.0015895739197731018, 0.012198133394122124, 0.004927727859467268, 0.003100801957771182, 0.0022515119053423405, 0.021391814574599266, 0.005889508873224258, 0.0019363302271813154, 0.006311417557299137, 0.002107448410242796, 0.004338015802204609, 0.002457536058500409]",8
swin_imagenet20,cw,0,17,0,17,2.0,True,75.68437194824219,0.9999597072601318,4191042.25,results/adversarial_images/adv_cw_src0_tgt17_idx9.png,"[0.9946711659431458, 0.00030203067581169307, 0.00022446189541369677, 0.0013038947945460677, 0.00016715211677365005, 0.0004055831814184785, 0.00021615871810354292, 8.637773134978488e-05, 0.0003021110314875841, 0.00028388609644025564, 0.00017819044296629727, 0.00022725792950950563, 0.00016338564455509186, 0.0004346793284639716, 0.00017706293147057295, 0.00012943075853399932, 0.0001389356330037117, 0.00019181217066943645, 0.00014155784447211772, 0.00025480848853476346]","[0.11459852755069733, 0.00037923117633908987, 0.0003140317276120186, 0.0022889277897775173, 0.0007014828152023256, 0.00029540006653405726, 0.0003693356702569872, 0.00021822289272677153, 0.00038988905726000667, 0.0008462400874122977, 0.0004660434788092971, 0.00024388745077885687, 0.0003172209835611284, 0.0017818454653024673, 0.00019085653184447438, 0.00043617282062768936, 0.00014687668590340763, 0.8744418621063232, 0.0002064668806269765, 0.0013675453374162316]",9
