model,attack,true_class,target_class,original_pred_class,adversarial_pred_class,first_success_iter,attack_successful,psnr_score,ssim_score,ergas_score,adversarial_image_path,original_probs,adversarial_probs,dataset_index
swin_imagenet20_robust,fgsm,0,12,0,12,2.0,True,85.33123779296875,0.9999937415122986,796186.9375,results/adversarial_images/adv_fgsm_src0_tgt12_idx0.png,"[0.9499006867408752, 3.225462933187373e-05, 4.158484443905763e-05, 0.002483236836269498, 0.004214579705148935, 1.0156205462408252e-05, 6.04771130952031e-08, 5.544997111428529e-05, 4.311600321216247e-07, 0.003798602381721139, 0.00010162101534660906, 0.002862816210836172, 3.364715303177945e-05, 0.01834658905863762, 1.4555135976479505e-06, 3.417985499254428e-05, 3.584823934943415e-05, 0.018024975433945656, 1.3026631677348632e-05, 8.81226787896594e-06]","[0.0085305692628026, 1.1177527994732372e-05, 3.3864220313262194e-05, 7.608837677253177e-06, 0.00010338405991205946, 1.8369960343989078e-06, 1.9562433806186164e-07, 1.144615362136392e-05, 6.794358569095493e-07, 0.00013269612099975348, 0.0006228851270861924, 4.009675194538431e-06, 0.9899036884307861, 0.0003960273170378059, 9.562781087879557e-06, 7.750282384222373e-05, 5.145719478605315e-05, 9.508521907264367e-05, 4.3968884710920975e-06, 2.0540660443657544e-06]",0
swin_imagenet20_robust,fgsm,0,7,0,7,1.0,True,85.43028259277344,0.9999945759773254,1364666.0,results/adversarial_images/adv_fgsm_src0_tgt7_idx1.png,"[0.9515087008476257, 0.0022811240050941706, 6.903539542690851e-06, 0.013797057792544365, 3.7127883842913434e-05, 2.2286376406555064e-06, 2.7517256739884033e-07, 0.00013237717212177813, 5.60919602321519e-07, 7.603727681271266e-06, 1.9230003545089858e-06, 0.02536994405090809, 1.7950119968190847e-07, 0.006055212114006281, 3.637960048763489e-07, 3.5709348594537005e-05, 2.5347306291223504e-05, 0.000724955927580595, 1.019540741253877e-05, 2.3542854705738137e-06]","[1.3305659194884356e-05, 1.0904495972852146e-08, 8.95355434238354e-09, 4.698930311519689e-08, 8.65724473442242e-07, 3.151951943891618e-08, 4.743581638599892e-10, 0.9999852180480957, 1.4986319740728504e-08, 3.087104971655208e-08, 7.244619837365462e-08, 5.668607983011498e-08, 4.437963052605909e-10, 1.4817058513472148e-07, 3.163099648872958e-08, 7.683038205641424e-08, 6.148179743092896e-09, 3.8430634674568864e-08, 5.714157325087399e-08, 1.5684303633634045e-08]",1
swin_imagenet20_robust,fgsm,0,16,0,16,1.0,True,85.44383239746094,0.9999938607215881,1112057.25,results/adversarial_images/adv_fgsm_src0_tgt16_idx2.png,"[0.9995002746582031, 4.3532145355129614e-06, 2.19757207986504e-08, 5.363453510653926e-06, 2.0554402908601332e-06, 8.099812589534849e-07, 2.9657591937848338e-08, 2.0009265426779166e-05, 5.663522539833821e-09, 5.306806549754128e-09, 5.1113016041881565e-08, 4.879988409811631e-06, 1.1107568553825331e-07, 0.00026724935742095113, 2.756108674617508e-09, 1.7232704863090476e-07, 0.00017777280299924314, 3.5365758321859175e-07, 3.4872140730612955e-08, 1.6521229554200545e-05]","[1.5968566003721207e-05, 1.9946472207266197e-07, 3.3081357653230725e-09, 7.101032650780326e-08, 1.4361885014579912e-08, 2.190652814704208e-08, 5.661553004188136e-09, 3.281710903024759e-08, 5.442076567163667e-09, 3.9013226427186964e-08, 7.79708031473092e-09, 1.0120476900965514e-07, 1.1645049653452588e-06, 2.5657593027972325e-07, 3.3914855368522012e-09, 2.9590275119062426e-08, 0.9999819993972778, 4.3033789864921346e-09, 1.6342422526349765e-08, 6.397421259407565e-08]",2
swin_imagenet20_robust,fgsm,0,19,0,19,1.0,True,85.34538269042969,0.9999948143959045,1378069.875,results/adversarial_images/adv_fgsm_src0_tgt19_idx3.png,"[0.9451717138290405, 0.00014656105486210436, 0.000322238338412717, 3.607805410865694e-05, 5.1405491831246763e-05, 6.121564365457743e-05, 2.0777104509761557e-05, 9.538014637655579e-06, 0.0002459093520883471, 0.0002822277892846614, 8.031269317143597e-06, 8.875713683664799e-05, 0.011584362015128136, 0.002450306434184313, 5.681468451257388e-07, 0.00045280621270649135, 0.038141023367643356, 0.00011427496065152809, 9.731228601594921e-06, 0.0008025581482797861]","[0.0002380546065978706, 6.513055268442258e-05, 4.081720908288844e-05, 1.2914482567794039e-06, 1.556967163196532e-06, 1.4783233837079024e-06, 1.5297546269721352e-06, 4.900237513538741e-07, 2.6049960979435127e-06, 1.0955860489048064e-05, 2.0747152973399352e-07, 7.214845254566171e-07, 2.543844675528817e-05, 4.230550621286966e-05, 3.582441676641679e-09, 2.2128955606603995e-05, 1.1580272257560864e-05, 7.427850505337119e-05, 3.870585487675271e-07, 0.9994589686393738]",3
swin_imagenet20_robust,fgsm,0,1,0,1,2.0,True,85.22697448730469,0.9999939799308777,806721.4375,results/adversarial_images/adv_fgsm_src0_tgt1_idx4.png,"[0.9997962117195129, 3.196748821210349e-06, 5.834119676251248e-08, 3.640155910034082e-08, 2.368485780834817e-07, 8.834186360218155e-08, 1.8351650510339823e-07, 4.133061156608164e-05, 2.1200305511115403e-08, 2.3279584482338578e-08, 7.923551493149716e-06, 5.671443545907096e-07, 7.657343667233363e-05, 3.4773511288221925e-05, 9.400100253742494e-09, 2.7364451398170786e-06, 2.4901324650272727e-05, 1.5363625607278664e-06, 1.0827504581811809e-07, 9.58021428232314e-06]","[0.0024847190361469984, 0.9972943663597107, 3.832334627418277e-08, 3.480817269974068e-07, 2.1785037063182244e-07, 2.2817309286438103e-07, 5.337744823918911e-07, 1.7806943333198433e-06, 3.4813317029147584e-07, 1.1382024922568235e-07, 1.3470753401634283e-07, 0.00015512235404457897, 1.6851206510182237e-06, 3.7882087781326845e-05, 7.844265326184541e-08, 3.685095407490735e-06, 1.3038472388871014e-05, 1.120619799621636e-06, 5.594265530817211e-07, 3.912246938853059e-06]",4
swin_imagenet20_robust,fgsm,0,15,0,15,2.0,True,85.38609313964844,0.9999948143959045,1371625.625,results/adversarial_images/adv_fgsm_src0_tgt15_idx5.png,"[0.99943608045578, 1.7486863512772288e-08, 1.1207789896161557e-07, 1.6803511243779212e-05, 4.978834476787597e-05, 1.1773717112362192e-08, 3.1129349098435455e-10, 9.409650374436751e-06, 5.7374385242781045e-09, 1.7691803577690735e-07, 7.294296722193394e-09, 3.895828740496654e-06, 5.232573041524802e-09, 0.00048253897693939507, 1.234861457533043e-08, 4.789607288557818e-08, 7.978451321832836e-08, 4.223294354233076e-07, 2.2011823830325739e-07, 2.64824933537966e-07]","[0.01270574051886797, 0.00016706938913557678, 0.00018508246284909546, 0.0004950780421495438, 0.0004997440846636891, 4.674052888731239e-06, 1.3556581279772217e-06, 0.00029342822381295264, 2.1992357233102666e-06, 0.0007802234031260014, 1.200959445668559e-06, 2.435652095300611e-05, 0.0001020097843138501, 0.001508716493844986, 5.489894192578504e-07, 0.9740714430809021, 2.2348798665916547e-05, 0.002531093778088689, 0.002048094756901264, 0.00455548195168376]",5
swin_imagenet20_robust,fgsm,0,1,0,1,3.0,True,85.35466003417969,0.9999935626983643,1376598.125,results/adversarial_images/adv_fgsm_src0_tgt1_idx6.png,"[0.9621369242668152, 3.983628175774356e-06, 8.567121767555363e-07, 0.005715746898204088, 0.013148526661098003, 2.7781270546256565e-05, 7.42406768949877e-07, 0.010408979840576649, 8.68459483172046e-06, 2.6091470317624044e-07, 0.0021285032853484154, 6.357250094879419e-05, 6.756645234418102e-06, 0.0060270256362855434, 7.027642823231872e-06, 5.627838163491106e-06, 2.32572801905917e-05, 0.0002620062150526792, 5.026021199228126e-07, 2.3328009774559177e-05]","[0.007483351044356823, 0.9658904671669006, 1.183317908726167e-05, 0.0003714245103765279, 0.002986692124977708, 9.608959226170555e-05, 6.437797765102005e-06, 0.008319784887135029, 6.626493268413469e-05, 9.523218068352435e-06, 0.0031327023170888424, 0.0006234351312741637, 2.6887573767453432e-05, 0.0010079918429255486, 2.819336805259809e-05, 0.002613646909594536, 0.0009849186753854156, 0.002371157519519329, 0.0003534647112246603, 0.0036156922578811646]",6
swin_imagenet20_robust,fgsm,0,13,3,13,1.0,True,85.67459106445312,0.9999944567680359,1326816.75,results/adversarial_images/adv_fgsm_src0_tgt13_idx7.png,"[0.24765190482139587, 0.013667307794094086, 0.0001828622625907883, 0.4134938716888428, 0.00013231637421995401, 0.00019115868781227618, 1.9923663785448298e-07, 0.0001484923268435523, 1.8325480368730496e-06, 1.718965904728975e-05, 1.575564851918898e-06, 0.28349733352661133, 8.81803407537518e-06, 0.04040269926190376, 3.235177473470685e-06, 3.07808950310573e-05, 0.00036101380828768015, 0.00011761426867451519, 1.8932714738184586e-05, 7.087432459229603e-05]","[1.3217298828749335e-06, 2.153625428036321e-05, 1.5011639789008768e-06, 8.040977991186082e-05, 1.2142370451329043e-06, 1.0259562259307131e-05, 5.958895599178504e-09, 6.312473743719238e-08, 4.755127136490955e-08, 4.515888576861471e-06, 9.813339474362692e-09, 2.5348965209559537e-05, 9.732697435538284e-06, 0.9998345375061035, 2.6948969278350887e-08, 1.60000729465537e-06, 7.588193057017634e-06, 5.588084661667381e-08, 1.5628619109975261e-07, 1.3507536777979112e-07]",7
swin_imagenet20_robust,fgsm,0,13,0,13,1.0,True,85.71282196044922,0.9999948143959045,764086.5,results/adversarial_images/adv_fgsm_src0_tgt13_idx8.png,"[0.8803954720497131, 0.003064582124352455, 0.0007267987821251154, 5.254234201856889e-05, 0.024762747809290886, 0.0006123932544142008, 7.138613000279292e-05, 0.010572033002972603, 0.00017018913058564067, 5.790686554973945e-05, 8.719477045815438e-05, 0.0005843610852025449, 0.01048064511269331, 0.041437044739723206, 1.0131486305908766e-05, 0.01139640249311924, 0.0015586165245622396, 0.0013183883856981993, 0.011632275767624378, 0.0010087917326018214]","[0.0001245488238055259, 9.055447947048378e-08, 4.7314916429286313e-08, 1.1403328699088888e-06, 5.929214239586145e-07, 2.8221624148727642e-08, 1.4513891199996465e-09, 1.4178760920913192e-07, 5.57692025893175e-08, 3.4482692257142844e-08, 1.7924246531464405e-09, 1.296170353271009e-06, 1.8653472011465055e-07, 0.9998717308044434, 1.0854966925322174e-09, 7.7737290382629e-08, 1.1804280575233861e-07, 3.655599556395828e-08, 7.129776324887871e-09, 1.030018204062344e-08]",8
swin_imagenet20_robust,fgsm,0,15,0,0,3.0,False,85.4146728515625,0.9999942779541016,1367119.375,results/adversarial_images/adv_fgsm_src0_tgt15_idx9.png,"[0.9305755496025085, 2.810106423112302e-07, 2.1342886569186703e-08, 0.0003775520308408886, 1.2791037988790777e-05, 3.04468557033033e-07, 5.962251137248131e-09, 1.9433171473792754e-05, 1.9368977532963072e-08, 3.119945688467851e-07, 6.027807586406198e-08, 6.1024606111459434e-05, 3.569667512692831e-07, 0.06886108219623566, 5.135083824825415e-07, 6.161556598272e-08, 2.878551583762601e-07, 8.789404819253832e-05, 1.7409478232366382e-06, 6.775847509743471e-07]","[0.5527414679527283, 5.868373409612104e-05, 1.1372531844244804e-05, 0.002603604458272457, 0.00013723393203690648, 7.847675442462787e-05, 8.745621926209424e-06, 0.0004899874329566956, 2.4603079964435892e-06, 0.0001504597457824275, 4.025355792691698e-06, 0.000608364469371736, 0.0003852417867165059, 0.12790147960186005, 1.3367365681915544e-05, 0.31279027462005615, 0.00014811480650678277, 0.0006182923098094761, 0.0009772161720320582, 0.0002711167326197028]",9
