model,attack,true_class,target_class,original_pred_class,adversarial_pred_class,first_success_iter,attack_successful,psnr_score,ssim_score,ergas_score,adversarial_image_path,original_probs,adversarial_probs,dataset_index
mobilenet_imagenet20_adv,fgsm,0,5,0,0,,False,84.39009857177734,0.9999878406524658,887709.1875,results/adversarial_images/adv_fgsm_src0_tgt5_idx0.png,"[1.0, 4.303542244787906e-11, 1.5078757686914912e-11, 3.4354886935261675e-08, 1.1229850382932227e-10, 3.931048542238358e-11, 2.269555376965826e-11, 2.7595568191651765e-11, 5.0589102351672466e-11, 1.2379730573996994e-09, 2.5511520673759946e-10, 4.339335113456855e-09, 4.594382096989591e-10, 9.581530235891478e-09, 2.1356653945314719e-10, 4.202209413772806e-10, 3.767298029089261e-09, 2.742411020495439e-10, 8.956667352233438e-11, 3.9797862227963776e-10]","[0.9999971389770508, 7.97165089494456e-09, 2.4547517352146997e-09, 7.022651402621705e-07, 2.2141131594821672e-08, 9.042597781672157e-09, 1.2374052893449061e-09, 3.206795051724498e-09, 5.285598625448529e-09, 1.2871447552242898e-07, 1.6339336994519726e-08, 1.9452865274161013e-07, 6.000038865749957e-08, 8.632499088889745e-07, 1.4187037322699325e-08, 5.116213586120466e-08, 6.85192958371772e-07, 3.7998209023726304e-08, 1.7566099685950576e-08, 7.816932878768057e-08]",0
mobilenet_imagenet20_adv,fgsm,0,7,0,0,,False,84.89266967773438,0.9999898076057434,1451799.5,results/adversarial_images/adv_fgsm_src0_tgt7_idx1.png,"[0.6130468249320984, 8.343882655026391e-06, 4.4171090962663584e-07, 0.00015347400039900094, 3.0389821858989308e-06, 1.3679442645297968e-07, 4.202425145649613e-07, 1.5892989040366956e-06, 7.96486688159348e-07, 1.543769144518592e-06, 1.1797227443821612e-06, 0.38664934039115906, 7.985341881067143e-07, 0.00012105067435186356, 5.176391368877375e-07, 1.330416353084729e-06, 4.20452352045686e-06, 1.3329054127098061e-06, 2.989055019497755e-06, 5.248419370218471e-07]","[0.8348283171653748, 9.7318843472749e-05, 3.1530735213891603e-06, 0.0006620544008910656, 3.900503725162707e-05, 1.7620920971239684e-06, 2.8415454380592564e-06, 0.00018090922094415873, 4.2773885979841e-06, 9.460072760703042e-06, 8.02900376584148e-06, 0.1632312387228012, 3.924774318875279e-06, 0.0008702146587893367, 3.2865823413885664e-06, 9.47639000514755e-06, 1.1847689165733755e-05, 1.2420381608535536e-05, 1.5747275028843433e-05, 4.742713372252183e-06]",1
mobilenet_imagenet20_adv,fgsm,0,10,0,0,,False,84.44174194335938,0.9999875426292419,1249556.875,results/adversarial_images/adv_fgsm_src0_tgt10_idx2.png,"[1.0, 2.8384542979931204e-13, 2.4933048383074877e-14, 2.04837619088849e-10, 9.780818733054475e-13, 1.9291304122724673e-13, 3.527941556513009e-13, 1.19459577321325e-13, 1.7863876068495432e-13, 7.872221212575081e-13, 7.966627032542084e-13, 7.316352385045022e-12, 4.87234493203037e-13, 1.0564026042825247e-10, 1.0437171824506306e-13, 6.96379369100053e-13, 7.214692818863222e-12, 1.9994813096890773e-12, 7.933671758832486e-14, 4.597445688037105e-12]","[1.0, 1.5219685234324487e-10, 3.2516190261178135e-12, 1.2970908791487545e-08, 2.467304971442985e-10, 2.812342199398632e-11, 2.9722276723154195e-11, 3.9757103859061615e-11, 1.8483515065725875e-11, 3.491501879282488e-11, 6.878431157986142e-11, 5.486100462803734e-10, 4.567843325808951e-11, 1.1350798523324102e-08, 1.047273899545953e-11, 6.659877510584167e-11, 6.64397148408824e-10, 2.0659386701371574e-10, 8.830829296979648e-12, 5.809183689642339e-10]",2
mobilenet_imagenet20_adv,fgsm,0,5,0,0,,False,84.43736267089844,0.9999902248382568,1529931.625,results/adversarial_images/adv_fgsm_src0_tgt5_idx3.png,"[1.0, 5.249876922075458e-12, 2.592430122568684e-13, 3.962750960706529e-10, 3.693989125003183e-12, 2.636392406468735e-12, 3.4629746986647447e-12, 8.581257584941784e-14, 1.2547310412891477e-11, 7.757532116681176e-11, 5.593562505540328e-12, 5.713429729325981e-10, 5.415743548065066e-11, 1.157532403261996e-10, 1.420199353084628e-12, 2.1222681598209725e-11, 7.725770023725431e-11, 2.9384463612336376e-11, 2.3451008387791183e-13, 1.1569363522756504e-10]","[1.0, 2.1098221780757598e-10, 8.6023410617031e-12, 1.171457419957278e-08, 1.6720846929274558e-10, 1.0527498317536299e-10, 7.873220131404679e-11, 3.978962558742749e-12, 4.852634960528235e-10, 2.984734681632517e-09, 1.2404874349947193e-10, 1.4397716796565874e-08, 2.1870170119342447e-09, 6.682113085076935e-09, 3.36563762970421e-11, 4.698627598109795e-10, 1.994783893621843e-09, 8.669223672264081e-10, 7.90636826841773e-12, 3.237545342926751e-09]",3
mobilenet_imagenet20_adv,fgsm,0,3,0,0,,False,84.361328125,0.9999887943267822,890200.75,results/adversarial_images/adv_fgsm_src0_tgt3_idx4.png,"[0.9999822378158569, 2.076743665924141e-09, 7.996548978539408e-10, 3.231041318940697e-07, 1.2035794583198367e-08, 3.782812285635373e-09, 7.225344766936814e-09, 3.164693680446362e-07, 1.8228480058724017e-08, 7.385045019958625e-09, 1.0843506537128178e-08, 4.194171765448118e-08, 2.9556154856891226e-08, 1.696531762718223e-05, 2.808769394846422e-08, 1.318826203799972e-08, 1.4876913034811423e-08, 2.0323085436757538e-08, 1.0046135034968984e-09, 4.219953808615173e-08]","[0.9985185265541077, 1.3613777127829962e-07, 6.228675175634635e-08, 1.4665914932265878e-05, 1.2120098062951001e-06, 3.144336346849741e-07, 4.2336654360042303e-07, 8.697014709468931e-05, 1.3133753782312851e-06, 4.615483817360655e-07, 5.765444939243025e-07, 1.4687659586343216e-06, 1.77589879513107e-06, 0.0013661104021593928, 1.3940027656644816e-06, 5.153906386112794e-07, 7.461288191734639e-07, 1.1798354080383433e-06, 6.209151592884155e-08, 2.212976369264652e-06]",4
mobilenet_imagenet20_adv,fgsm,0,1,0,0,,False,84.5108642578125,0.9999884366989136,1517040.0,results/adversarial_images/adv_fgsm_src0_tgt1_idx5.png,"[0.9999995231628418, 1.7053400913624728e-09, 9.10762368300233e-11, 4.1891374280567106e-07, 1.3014908040176465e-09, 1.708859026505749e-10, 4.4638254204087957e-10, 6.721797563002951e-10, 1.4155215888322914e-10, 1.5619148641121683e-08, 2.354726413855701e-10, 1.387571946231958e-09, 2.345210692311639e-10, 2.130515852627468e-08, 2.5858157282065974e-10, 5.229495059211331e-09, 3.0715419097049335e-09, 7.968929960355808e-10, 8.52220849445473e-10, 6.112170214400692e-10]","[0.9999940395355225, 3.02532214391249e-07, 3.371725121326108e-09, 3.5759283036895795e-06, 8.9651564394444e-08, 5.237331901497555e-09, 1.1513239250859897e-08, 3.4142317417718004e-08, 5.86113824141421e-09, 1.8309214055989287e-07, 6.7798224812065655e-09, 5.4398103799258024e-08, 6.068393343383605e-09, 1.2205857728986302e-06, 7.914767508054865e-09, 1.414379795505738e-07, 7.627387788033957e-08, 2.832392809182238e-08, 3.545874349697442e-08, 2.0476159434679175e-08]",5
mobilenet_imagenet20_adv,fgsm,0,7,0,0,,False,84.39833068847656,0.9999879598617554,1536823.625,results/adversarial_images/adv_fgsm_src0_tgt7_idx6.png,"[0.9999954700469971, 2.969881007786057e-10, 7.228069254239244e-10, 2.0578950170602184e-06, 8.230072268133881e-08, 6.76887157435857e-10, 2.1581941789250436e-10, 7.209034436073125e-08, 3.1318694859727714e-10, 5.4465010279614035e-09, 3.338969545296777e-09, 1.3888934446981693e-08, 3.622841138195554e-09, 2.2188232833286747e-06, 1.6607436537086073e-09, 2.4359747552438193e-09, 3.862206554572367e-09, 2.660231368523114e-09, 8.01508165393372e-11, 4.715154489076667e-09]","[0.9998633861541748, 9.038525483617832e-09, 2.350195238420838e-08, 4.550251833279617e-05, 2.0675930500146933e-05, 2.5471548426025947e-08, 5.1938742196000476e-09, 2.4444751034025103e-05, 9.004215151264816e-09, 1.113026968369013e-07, 7.367499677002343e-08, 1.9707972853666433e-07, 3.857568842136061e-08, 4.5071665226714686e-05, 5.24084740050057e-08, 5.5705804413719306e-08, 8.043636512411467e-08, 8.907230863997029e-08, 2.593663950278824e-09, 1.5062487079831044e-07]",6
mobilenet_imagenet20_adv,fgsm,0,3,0,0,,False,84.46471405029297,0.9999883770942688,1525121.5,results/adversarial_images/adv_fgsm_src0_tgt3_idx7.png,"[0.995215654373169, 4.047378752147779e-06, 2.503094549410889e-07, 0.00296511291526258, 6.324225410025974e-07, 1.1160950919020252e-07, 1.9679153240304004e-07, 2.904225993916043e-06, 4.044436252570449e-07, 3.0506555503961863e-06, 2.2544772093624488e-07, 0.0017613283125683665, 5.752756351284916e-07, 1.3534897334466223e-05, 9.756466170074418e-06, 9.517450962448493e-06, 8.778940355114173e-06, 2.400271114311181e-06, 4.60012046232805e-07, 1.1450240435806336e-06]","[0.6603112816810608, 1.7466330973547883e-05, 7.565698183498171e-07, 0.3343634009361267, 2.31968488151324e-06, 5.52504104689433e-07, 5.813792540720897e-07, 9.686948033049703e-06, 1.4904045428920654e-06, 1.858283212641254e-05, 7.84002054388111e-07, 0.005130380392074585, 8.727885187909123e-07, 1.8504153558751568e-05, 2.817854328895919e-05, 3.162040957249701e-05, 5.0959442887688056e-05, 6.972211394895567e-06, 1.2701312925855746e-06, 4.322444965509931e-06]",7
mobilenet_imagenet20_adv,fgsm,0,2,0,0,,False,84.54296875,0.9999871850013733,876236.75,results/adversarial_images/adv_fgsm_src0_tgt2_idx8.png,"[0.9951590895652771, 8.358424383914098e-05, 3.662151357275434e-05, 0.00022551634174305946, 4.7749657824169844e-05, 4.9542199121788144e-05, 7.092481155268615e-06, 0.0003927008365280926, 1.0554915206739679e-05, 0.00010255860979668796, 7.27861697669141e-06, 0.00010023311187978834, 9.625030361348763e-05, 0.001841884572058916, 1.0975176337524317e-05, 0.0010601836256682873, 0.00015706340491306037, 6.098945959820412e-05, 0.0003516986907925457, 0.00019834632985293865]","[0.5695779919624329, 0.005369096528738737, 0.020438916981220245, 0.003316457848995924, 0.007198008242994547, 0.009786560200154781, 0.00048612928367219865, 0.04382394254207611, 0.0009496071143075824, 0.012285496108233929, 0.0013064497616142035, 0.0023700196761637926, 0.009819552302360535, 0.014980621635913849, 0.0007252062787301838, 0.20700348913669586, 0.007480366621166468, 0.007637446746230125, 0.06273338198661804, 0.012711224146187305]",8
mobilenet_imagenet20_adv,fgsm,0,17,0,0,,False,84.43457794189453,0.99998939037323,1530423.125,results/adversarial_images/adv_fgsm_src0_tgt17_idx9.png,"[1.0, 3.7033791831786456e-12, 2.957066232503469e-12, 4.580336804282936e-11, 4.786693610925319e-11, 4.346037852515083e-12, 2.0446775782917426e-12, 3.2768844061836777e-12, 9.442791600727807e-13, 1.0076150330773359e-10, 7.696733007878098e-12, 1.0286532042824703e-10, 1.5415949766728332e-11, 2.218790040586782e-09, 1.7767550668582044e-12, 1.3832586118200929e-11, 5.023631163836306e-11, 2.393561460145577e-10, 1.615063117965665e-11, 2.133893062250536e-11]","[0.9999997615814209, 3.8460706841547676e-10, 2.3648177860380315e-10, 2.2401021038120916e-09, 5.194790819729178e-09, 4.098980599387403e-10, 1.336169369592355e-10, 4.5049763919280394e-10, 6.513372480254631e-11, 3.7240743822053446e-09, 6.122625739735099e-10, 5.299725103213859e-09, 8.859161737539978e-10, 2.1695483098937984e-07, 9.294629649270192e-11, 9.314758964151792e-10, 3.427383488130431e-09, 2.3004934845971547e-08, 1.6413241876733764e-09, 1.7781438543806871e-09]",9
