model,attack,true_class,target_class,original_pred_class,adversarial_pred_class,first_success_iter,attack_successful,psnr_score,ssim_score,ergas_score,adversarial_image_path,original_probs,adversarial_probs,dataset_index
mobilenet_imagenet20_robust,fgsm,0,15,0,15,4.0,True,85.32271575927734,0.999991774559021,797663.75,results/adversarial_images/adv_fgsm_src0_tgt15_idx0.png,"[0.9889603853225708, 4.882201028522104e-05, 4.938706752000144e-06, 0.00034133304143324494, 0.006698283366858959, 2.4659555492689833e-05, 2.9154437086731377e-08, 3.361990093253553e-05, 3.0958823060700524e-08, 1.6902849893085659e-06, 8.589838216721546e-06, 0.0006598723120987415, 1.154512574430555e-06, 0.0013320784782990813, 5.375217142500333e-07, 1.9379046989342896e-06, 0.001789945992641151, 1.646966120461002e-05, 7.361421739915386e-05, 2.0984321054129396e-06]","[0.03417942300438881, 0.0012781372060999274, 0.00036745885154232383, 0.005276463460177183, 0.002812311053276062, 0.0008290247642435133, 9.989619229600066e-07, 0.00012022438750136644, 4.071574039699044e-06, 0.0006165928789414465, 0.00020741336629725993, 0.014203153550624847, 0.001164030865766108, 0.06957955658435822, 2.5691660994198173e-06, 0.7670381665229797, 0.09664048254489899, 0.0015747923171147704, 0.003873540088534355, 0.00023146490275394171]",0
mobilenet_imagenet20_robust,fgsm,0,5,0,5,2.0,True,85.36122131347656,0.9999929070472717,1375558.75,results/adversarial_images/adv_fgsm_src0_tgt5_idx1.png,"[0.844165563583374, 0.14413832128047943, 5.16621594215394e-06, 0.0006517456495203078, 5.833911200170405e-05, 4.160089883953333e-05, 6.610810032725567e-08, 3.234315227018669e-05, 2.1911105818617216e-08, 1.2583822126543964e-06, 2.9560890197899425e-06, 2.1806450604344718e-05, 1.8596769280065928e-07, 0.010530034080147743, 1.8830414205694979e-07, 2.2002288346811838e-07, 0.0003276007773820311, 2.5397339413757436e-06, 2.6233931293973e-07, 1.9840235836454667e-05]","[0.0004823127528652549, 1.3716500006921706e-06, 9.404206480212451e-07, 6.989735993556678e-06, 5.8346372497908305e-06, 0.9994825124740601, 1.4644520318629617e-10, 1.9674471332109533e-06, 1.8511064903137253e-10, 1.1942438504775055e-06, 7.017568805167684e-06, 2.6681228337821494e-09, 1.0419701768071832e-09, 6.220168415893568e-06, 5.514254053373691e-10, 2.2438766400512122e-09, 3.178909082635073e-06, 4.0231475395557936e-07, 1.2238107194306735e-09, 3.653960689575797e-08]",1
mobilenet_imagenet20_robust,fgsm,0,10,0,0,,False,85.01866149902344,0.9999908208847046,1170166.375,results/adversarial_images/adv_fgsm_src0_tgt10_idx2.png,"[0.9999997615814209, 1.0865362776169007e-10, 1.6092287008148687e-12, 4.461915992237664e-08, 4.2961186691448106e-11, 9.370186050683404e-12, 1.8087481924548843e-13, 1.8522456901592932e-09, 6.690316838942403e-15, 7.367083505738226e-12, 6.348688393574553e-13, 1.2936752780134952e-09, 9.115446591989596e-11, 3.8407890201597183e-08, 4.52058572866787e-12, 1.439931247154691e-11, 1.0215531887070028e-07, 9.022507047040662e-11, 9.428816755141511e-11, 8.248843275104889e-11]","[0.9937282800674438, 3.8067091736593284e-06, 4.9448844947619364e-05, 7.096221816027537e-05, 1.6820769815240055e-05, 1.95940174307907e-05, 1.9338108359079342e-07, 9.92234781733714e-05, 5.6978240792204815e-08, 0.00021558630396611989, 0.00016874491120688617, 1.065913966158405e-05, 4.9471109377918765e-05, 0.00019441339827608317, 2.2704052753397264e-06, 0.00012150913971709087, 0.005031337030231953, 0.00019006762886419892, 9.991937076847535e-06, 1.7589727576705627e-05]",2
mobilenet_imagenet20_robust,fgsm,0,16,0,16,1.0,True,85.21575164794922,0.9999931454658508,1398790.875,results/adversarial_images/adv_fgsm_src0_tgt16_idx3.png,"[0.9982271790504456, 0.00096657604444772, 4.059536706790823e-08, 0.0001575841597514227, 7.764293172840553e-07, 9.533440703535234e-08, 4.79288324584104e-08, 2.2888771127327345e-06, 1.0804796168883968e-08, 1.5229144310069387e-06, 9.169270498432525e-08, 1.729979703668505e-05, 1.961224370461423e-06, 0.00032550402102060616, 1.8943967461382272e-07, 7.194990757852793e-06, 0.0002593022072687745, 1.8831962734111585e-05, 2.105560810150564e-07, 1.3272770047478843e-05]","[2.1003972506150603e-05, 6.90725201479836e-08, 7.391871004180928e-10, 3.5564234224239044e-08, 2.9670882417676125e-10, 1.4775771717268071e-09, 1.2355135803332473e-09, 3.240387402847489e-10, 6.4590650536433536e-12, 4.027566546938033e-08, 1.5957679622147225e-10, 4.650268081718423e-08, 4.049845756526338e-07, 4.0449396010444616e-07, 5.451024007174787e-11, 7.986704986251425e-08, 0.9999778270721436, 5.5361557116384574e-08, 1.9123740091497865e-10, 4.54992381548891e-08]",3
mobilenet_imagenet20_robust,fgsm,0,1,0,1,1.0,True,85.1992416381836,0.999991774559021,809896.4375,results/adversarial_images/adv_fgsm_src0_tgt1_idx4.png,"[0.9624929428100586, 0.00021477437985595316, 2.5657547553237237e-07, 4.4129257730674e-05, 1.0822468254900741e-07, 3.57022145180963e-07, 4.1887474822033255e-08, 0.0068933130241930485, 3.891757103247073e-07, 9.159743967757095e-06, 2.12350732908817e-06, 2.545313918744796e-06, 0.0004185150610283017, 0.02968428283929825, 1.0309498748029e-06, 3.4215634514112025e-05, 2.1410738554550335e-05, 0.0001793429401004687, 2.0012491219745243e-08, 1.0834577324203565e-06]","[8.812570229110861e-09, 1.0, 3.852396266573743e-12, 1.1252170029063535e-10, 1.605715560515364e-12, 5.217437246129997e-11, 7.0576669508604084e-12, 2.9950051327887195e-09, 3.272863577374885e-11, 3.325131186018848e-12, 1.279793285235975e-11, 9.957049768027915e-11, 8.803736385731842e-12, 4.688889720938505e-09, 2.867431986297575e-12, 2.977280644245184e-09, 3.159475459035832e-11, 9.033607639707952e-09, 4.617136208952266e-13, 1.0973310454742702e-10]",4
mobilenet_imagenet20_robust,fgsm,0,12,0,0,,False,85.6509017944336,0.9999934434890747,1330440.0,results/adversarial_images/adv_fgsm_src0_tgt12_idx5.png,"[0.9997528195381165, 3.310080032292717e-08, 3.233018333048676e-07, 8.09592347650323e-06, 2.2551797883352265e-05, 2.2337471250466479e-07, 3.36805666689699e-10, 1.8344468116993085e-05, 3.1377159204204474e-10, 1.2362633583506977e-07, 3.453328289992896e-08, 9.910665994539158e-07, 1.077182609776628e-08, 0.00019394005357753485, 2.1678699724247963e-08, 5.864242211828241e-07, 4.393488381992938e-07, 1.174181875285285e-06, 1.505784723576653e-07, 1.8314052852019813e-07]","[0.9911924004554749, 8.266613804153167e-06, 9.123918425757438e-05, 4.057477053720504e-05, 2.6296538635506295e-05, 2.7288142518955283e-05, 1.696475777634987e-07, 0.0024695361498743296, 1.3048915548097284e-07, 6.908157956786454e-05, 1.1271247785771266e-05, 1.5040853213577066e-05, 0.0017787766410037875, 0.0028661072719842196, 7.510990599257639e-06, 0.0003632923180703074, 0.0001660058187553659, 0.0005777549813501537, 0.00010176165960729122, 0.00018738265498541296]",5
mobilenet_imagenet20_robust,fgsm,0,8,0,13,,False,85.39689636230469,0.9999918937683105,1369920.375,results/adversarial_images/adv_fgsm_src0_tgt8_idx6.png,"[0.9993844032287598, 2.9012045388299157e-07, 3.553391181299048e-08, 1.9363216779311188e-05, 2.5785707293835003e-06, 5.728979317609628e-07, 2.03792325237373e-08, 3.36392258759588e-05, 3.001863424501039e-09, 4.449442769782763e-08, 4.733668106382538e-07, 1.853329933965142e-07, 1.0233786724711535e-06, 0.00024183059576898813, 1.3617689198497374e-08, 7.535508075307007e-07, 4.155883289058693e-05, 1.5505411283811554e-05, 1.4984717608967912e-06, 0.000256236206041649]","[0.15625271201133728, 0.0002507906756363809, 0.00024271258735097945, 0.03491310402750969, 0.00493759848177433, 0.010483943857252598, 0.0008552014478482306, 0.0038883339148014784, 0.032610729336738586, 0.0009172168211080134, 0.0030061881989240646, 0.0017492456827312708, 0.0017443356337025762, 0.6066120266914368, 0.0005298854084685445, 0.008873571641743183, 0.07860608398914337, 0.018880456686019897, 0.0008795055327937007, 0.033766306936740875]",6
mobilenet_imagenet20_robust,fgsm,0,9,0,9,1.0,True,85.20733642578125,0.999992311000824,1400145.75,results/adversarial_images/adv_fgsm_src0_tgt9_idx7.png,"[0.5230141878128052, 0.029040491208434105, 0.0005646056379191577, 0.14421793818473816, 0.0010361216263845563, 0.0005006497958675027, 3.613492663134821e-05, 0.00014575103705283254, 3.104373172391206e-05, 0.00019124787650071084, 5.9561261878116056e-05, 0.2629461884498596, 9.108897211262956e-05, 0.0051113152876496315, 0.0015820590779185295, 0.01671077124774456, 0.01198064349591732, 0.0014446640852838755, 0.00048532927758060396, 0.0008102115825749934]","[5.764088200521655e-06, 1.3601570572063792e-06, 2.2580720724363346e-06, 0.00011696316505549476, 7.308387921511894e-07, 8.902539775590412e-06, 1.8586725047953223e-08, 3.115279127996473e-07, 1.9320954436352622e-07, 0.9997456669807434, 1.8056324435633542e-08, 2.3356485598924337e-06, 2.0635636133192747e-07, 5.965371019556187e-05, 8.302100468426943e-06, 1.2518438779807184e-05, 3.1217150535667315e-05, 1.691166175987746e-06, 5.726537324335368e-07, 1.224812194777769e-06]",7
mobilenet_imagenet20_robust,fgsm,0,12,12,12,0.0,True,85.99506378173828,0.9999933242797852,736892.9375,results/adversarial_images/adv_fgsm_src0_tgt12_idx8.png,"[0.018400369212031364, 0.0036576492711901665, 0.0006175138987600803, 1.004799469228601e-05, 0.0008022037800401449, 0.0009248171118088067, 0.00018861249554902315, 0.013986103236675262, 0.0002751696156337857, 0.0012880421709269285, 0.011300928890705109, 1.8330396414967254e-05, 0.45533275604248047, 0.006005785893648863, 0.0010177884250879288, 0.021535741165280342, 0.0007551276357844472, 0.016459399834275246, 0.4364232122898102, 0.011000406928360462]","[0.00016954107559286058, 0.00010278686386300251, 1.929778591147624e-06, 1.759897600095428e-06, 2.1494520296982955e-07, 8.720758160052355e-06, 1.1485209370221128e-06, 0.00016286454047076404, 1.1592030205065385e-05, 1.7287678929278627e-05, 1.4585924873244949e-05, 5.562701971939532e-06, 0.9989816546440125, 0.0001779851590981707, 1.169585721072508e-05, 2.187154495914001e-05, 8.511242776876315e-05, 0.00018458579143043607, 4.4973658077651635e-06, 3.457053026068024e-05]",8
mobilenet_imagenet20_robust,fgsm,0,14,0,0,,False,85.12946319580078,0.9999918937683105,1412756.0,results/adversarial_images/adv_fgsm_src0_tgt14_idx9.png,"[0.9895617365837097, 9.295742415815766e-07, 7.62681580113167e-08, 0.0016366516938433051, 8.82331223692745e-05, 1.5828281902940944e-06, 6.482333247959104e-08, 1.3009452004553168e-06, 3.298579187571704e-08, 1.652314131206367e-05, 4.7574165051855744e-08, 4.087611614522757e-06, 1.5871723917371128e-06, 0.008553083054721355, 2.022477474383777e-07, 4.7855406592134386e-05, 5.1174811233067885e-05, 2.393354407104198e-06, 1.786146458471194e-05, 1.4619048670283519e-05]","[0.8737309575080872, 0.0001635315566090867, 4.407562664709985e-05, 0.0032984826248139143, 0.008917649276554585, 9.701313683763146e-05, 0.0003502283652778715, 6.60699515719898e-05, 7.804470806149766e-05, 0.0019196424400433898, 7.55489309085533e-05, 0.004172284156084061, 0.001104252878576517, 0.03672715276479721, 0.04161098599433899, 0.016835661605000496, 0.0014456521021202207, 0.003879380412399769, 0.0032625782769173384, 0.002220778726041317]",9
