model,attack,true_class,target_class,original_pred_class,adversarial_pred_class,first_success_iter,attack_successful,psnr_score,ssim_score,ergas_score,adversarial_image_path,original_probs,adversarial_probs,dataset_index
resnet_imagenet20_adv,fgsm,0,1,0,0,63.0,False,85.54917907714844,0.9999956488609314,778151.625,results/adversarial_images/adv_fgsm_src0_tgt1_idx0.png,"[0.716135561466217, 0.012985092587769032, 0.008922290988266468, 0.08960773795843124, 0.015662087127566338, 0.008213103748857975, 0.009419925510883331, 0.011413023807108402, 0.00682353088632226, 0.01123873982578516, 0.007807061541825533, 0.01425482239574194, 0.00875283032655716, 0.023785486817359924, 0.008753927424550056, 0.008942274376749992, 0.009782467968761921, 0.009293586947023869, 0.010217897593975067, 0.007988532073795795]","[0.37654390931129456, 0.18688316643238068, 0.015805687755346298, 0.05433845520019531, 0.025654887780547142, 0.027544261887669563, 0.014029426500201225, 0.027558719739317894, 0.01224922202527523, 0.019550243392586708, 0.010230492800474167, 0.04760979488492012, 0.009817484766244888, 0.06897877156734467, 0.01670071668922901, 0.017110340297222137, 0.02061636745929718, 0.021687399595975876, 0.012420614250004292, 0.0146700544282794]",0
resnet_imagenet20_adv,fgsm,0,1,0,1,4.0,True,85.92082214355469,0.9999960064888,1289732.625,results/adversarial_images/adv_fgsm_src0_tgt1_idx1.png,"[0.5290201306343079, 0.02081095427274704, 0.0166581142693758, 0.07421416789293289, 0.02810065448284149, 0.020512068644165993, 0.01813027448952198, 0.02525041438639164, 0.018322845920920372, 0.021298957988619804, 0.01994408667087555, 0.0310149434953928, 0.01378499437123537, 0.03615514189004898, 0.019638217985630035, 0.018480775877833366, 0.022558748722076416, 0.01882965676486492, 0.02674183063209057, 0.020532993599772453]","[0.21886539459228516, 0.31523221731185913, 0.01373008731752634, 0.09046053886413574, 0.02515273541212082, 0.02379261702299118, 0.013669563457369804, 0.021305231377482414, 0.015180923976004124, 0.016587527468800545, 0.01323770172894001, 0.05901022627949715, 0.009279260411858559, 0.03112013451755047, 0.01712704449892044, 0.019287634640932083, 0.025098741054534912, 0.026085026562213898, 0.018191661685705185, 0.027585642412304878]",1
resnet_imagenet20_adv,fgsm,0,11,0,11,4.0,True,85.61634826660156,0.9999955296516418,1091209.25,results/adversarial_images/adv_fgsm_src0_tgt11_idx2.png,"[0.6040410995483398, 0.026537852361798286, 0.013336354866623878, 0.04052545875310898, 0.026179403066635132, 0.01900693215429783, 0.015494203194975853, 0.02480071410536766, 0.012740496546030045, 0.016823703423142433, 0.014685983769595623, 0.029006456956267357, 0.014300122857093811, 0.03107602894306183, 0.01940719224512577, 0.0151258185505867, 0.018292291089892387, 0.022231044247746468, 0.020443381741642952, 0.015945447608828545]","[0.029224829748272896, 0.01838800497353077, 0.005798622965812683, 0.015250216238200665, 0.009121022187173367, 0.010583932511508465, 0.003497123485431075, 0.007958779111504555, 0.006329583935439587, 0.00629770802333951, 0.0037376254331320524, 0.8169691562652588, 0.005077787209302187, 0.014522031880915165, 0.00820471253246069, 0.008249878883361816, 0.011114350520074368, 0.007242391351610422, 0.006396645214408636, 0.006035559345036745]",2
resnet_imagenet20_adv,fgsm,0,3,0,3,6.0,True,85.66468048095703,0.9999960064888,1328331.125,results/adversarial_images/adv_fgsm_src0_tgt3_idx3.png,"[0.581206738948822, 0.01929609663784504, 0.014129639603197575, 0.07880375534296036, 0.035662855952978134, 0.018989818170666695, 0.012111332267522812, 0.020783940330147743, 0.009583611972630024, 0.01750948652625084, 0.012972980737686157, 0.03011082112789154, 0.011731686070561409, 0.04031537473201752, 0.012607485987246037, 0.015580108389258385, 0.018747754395008087, 0.018182896077632904, 0.015730364248156548, 0.015943212434649467]","[0.24029727280139923, 0.015230163931846619, 0.007751909084618092, 0.5294496417045593, 0.02484489604830742, 0.01298732403665781, 0.008357898332178593, 0.01425749808549881, 0.006456648465245962, 0.011709840968251228, 0.006373136304318905, 0.020221898332238197, 0.007653969805687666, 0.03640980273485184, 0.006614196114242077, 0.0082899434491992, 0.01147813256829977, 0.011459016241133213, 0.009185231290757656, 0.010971564799547195]",3
resnet_imagenet20_adv,fgsm,0,14,0,14,6.0,True,85.75455474853516,0.9999959468841553,760075.4375,results/adversarial_images/adv_fgsm_src0_tgt14_idx4.png,"[0.5037835240364075, 0.02615193836390972, 0.017111821100115776, 0.045402176678180695, 0.03332331404089928, 0.027270568534731865, 0.02186400443315506, 0.04043911397457123, 0.01584322191774845, 0.020378880202770233, 0.01516627799719572, 0.028021877631545067, 0.02134356088936329, 0.05269315093755722, 0.024499913677573204, 0.016903705894947052, 0.02337300218641758, 0.02405714802443981, 0.023936960846185684, 0.018435824662446976]","[0.059616707265377045, 0.02742912992835045, 0.019620845094323158, 0.027343446388840675, 0.025602154433727264, 0.030048653483390808, 0.019308974966406822, 0.03636172041296959, 0.04496054723858833, 0.03161555528640747, 0.022284498438239098, 0.03759261593222618, 0.03007790446281433, 0.054570309817790985, 0.3920871317386627, 0.027099987491965294, 0.02892119809985161, 0.03308944031596184, 0.027850279584527016, 0.024518849328160286]",4
resnet_imagenet20_adv,fgsm,0,19,0,19,24.0,True,85.76077270507812,0.9999961256980896,1313717.375,results/adversarial_images/adv_fgsm_src0_tgt19_idx5.png,"[0.5580984950065613, 0.027834253385663033, 0.01621204987168312, 0.03950686380267143, 0.028345871716737747, 0.019615422934293747, 0.01797434873878956, 0.025836525484919548, 0.017639504745602608, 0.019259415566921234, 0.017775634303689003, 0.030019007623195648, 0.018195146694779396, 0.029992032796144485, 0.022487139329314232, 0.021814756095409393, 0.019044602289795876, 0.022636868059635162, 0.028359368443489075, 0.019352655857801437]","[0.1594773530960083, 0.0349416583776474, 0.06616716086864471, 0.025612100958824158, 0.02601543255150318, 0.03298736363649368, 0.014737298712134361, 0.046574998646974564, 0.012228116393089294, 0.039233241230249405, 0.021050788462162018, 0.022344864904880524, 0.02185998298227787, 0.04528290033340454, 0.022766517475247383, 0.04367178678512573, 0.04130089282989502, 0.0579397939145565, 0.038788389414548874, 0.22701941430568695]",5
resnet_imagenet20_adv,fgsm,0,5,0,5,12.0,True,85.4786605834961,0.9999955296516418,1357086.625,results/adversarial_images/adv_fgsm_src0_tgt5_idx6.png,"[0.6766518354415894, 0.01519011054188013, 0.010635905899107456, 0.058947011828422546, 0.02271299622952938, 0.013089639134705067, 0.010744071565568447, 0.01853056810796261, 0.013711552135646343, 0.012617208063602448, 0.011227608658373356, 0.021842552348971367, 0.011218666099011898, 0.01945582590997219, 0.014123810455203056, 0.01198553666472435, 0.01412076037377119, 0.013835313729941845, 0.017683448269963264, 0.011675533838570118]","[0.12894342839717865, 0.023585312068462372, 0.007643308024853468, 0.053538426756858826, 0.06340647488832474, 0.42703133821487427, 0.009899626486003399, 0.03960977867245674, 0.014420687220990658, 0.0157895740121603, 0.011755088344216347, 0.028155529871582985, 0.01436375081539154, 0.06193571910262108, 0.011204961687326431, 0.016735097393393517, 0.02420204132795334, 0.014423315413296223, 0.017668932676315308, 0.015687596052885056]",6
resnet_imagenet20_adv,fgsm,0,18,0,18,4.0,True,85.65486907958984,0.9999958276748657,1329831.625,results/adversarial_images/adv_fgsm_src0_tgt18_idx7.png,"[0.4774015545845032, 0.017672544345259666, 0.014528476633131504, 0.16801439225673676, 0.02965438924729824, 0.018339501693844795, 0.015403300523757935, 0.03140413388609886, 0.011443058960139751, 0.017189396545290947, 0.011137712746858597, 0.027409009635448456, 0.01573558710515499, 0.04571344330906868, 0.01658719964325428, 0.012137698009610176, 0.021025927737355232, 0.017953187227249146, 0.01654059626162052, 0.014708912931382656]","[0.037281136959791183, 0.023769330233335495, 0.020128704607486725, 0.02233841083943844, 0.014652426354587078, 0.022646667435765266, 0.022942744195461273, 0.02688227966427803, 0.020930850878357887, 0.0217864029109478, 0.021970657631754875, 0.04322328418493271, 0.032719649374485016, 0.016380801796913147, 0.02053876593708992, 0.04766719415783882, 0.0759267657995224, 0.03228805959224701, 0.44479867815971375, 0.031127119436860085]",7
resnet_imagenet20_adv,fgsm,0,14,0,14,5.0,True,85.8780517578125,0.9999960064888,746545.875,results/adversarial_images/adv_fgsm_src0_tgt14_idx8.png,"[0.45849931240081787, 0.022580990567803383, 0.02215094305574894, 0.04023825749754906, 0.038452375680208206, 0.026861384510993958, 0.0165722519159317, 0.03734973445534706, 0.014527220278978348, 0.023690879344940186, 0.0198542308062315, 0.026867307722568512, 0.02352960966527462, 0.08255422115325928, 0.018881915137171745, 0.023239629343152046, 0.029213542118668556, 0.02892564982175827, 0.024170266464352608, 0.021840311586856842]","[0.074025459587574, 0.028676990419626236, 0.02767827920615673, 0.02732185274362564, 0.027601290494203568, 0.024985136464238167, 0.02085215412080288, 0.04915313050150871, 0.025829477235674858, 0.031197872012853622, 0.03278219327330589, 0.029278311878442764, 0.03540771082043648, 0.0702667161822319, 0.2787032127380371, 0.04177705943584442, 0.056089431047439575, 0.04465214163064957, 0.031358230859041214, 0.04236336052417755]",8
resnet_imagenet20_adv,fgsm,0,11,0,11,60.0,True,85.41999816894531,0.9999955296516418,1366282.125,results/adversarial_images/adv_fgsm_src0_tgt11_idx9.png,"[0.6982341408729553, 0.01659589819610119, 0.01200165506452322, 0.026845859363675117, 0.020820237696170807, 0.014451851136982441, 0.010328480042517185, 0.0194513201713562, 0.009937792085111141, 0.013156303204596043, 0.012556011788547039, 0.023882422596216202, 0.009117812849581242, 0.0202763844281435, 0.016212482005357742, 0.01438501663506031, 0.01388856302946806, 0.013634967617690563, 0.020462362095713615, 0.013760372065007687]","[0.08288461714982986, 0.02459995076060295, 0.009910154156386852, 0.018529104068875313, 0.016022304072976112, 0.0189584419131279, 0.008975913748145103, 0.018025770783424377, 0.007989573292434216, 0.009878181852400303, 0.010052058845758438, 0.6400442123413086, 0.007378708105534315, 0.030824733898043633, 0.018181826919317245, 0.01785273291170597, 0.017156777903437614, 0.01292315311729908, 0.017199935391545296, 0.012611868791282177]",9
