model,attack,true_class,target_class,original_pred_class,adversarial_pred_class,first_success_iter,attack_successful,psnr_score,ssim_score,ergas_score,adversarial_image_path,original_probs,adversarial_probs,dataset_index
resnet_imagenet20,cw,0,14,0,0,2.0,False,73.33470153808594,0.9999402165412903,3009090.75,results/adversarial_images/adv_cw_src0_tgt14_idx0.png,"[0.7899100184440613, 0.007779794745147228, 0.004739179275929928, 0.05929815024137497, 0.0125971594825387, 0.010344678536057472, 0.004265042021870613, 0.008814772590994835, 0.0037085763178765774, 0.00940975733101368, 0.005700856447219849, 0.008112340234220028, 0.0035627062898129225, 0.025052065029740334, 0.005003437865525484, 0.009492416866123676, 0.006318185478448868, 0.012739659287035465, 0.0064514861442148685, 0.006699769292026758]","[0.08456575870513916, 0.02879575453698635, 0.045641109347343445, 0.04112348333001137, 0.04054904729127884, 0.041120607405900955, 0.02943628840148449, 0.037270598113536835, 0.03059575892984867, 0.06123005226254463, 0.07876010984182358, 0.027413345873355865, 0.031069226562976837, 0.0623072050511837, 0.06171773374080658, 0.082750603556633, 0.044046152383089066, 0.07529792189598083, 0.05998605862259865, 0.03632320463657379]",0
resnet_imagenet20,cw,0,11,0,0,2.0,False,75.68955993652344,0.9999651312828064,4188534.0,results/adversarial_images/adv_cw_src0_tgt11_idx1.png,"[0.7540792226791382, 0.01871180348098278, 0.00637088343501091, 0.04857805743813515, 0.011864038184285164, 0.009904746897518635, 0.0060147447511553764, 0.009515496902167797, 0.006365508772432804, 0.009573802351951599, 0.009673749096691608, 0.015683868899941444, 0.0039410837925970554, 0.017525946721434593, 0.011345906183123589, 0.011565745808184147, 0.013357204385101795, 0.015203925780951977, 0.00873398408293724, 0.011990209110081196]","[0.1087673157453537, 0.03397003933787346, 0.022605791687965393, 0.07458340376615524, 0.025345539674162865, 0.028483817353844643, 0.01052585057914257, 0.013864560052752495, 0.024278860539197922, 0.08589635044336319, 0.08921448141336441, 0.05440416932106018, 0.015275438316166401, 0.07696128636598587, 0.026042679324746132, 0.07429061830043793, 0.04613683372735977, 0.08571231365203857, 0.03699328750371933, 0.06664733588695526]",1
resnet_imagenet20,cw,0,12,0,15,3.0,False,73.11734008789062,0.9999372959136963,4531697.5,results/adversarial_images/adv_cw_src0_tgt12_idx2.png,"[0.7393586039543152, 0.019141031429171562, 0.012099072337150574, 0.022885596379637718, 0.015833627432584763, 0.015439486131072044, 0.01101087499409914, 0.013699818402528763, 0.00912727415561676, 0.0158045906573534, 0.00970989279448986, 0.014023683033883572, 0.00847037136554718, 0.017879994586110115, 0.01124915387481451, 0.011511522345244884, 0.014348173514008522, 0.01612839661538601, 0.01016302965581417, 0.012115873396396637]","[0.03786439448595047, 0.03401535376906395, 0.04929531738162041, 0.03192681446671486, 0.04104962199926376, 0.04766306281089783, 0.0475328154861927, 0.04407545179128647, 0.031565602868795395, 0.09286461025476456, 0.08538714796304703, 0.031590282917022705, 0.03191414847970009, 0.05968569219112396, 0.02463746815919876, 0.09486604481935501, 0.027689781039953232, 0.06569875776767731, 0.05714451149106026, 0.06353314965963364]",2
resnet_imagenet20,cw,0,9,0,9,3.0,True,77.6935806274414,0.9999784827232361,3325533.25,results/adversarial_images/adv_cw_src0_tgt9_idx3.png,"[0.7688208818435669, 0.007012076675891876, 0.006364031229168177, 0.029602795839309692, 0.012904048897325993, 0.02167457900941372, 0.004197373054921627, 0.011431961320340633, 0.008241434581577778, 0.011023925617337227, 0.009530946612358093, 0.009905494749546051, 0.005296510178595781, 0.023783564567565918, 0.008837364614009857, 0.008040093816816807, 0.019050266593694687, 0.017409101128578186, 0.007513962686061859, 0.009359605610370636]","[0.05812586471438408, 0.009708896279335022, 0.027846770361065865, 0.022219734266400337, 0.022386955097317696, 0.039343658834695816, 0.014540406875312328, 0.011759630404412746, 0.018165506422519684, 0.2269294261932373, 0.027227438986301422, 0.013853785581886768, 0.022819817066192627, 0.05549411103129387, 0.008515859954059124, 0.06650245189666748, 0.16240276396274567, 0.057703785598278046, 0.04843241348862648, 0.08602066338062286]",3
resnet_imagenet20,cw,0,13,0,9,1.0,False,73.11880493164062,0.9999381303787231,3196981.25,results/adversarial_images/adv_cw_src0_tgt13_idx4.png,"[0.6073282957077026, 0.030423816293478012, 0.013330990448594093, 0.03292911872267723, 0.019375918433070183, 0.01958092302083969, 0.011934137903153896, 0.027872413396835327, 0.011976984329521656, 0.023701651021838188, 0.012423504143953323, 0.0261994581669569, 0.010082594119012356, 0.04290870204567909, 0.01718924008309841, 0.013650585897266865, 0.019548095762729645, 0.023878680542111397, 0.015569370239973068, 0.020095566287636757]","[0.041791051626205444, 0.016359269618988037, 0.03228165581822395, 0.026859911158680916, 0.02772812359035015, 0.04851805418729782, 0.011384764686226845, 0.026136506348848343, 0.015326307155191898, 0.17958992719650269, 0.05958917737007141, 0.01611414924263954, 0.015427700243890285, 0.13619717955589294, 0.01009872555732727, 0.09023953974246979, 0.0391012504696846, 0.08224194496870041, 0.06138931214809418, 0.06362538784742355]",4
resnet_imagenet20,cw,0,5,0,19,3.0,False,75.006591796875,0.9999609589576721,4531173.5,results/adversarial_images/adv_cw_src0_tgt5_idx5.png,"[0.7188342809677124, 0.016761351376771927, 0.011922215111553669, 0.020258504897356033, 0.014686960726976395, 0.01254886295646429, 0.010219516232609749, 0.013816230930387974, 0.013500906527042389, 0.013768375851213932, 0.01614730805158615, 0.015272948890924454, 0.010783784091472626, 0.017410865053534508, 0.01504471804946661, 0.017031211405992508, 0.01225037407130003, 0.018549595028162003, 0.015491212718188763, 0.015700776129961014]","[0.053600627928972244, 0.022560078650712967, 0.05316128209233284, 0.02467534691095352, 0.03370053693652153, 0.040939100086688995, 0.02837047353386879, 0.03912612050771713, 0.02921082079410553, 0.1133522242307663, 0.09488801658153534, 0.026166165247559547, 0.03197331354022026, 0.04244166612625122, 0.026037462055683136, 0.0624883696436882, 0.03522654250264168, 0.056457336992025375, 0.06600598990917206, 0.11961846798658371]",5
resnet_imagenet20,cw,0,1,0,13,5.0,False,73.73589324951172,0.9999459981918335,5245002.5,results/adversarial_images/adv_cw_src0_tgt1_idx6.png,"[0.7536357641220093, 0.015778042376041412, 0.010066834278404713, 0.030622484162449837, 0.016908202320337296, 0.013128625229001045, 0.01044708862900734, 0.012299258261919022, 0.010530692525207996, 0.011562841013073921, 0.010948803275823593, 0.012676741927862167, 0.007994983345270157, 0.014401706866919994, 0.009736670181155205, 0.012256577610969543, 0.011759785003960133, 0.013582258485257626, 0.011436786502599716, 0.01022576354444027]","[0.10759339481592178, 0.0211373008787632, 0.028322452679276466, 0.0537077896296978, 0.04668249562382698, 0.0772627517580986, 0.023782752454280853, 0.029629139229655266, 0.01582605391740799, 0.06774681806564331, 0.05580767244100571, 0.014393321238458157, 0.012846238911151886, 0.1250772327184677, 0.012977310456335545, 0.1069224625825882, 0.028554493561387062, 0.07341255247592926, 0.040795426815748215, 0.05752232298254967]",6
resnet_imagenet20,cw,0,7,0,15,1.0,False,74.87456512451172,0.9999584555625916,4600572.5,results/adversarial_images/adv_cw_src0_tgt7_idx7.png,"[0.7894312143325806, 0.008136344142258167, 0.005369229707866907, 0.06066296622157097, 0.011416813358664513, 0.009376823902130127, 0.0044243731535971165, 0.00879676453769207, 0.005161437671631575, 0.00927350390702486, 0.004377550911158323, 0.015509947203099728, 0.003622065531089902, 0.021689079701900482, 0.008776834234595299, 0.007263028994202614, 0.009017856791615486, 0.00778959272429347, 0.004801180679351091, 0.005103397648781538]","[0.03567679226398468, 0.03423851728439331, 0.050369590520858765, 0.02805018424987793, 0.039321646094322205, 0.040576379746198654, 0.03246798738837242, 0.039368774741888046, 0.03308684378862381, 0.09749241918325424, 0.08232443779706955, 0.027234308421611786, 0.026430213823914528, 0.05346473678946495, 0.022107599303126335, 0.10178501904010773, 0.028664441779255867, 0.08216594159603119, 0.06830167025327682, 0.07687240093946457]",7
resnet_imagenet20,cw,0,3,0,10,2.0,False,73.05741119384766,0.9999375939369202,3101929.0,results/adversarial_images/adv_cw_src0_tgt3_idx8.png,"[0.7757834196090698, 0.008272568695247173, 0.009956207126379013, 0.008414586074650288, 0.008805111981928349, 0.010950121097266674, 0.006935661192983389, 0.007638666778802872, 0.005719018634408712, 0.017731627449393272, 0.009558958001434803, 0.011373030953109264, 0.006842856761068106, 0.046326905488967896, 0.00723085505887866, 0.012925141490995884, 0.012210572138428688, 0.013300438411533833, 0.010066116228699684, 0.009958149865269661]","[0.03994489461183548, 0.03240130469202995, 0.04109887033700943, 0.058273885399103165, 0.03132591396570206, 0.04312761500477791, 0.027649875730276108, 0.02722998522222042, 0.027620453387498856, 0.12437577545642853, 0.15403087437152863, 0.018930254504084587, 0.03301657363772392, 0.04468607157468796, 0.021425945684313774, 0.07064776867628098, 0.02529226988554001, 0.05395810678601265, 0.06955354660749435, 0.05541004240512848]",8
resnet_imagenet20,cw,0,15,0,15,4.0,True,74.91702270507812,0.9999587535858154,4578137.5,results/adversarial_images/adv_cw_src0_tgt15_idx9.png,"[0.770167350769043, 0.010853143408894539, 0.00902937538921833, 0.023306118324398994, 0.014342577196657658, 0.01275890413671732, 0.008452605456113815, 0.01475299708545208, 0.009018071927130222, 0.010273324325680733, 0.012364767491817474, 0.012105320580303669, 0.008198117837309837, 0.017624329775571823, 0.009785804897546768, 0.011743195354938507, 0.012431132607161999, 0.012540101073682308, 0.011112790554761887, 0.009139959700405598]","[0.12134334444999695, 0.022462354972958565, 0.0354621559381485, 0.0364837609231472, 0.016230670735239983, 0.04014984518289566, 0.015393326990306377, 0.016950007528066635, 0.010264197364449501, 0.06918754428625107, 0.060202889144420624, 0.01614352874457836, 0.04108570143580437, 0.03409968689084053, 0.013045412488281727, 0.21133427321910858, 0.034942757338285446, 0.08428632467985153, 0.06654734164476395, 0.05438489094376564]",9
