model,attack,true_class,target_class,original_pred_class,adversarial_pred_class,first_success_iter,attack_successful,psnr_score,ssim_score,ergas_score,adversarial_image_path,original_probs,adversarial_probs,dataset_index
resnet_imagenet20,pgd,0,10,0,10,30.0,True,91.59405517578125,0.9999991655349731,390450.65625,results/adversarial_images/adv_pgd_src0_tgt10_idx0.png,"[0.7899100184440613, 0.007779794745147228, 0.004739179275929928, 0.05929815024137497, 0.0125971594825387, 0.010344678536057472, 0.004265042021870613, 0.008814772590994835, 0.0037085763178765774, 0.00940975733101368, 0.005700856447219849, 0.008112340234220028, 0.0035627062898129225, 0.025052065029740334, 0.005003437865525484, 0.009492416866123676, 0.006318185478448868, 0.012739659287035465, 0.0064514861442148685, 0.006699769292026758]","[0.039991527795791626, 0.017518112435936928, 0.023318825289607048, 0.02179574966430664, 0.02302340231835842, 0.027650149539113045, 0.013848272152245045, 0.01672258973121643, 0.013888456858694553, 0.02757573127746582, 0.5165088772773743, 0.010708993300795555, 0.013208309188485146, 0.022532524541020393, 0.02182788960635662, 0.04380409047007561, 0.022559070959687233, 0.056853391230106354, 0.041102539747953415, 0.025561442598700523]",0
resnet_imagenet20,pgd,0,10,0,10,20.0,True,92.13957977294922,0.9999993443489075,630320.1875,results/adversarial_images/adv_pgd_src0_tgt10_idx1.png,"[0.7540792226791382, 0.01871180348098278, 0.00637088343501091, 0.04857805743813515, 0.011864038184285164, 0.009904746897518635, 0.0060147447511553764, 0.009515496902167797, 0.006365508772432804, 0.009573802351951599, 0.009673749096691608, 0.015683868899941444, 0.0039410837925970554, 0.017525946721434593, 0.011345906183123589, 0.011565745808184147, 0.013357204385101795, 0.015203925780951977, 0.00873398408293724, 0.011990209110081196]","[0.0022342929150909185, 0.00017233718244824558, 0.0003084549098275602, 0.0007216221420094371, 0.00042584232869558036, 0.0002577691921032965, 0.00015680213982705027, 0.0002538793778512627, 0.00040505919605493546, 0.0006459736032411456, 0.9875374436378479, 0.00014815927715972066, 0.000189514146768488, 0.000361917307600379, 0.0013715998502448201, 0.001450798474252224, 0.0005519508849829435, 0.0012303306721150875, 0.0006114042480476201, 0.0009648060076870024]",1
resnet_imagenet20,pgd,0,3,0,3,13.0,True,93.15725708007812,0.9999995827674866,458010.84375,results/adversarial_images/adv_pgd_src0_tgt3_idx2.png,"[0.7393586039543152, 0.019141031429171562, 0.012099072337150574, 0.022885596379637718, 0.015833627432584763, 0.015439486131072044, 0.01101087499409914, 0.013699818402528763, 0.00912727415561676, 0.0158045906573534, 0.00970989279448986, 0.014023683033883572, 0.00847037136554718, 0.017879994586110115, 0.01124915387481451, 0.011511522345244884, 0.014348173514008522, 0.01612839661538601, 0.01016302965581417, 0.012115873396396637]","[0.00020906951976940036, 3.779866892728023e-05, 2.021004092966905e-06, 0.9994578957557678, 2.436121940263547e-05, 5.220092862145975e-05, 3.206519750165171e-06, 1.8295035260962322e-05, 2.3669203983445186e-06, 7.3869505285983905e-06, 2.4846401629474713e-06, 4.000964327133261e-05, 1.9219778550905176e-06, 8.304385846713558e-05, 3.4944034723594086e-06, 7.74007730797166e-06, 1.863709621829912e-05, 1.693394369794987e-05, 2.1589419247902697e-06, 8.791400432528462e-06]",2
resnet_imagenet20,pgd,0,15,0,15,13.0,True,92.52766418457031,0.999999463558197,602777.0,results/adversarial_images/adv_pgd_src0_tgt15_idx3.png,"[0.7688208818435669, 0.007012076675891876, 0.006364031229168177, 0.029602795839309692, 0.012904048897325993, 0.02167457900941372, 0.004197373054921627, 0.011431961320340633, 0.008241434581577778, 0.011023925617337227, 0.009530946612358093, 0.009905494749546051, 0.005296510178595781, 0.023783564567565918, 0.008837364614009857, 0.008040093816816807, 0.019050266593694687, 0.017409101128578186, 0.007513962686061859, 0.009359605610370636]","[0.005198213271796703, 0.000635563163086772, 0.0016999535728245974, 0.0007713952218182385, 0.0005850781453773379, 0.0017848863499239087, 0.0006614858866669238, 0.00038377626333385706, 0.0006803038413636386, 0.010732932016253471, 0.0032302429899573326, 0.00039943234878592193, 0.004989704117178917, 0.0013830881798639894, 0.0005238563171587884, 0.9432500004768372, 0.011935252696275711, 0.003024931065738201, 0.005613941699266434, 0.002516028704121709]",3
resnet_imagenet20,pgd,0,13,0,13,8.0,True,92.68688201904297,0.999999463558197,342447.34375,results/adversarial_images/adv_pgd_src0_tgt13_idx4.png,"[0.6073282957077026, 0.030423816293478012, 0.013330990448594093, 0.03292911872267723, 0.019375918433070183, 0.01958092302083969, 0.011934137903153896, 0.027872413396835327, 0.011976984329521656, 0.023701651021838188, 0.012423504143953323, 0.0261994581669569, 0.010082594119012356, 0.04290870204567909, 0.01718924008309841, 0.013650585897266865, 0.019548095762729645, 0.023878680542111397, 0.015569370239973068, 0.020095566287636757]","[5.206063360674307e-05, 8.34996228604723e-07, 6.553328830705141e-07, 1.0000140719057526e-05, 3.932706476916792e-06, 9.319574928667862e-06, 2.486561641035223e-07, 2.986121671710862e-06, 7.259681069626822e-07, 2.6692208848544396e-05, 3.198458387032588e-07, 4.729294687422225e-06, 3.8117113376756606e-07, 0.9998612403869629, 2.194430180679774e-06, 1.9226640688430052e-06, 1.2065337614330929e-05, 5.17829175805673e-06, 3.881563941376953e-07, 4.142448233324103e-06]",4
resnet_imagenet20,pgd,0,1,0,1,16.0,True,93.48396301269531,0.9999995827674866,539935.375,results/adversarial_images/adv_pgd_src0_tgt1_idx5.png,"[0.7188342809677124, 0.016761351376771927, 0.011922215111553669, 0.020258504897356033, 0.014686960726976395, 0.01254886295646429, 0.010219516232609749, 0.013816230930387974, 0.013500906527042389, 0.013768375851213932, 0.01614730805158615, 0.015272948890924454, 0.010783784091472626, 0.017410865053534508, 0.01504471804946661, 0.017031211405992508, 0.01225037407130003, 0.018549595028162003, 0.015491212718188763, 0.015700776129961014]","[5.3858930186834186e-05, 0.999833345413208, 1.0355623771829414e-06, 5.6795597629388794e-06, 3.055818069697125e-06, 3.999919954367215e-06, 9.361380648442719e-07, 1.9018735883946647e-06, 9.61934688348265e-07, 1.77544472990121e-06, 1.1615325092861895e-06, 3.3231401175726205e-05, 4.071386570103641e-07, 5.3272156037564855e-06, 2.1353362171794288e-06, 4.913721113553038e-06, 2.3306688490265515e-06, 2.594749275885988e-05, 3.0293815598270157e-06, 1.4988911061664112e-05]",5
resnet_imagenet20,pgd,0,14,0,14,74.0,True,92.05302429199219,0.9999993443489075,636633.25,results/adversarial_images/adv_pgd_src0_tgt14_idx6.png,"[0.7536357641220093, 0.015778042376041412, 0.010066834278404713, 0.030622484162449837, 0.016908202320337296, 0.013128625229001045, 0.01044708862900734, 0.012299258261919022, 0.010530692525207996, 0.011562841013073921, 0.010948803275823593, 0.012676741927862167, 0.007994983345270157, 0.014401706866919994, 0.009736670181155205, 0.012256577610969543, 0.011759785003960133, 0.013582258485257626, 0.011436786502599716, 0.01022576354444027]","[0.21428506076335907, 0.039112064987421036, 0.024039534851908684, 0.02798481471836567, 0.03053130954504013, 0.027122221887111664, 0.027472421526908875, 0.0178127009421587, 0.061938680708408356, 0.030535465106368065, 0.028613261878490448, 0.041451215744018555, 0.012361014261841774, 0.026357585564255714, 0.21889415383338928, 0.029885925352573395, 0.03161995857954025, 0.043282974511384964, 0.0266026072204113, 0.04009707644581795]",6
resnet_imagenet20,pgd,0,9,0,9,14.0,True,93.05977630615234,0.9999995827674866,566958.875,results/adversarial_images/adv_pgd_src0_tgt9_idx7.png,"[0.7894312143325806, 0.008136344142258167, 0.005369229707866907, 0.06066296622157097, 0.011416813358664513, 0.009376823902130127, 0.0044243731535971165, 0.00879676453769207, 0.005161437671631575, 0.00927350390702486, 0.004377550911158323, 0.015509947203099728, 0.003622065531089902, 0.021689079701900482, 0.008776834234595299, 0.007263028994202614, 0.009017856791615486, 0.00778959272429347, 0.004801180679351091, 0.005103397648781538]","[0.00150214578025043, 0.00012255556066520512, 0.00044576372602023184, 0.00023411998699884862, 0.001084588933736086, 0.0005485500441864133, 7.592787005705759e-05, 0.0002305421803612262, 0.0002929797919932753, 0.9861348271369934, 0.00012547289952635765, 0.00032784187351353467, 0.00034275715006515384, 0.0015371304471045732, 0.0003763549611903727, 0.001196228782646358, 0.003459147410467267, 0.0005384074174799025, 0.0006069197552278638, 0.000817677122540772]",7
resnet_imagenet20,pgd,0,12,0,12,14.0,True,93.38284301757812,0.9999995827674866,316505.84375,results/adversarial_images/adv_pgd_src0_tgt12_idx8.png,"[0.7757834196090698, 0.008272568695247173, 0.009956207126379013, 0.008414586074650288, 0.008805111981928349, 0.010950121097266674, 0.006935661192983389, 0.007638666778802872, 0.005719018634408712, 0.017731627449393272, 0.009558958001434803, 0.011373030953109264, 0.006842856761068106, 0.046326905488967896, 0.00723085505887866, 0.012925141490995884, 0.012210572138428688, 0.013300438411533833, 0.010066116228699684, 0.009958149865269661]","[0.0002101926365867257, 9.234198842023034e-06, 7.009285036474466e-05, 1.309697199758375e-05, 3.204145468771458e-05, 2.8114560336689465e-05, 1.3942385521659162e-05, 3.1622468668501824e-05, 4.384600470075384e-05, 0.0004633731732610613, 7.634855865035206e-05, 1.2869303645857144e-05, 0.9963942170143127, 0.00023920902458485216, 0.00012776139192283154, 0.0005879229865968227, 0.0012812117347493768, 3.160661071888171e-05, 0.0002800063812173903, 5.3372357797343284e-05]",8
resnet_imagenet20,pgd,0,11,0,11,20.0,True,91.73694610595703,0.9999991655349731,660227.1875,results/adversarial_images/adv_pgd_src0_tgt11_idx9.png,"[0.770167350769043, 0.010853143408894539, 0.00902937538921833, 0.023306118324398994, 0.014342577196657658, 0.01275890413671732, 0.008452605456113815, 0.01475299708545208, 0.009018071927130222, 0.010273324325680733, 0.012364767491817474, 0.012105320580303669, 0.008198117837309837, 0.017624329775571823, 0.009785804897546768, 0.011743195354938507, 0.012431132607161999, 0.012540101073682308, 0.011112790554761887, 0.009139959700405598]","[0.0023382510989904404, 0.0019513190491124988, 9.541114559397101e-05, 0.000512587430421263, 0.00025704543804749846, 0.00024383034906350076, 0.0001293569803237915, 0.000221820009755902, 0.0001800016179913655, 0.00015858476399444044, 0.0001579866948304698, 0.990625262260437, 9.882680751616135e-05, 0.0007163992850109935, 0.0003311645705252886, 0.00045705793309025466, 0.0005583038437180221, 0.0004389207751955837, 0.0002188260987168178, 0.0003089774108957499]",9
