model,attack,true_class,target_class,original_pred_class,adversarial_pred_class,first_success_iter,attack_successful,psnr_score,ssim_score,ergas_score,adversarial_image_path,original_probs,adversarial_probs,dataset_index
swin_imagenet20_adv,fgsm,0,6,0,0,,False,84.28238677978516,0.9999920725822448,899816.8125,results/adversarial_images/adv_fgsm_src0_tgt6_idx0.png,"[0.9999632835388184, 1.9060912848090084e-07, 4.415215641984105e-07, 1.6046215023379773e-05, 1.973234930119361e-06, 4.3314653908055334e-07, 7.345325911956024e-07, 2.903042854995874e-07, 2.4444136670354055e-07, 3.8562197346436733e-07, 9.06908098841086e-07, 4.427310614119051e-06, 7.558043648714374e-07, 4.700992576545104e-06, 1.3798600662084937e-07, 4.409585301345942e-07, 3.826060890332883e-07, 3.587083028833149e-06, 1.7733562174271356e-07, 5.092846322440892e-07]","[0.9999144077301025, 5.746888973590103e-07, 1.3182791462895693e-06, 3.588199251680635e-05, 3.585498461688985e-06, 1.242587018168706e-06, 2.8076551643607672e-06, 8.220552558668714e-07, 9.040928148351668e-07, 1.1718589121301193e-06, 2.527936885599047e-06, 9.85836777545046e-06, 1.807913918128179e-06, 9.939669325831346e-06, 4.5771724899168476e-07, 1.2554885415738681e-06, 8.706307426109561e-07, 8.64622325025266e-06, 5.451427682601206e-07, 1.380905814585276e-06]",0
swin_imagenet20_adv,fgsm,0,16,0,0,,False,84.33604431152344,0.9999916553497314,1547883.0,results/adversarial_images/adv_fgsm_src0_tgt16_idx1.png,"[0.999775230884552, 5.678056140823173e-07, 1.4722941159561742e-06, 0.00014837538765277714, 3.4850945667130873e-06, 1.3718188256461872e-06, 2.5433478185732383e-06, 1.8681304254641873e-06, 1.342975338047836e-06, 1.1467998319858452e-06, 4.495125722314697e-06, 1.4320030459202826e-05, 2.293719035151298e-06, 2.4352690161322244e-05, 7.42381871532416e-07, 1.8985699625773123e-06, 1.628938321118767e-06, 9.574587238603272e-06, 1.7828340332926018e-06, 1.570569111208897e-06]","[0.9949259757995605, 2.60397132478829e-06, 5.992730621073861e-06, 0.0047442857176065445, 1.3014952855883166e-05, 5.212630185269518e-06, 7.4245563155272976e-06, 7.499526418541791e-06, 5.4329320846591145e-06, 5.729127678932855e-06, 1.6379675798816606e-05, 5.989693818264641e-05, 1.1668365004879888e-05, 0.00011769805860240012, 3.702302592500928e-06, 7.706936230533756e-06, 8.997681106848177e-06, 3.746035145013593e-05, 7.658842150704004e-06, 5.572665031650104e-06]",1
swin_imagenet20_adv,fgsm,0,4,0,0,,False,84.3287353515625,0.999991238117218,1265377.125,results/adversarial_images/adv_fgsm_src0_tgt4_idx2.png,"[0.999930739402771, 7.003839641583909e-07, 1.295852598559577e-06, 1.523568880656967e-05, 2.8131364615546772e-06, 2.1032117274444317e-06, 4.193979748379206e-06, 1.7588047285244102e-06, 7.030225788184907e-07, 6.77868229104206e-07, 1.8048062884190585e-06, 7.298968739632983e-06, 3.09194297187787e-06, 1.4438802281802054e-05, 5.013329200664884e-07, 1.6568359342272743e-06, 1.7684945987639367e-06, 5.8302553043176886e-06, 1.2780832321368507e-06, 2.083010713249678e-06]","[0.9996887445449829, 3.6653707411460346e-06, 3.6538119729812024e-06, 4.476541289477609e-05, 2.8334990929579362e-05, 1.0663811735867057e-05, 1.378318847855553e-05, 8.074810466496274e-06, 3.3562726002855925e-06, 3.3517819701955887e-06, 6.012013272993499e-06, 3.314604691695422e-05, 1.2850004168285523e-05, 6.466249033110216e-05, 2.932036750280531e-06, 7.011048182903323e-06, 9.840373422775883e-06, 3.453408135101199e-05, 7.15007172402693e-06, 1.3491381650965195e-05]",2
swin_imagenet20_adv,fgsm,0,9,0,0,,False,84.27578735351562,0.9999927282333374,1558659.5,results/adversarial_images/adv_fgsm_src0_tgt9_idx3.png,"[0.9999313354492188, 5.055983365309658e-07, 1.3765350104222307e-06, 1.5056401025503874e-05, 2.5561398615536746e-06, 2.2256024294620147e-06, 2.717825282161357e-06, 5.619047556137957e-07, 6.569081847374036e-07, 1.8537439245847054e-06, 1.9281035292806337e-06, 9.330989996669814e-06, 4.2658743950596545e-06, 1.5217922737065237e-05, 2.992441636706644e-07, 1.1536466217876296e-06, 1.8847005094357883e-06, 4.2841347749345005e-06, 6.468545734605868e-07, 2.1240514342935057e-06]","[0.9997372031211853, 2.0318068436608883e-06, 4.390875801618677e-06, 4.848189928452484e-05, 8.316650564665906e-06, 7.1418653533328325e-06, 5.310082542564487e-06, 1.5672819699830143e-06, 2.2536019059771206e-06, 3.2633684895699844e-05, 5.126555151946377e-06, 2.6332720153732225e-05, 3.313710112706758e-05, 4.5192427933216095e-05, 9.993203775593429e-07, 4.344668923295103e-06, 1.3103821402182803e-05, 1.3308132110978477e-05, 1.7686919591142214e-06, 7.285519131983165e-06]",3
swin_imagenet20_adv,fgsm,0,10,0,0,,False,84.33165740966797,0.9999924898147584,893280.375,results/adversarial_images/adv_fgsm_src0_tgt10_idx4.png,"[0.999885082244873, 6.6572783907759e-07, 2.303692099303589e-06, 2.754650950009818e-06, 3.0861483537591994e-06, 3.1664471862313803e-06, 3.6618243939301465e-06, 1.4301178907771828e-06, 2.790877260849811e-06, 1.3857503518011072e-06, 2.5814867967710597e-06, 8.037584848352708e-06, 3.511889872243046e-06, 4.182084376225248e-05, 9.722821232571732e-07, 2.506578994143638e-06, 1.8266890720042284e-06, 2.350615250179544e-05, 9.640490361562115e-07, 8.088027243502438e-06]","[0.9965065121650696, 3.807645771303214e-05, 9.112177940551192e-05, 4.5168988435762e-05, 6.533515988849103e-05, 4.791026367456652e-05, 5.1740393246291205e-05, 6.5094034653157e-05, 0.0001266190520254895, 3.915807246812619e-05, 6.795802619308233e-05, 0.00011473799531813711, 7.68056561355479e-05, 0.0013419841416180134, 2.745103665802162e-05, 5.4140171414474025e-05, 6.1020691646263e-05, 0.0007316657574847341, 3.410675344639458e-05, 0.00041324965422973037]",4
swin_imagenet20_adv,fgsm,0,4,0,0,,False,84.32869720458984,0.9999914765357972,1549192.0,results/adversarial_images/adv_fgsm_src0_tgt4_idx5.png,"[0.9999145269393921, 7.193662554527691e-07, 1.8169990880778641e-06, 1.0490556633158121e-05, 3.1311924431065563e-06, 2.646129360073246e-06, 4.579511369229294e-06, 2.633795475048828e-06, 1.4899874258844648e-06, 1.1846383358715684e-06, 3.161377662763698e-06, 9.231530384568032e-06, 2.7188111744180787e-06, 1.909864840854425e-05, 7.954764669193537e-07, 4.096264092368074e-06, 1.329096448898781e-06, 1.1997021829301957e-05, 2.037882495642407e-06, 2.361545057283365e-06]","[0.9997883439064026, 1.8922501112683676e-06, 4.04578395318822e-06, 2.286069684487302e-05, 1.2070856428181287e-05, 5.403803697845433e-06, 8.535520464647561e-06, 8.04218234407017e-06, 3.5872351418220205e-06, 3.338897386129247e-06, 6.83705047777039e-06, 1.996735045395326e-05, 5.752187462348957e-06, 5.5567099479958415e-05, 2.2413410079025198e-06, 9.35600110096857e-06, 3.5998295970784966e-06, 2.708093416003976e-05, 4.888475359621225e-06, 6.507858415716328e-06]",5
swin_imagenet20_adv,fgsm,0,5,0,0,,False,84.29617309570312,0.9999916553497314,1555005.5,results/adversarial_images/adv_fgsm_src0_tgt5_idx6.png,"[0.9997885823249817, 4.0302941783920687e-07, 9.558634701534174e-07, 0.00010638582898536697, 3.8599278923356906e-05, 2.0271847915864782e-06, 1.613238850950438e-06, 2.1744556306657614e-06, 9.769636335477117e-07, 8.988991453406925e-07, 2.8408646812749794e-06, 9.662361662776675e-06, 1.7538400243211072e-06, 2.9973463824717328e-05, 6.952827789064031e-07, 1.1391088037271402e-06, 1.1121006764369668e-06, 8.033100129978266e-06, 6.999384822847787e-07, 1.5613056802976644e-06]","[0.9942646622657776, 1.6853322222232237e-06, 4.471389729587827e-06, 0.0006707702414132655, 0.00461182976141572, 1.5446485122083686e-05, 3.862579433189239e-06, 2.4836308512021787e-05, 5.371012321120361e-06, 5.9978583522024564e-06, 1.1624922990449704e-05, 3.956257569370791e-05, 6.915867288626032e-06, 0.00026574224466457963, 4.145531420363113e-06, 4.057316346006701e-06, 6.867540378152626e-06, 3.884935358655639e-05, 4.897933195024962e-06, 8.439126759185456e-06]",6
swin_imagenet20_adv,fgsm,0,9,0,0,,False,84.33938598632812,0.9999916553497314,1547286.25,results/adversarial_images/adv_fgsm_src0_tgt9_idx7.png,"[0.9998514652252197, 1.4516388091578847e-06, 1.594270770510775e-06, 3.98454831156414e-05, 4.642259227694012e-06, 2.719270014495123e-06, 3.966287749790354e-06, 2.612899834275595e-06, 1.4649480135631165e-06, 1.4063300568523118e-06, 2.566737521192408e-06, 3.5013297747354954e-05, 3.7310744573915144e-06, 2.308156581420917e-05, 1.625730419618776e-06, 2.9136529064999195e-06, 2.0283991943870205e-06, 1.2744093510264065e-05, 1.7615860770092695e-06, 3.3168282698170515e-06]","[0.9938054084777832, 8.473805792164057e-05, 3.529854802764021e-05, 0.0008900066022761166, 0.0003394481318537146, 7.426354568451643e-05, 8.387023262912408e-05, 0.00015128306404221803, 4.9939510063268244e-05, 5.8152760175289586e-05, 4.210292172501795e-05, 0.0023321930784732103, 9.84798971330747e-05, 0.0008497998933307827, 8.644703484605998e-05, 6.077078796806745e-05, 0.00011658441508188844, 0.0005472386255860329, 0.00010316372936358675, 0.0001906870020320639]",7
swin_imagenet20_adv,fgsm,0,19,0,2,,False,84.84717559814453,0.9999920129776,842191.6875,results/adversarial_images/adv_fgsm_src0_tgt19_idx8.png,"[0.9995777010917664, 5.984717972751241e-06, 2.366683656873647e-05, 1.9633469491964206e-05, 9.406057870364748e-06, 6.967678928049281e-06, 6.4535634010098875e-06, 2.9361290216911584e-06, 6.862377631478012e-06, 1.678369335422758e-05, 6.544573807332199e-06, 2.3928258087835275e-05, 1.3138353097019717e-05, 0.0001943277893587947, 5.3386070248961914e-06, 1.4036359971214551e-05, 8.134793461067602e-06, 3.972830745624378e-05, 2.759816652542213e-06, 1.5617022654623725e-05]","[0.19818811118602753, 0.00619371747598052, 0.5358230471611023, 0.0017982020508497953, 0.003414865117520094, 0.0022666461300104856, 0.002817214233800769, 0.001947085722349584, 0.0013560770312324166, 0.022165490314364433, 0.001313785440288484, 0.002894366392865777, 0.012130036018788815, 0.05122649669647217, 0.0031931321136653423, 0.05914884805679321, 0.006399210076779127, 0.01518233586102724, 0.002158592687919736, 0.07038272172212601]",8
swin_imagenet20_adv,fgsm,0,17,0,0,,False,84.28388977050781,0.9999924302101136,1557206.25,results/adversarial_images/adv_fgsm_src0_tgt17_idx9.png,"[0.999976396560669, 2.255251416727333e-07, 3.752386419364484e-07, 4.6343234316736925e-06, 1.34005460949993e-06, 9.6200528787449e-07, 1.4121452522886102e-06, 5.51872346932214e-07, 2.9747724283879506e-07, 4.082206714883796e-07, 7.38096730401594e-07, 1.986519919228158e-06, 6.237665388653113e-07, 5.649437753163511e-06, 1.5991014379324042e-07, 4.409760947510222e-07, 3.535197663495637e-07, 2.7292335289530456e-06, 4.964646791449923e-07, 3.1052650228957646e-07]","[0.9999353885650635, 5.054407665738836e-07, 8.006022085282893e-07, 9.994380889111198e-06, 3.2515986276848707e-06, 2.0272618712624535e-06, 2.7456937914394075e-06, 1.4547666751241195e-06, 7.397238732664846e-07, 1.5185806887529907e-06, 1.255261167898425e-06, 5.051649168308359e-06, 1.4255083442549221e-06, 1.4360908608068712e-05, 4.0469055306857626e-07, 9.008394954435062e-07, 1.2391918744469876e-06, 1.5242851077346131e-05, 1.0653659501258517e-06, 7.345022368099308e-07]",9
