model,attack,true_class,target_class,original_pred_class,adversarial_pred_class,first_success_iter,attack_successful,psnr_score,ssim_score,ergas_score,adversarial_image_path,original_probs,adversarial_probs,dataset_index
swin_imagenet20_adv,pgd,0,6,0,0,,False,85.54129028320312,0.9999939799308776,777390.8125,results/adversarial_images/adv_pgd_src0_tgt6_idx0.png,"[0.9999632835388184, 1.9060912848090084e-07, 4.415215641984105e-07, 1.6046215023379773e-05, 1.973234930119361e-06, 4.3314653908055334e-07, 7.345325911956024e-07, 2.903042854995874e-07, 2.4444136670354055e-07, 3.8562197346436733e-07, 9.06908098841086e-07, 4.427310614119051e-06, 7.558043648714374e-07, 4.700992576545104e-06, 1.3798600662084937e-07, 4.409585301345942e-07, 3.826060890332883e-07, 3.587083028833149e-06, 1.7733562174271356e-07, 5.092846322440892e-07]","[0.9999305009841919, 4.545426008917275e-07, 1.0479169532118249e-06, 2.9804032237734646e-05, 2.923636429841281e-06, 9.801009355214774e-07, 2.2707024527335307e-06, 6.566827437382017e-07, 7.127449066501867e-07, 8.928508918870648e-07, 2.0217262317601126e-06, 8.017279469640926e-06, 1.4925227560524945e-06, 7.979087968124077e-06, 3.4873528420575894e-07, 9.949867489922326e-07, 6.71766599680268e-07, 6.7723904066951945e-06, 4.2604204963936354e-07, 1.069617042048776e-06]",0
swin_imagenet20_adv,pgd,0,16,0,0,,False,85.62560272216797,0.9999937415122986,1334321.625,results/adversarial_images/adv_pgd_src0_tgt16_idx1.png,"[0.999775230884552, 5.678056140823173e-07, 1.4722941159561742e-06, 0.00014837538765277714, 3.4850945667130873e-06, 1.3718188256461872e-06, 2.5433478185732383e-06, 1.8681304254641873e-06, 1.342975338047836e-06, 1.1467998319858452e-06, 4.495125722314697e-06, 1.4320030459202826e-05, 2.293719035151298e-06, 2.4352690161322244e-05, 7.42381871532416e-07, 1.8985699625773123e-06, 1.628938321118767e-06, 9.574587238603272e-06, 1.7828340332926018e-06, 1.570569111208897e-06]","[0.9977566599845886, 2.0243055587343406e-06, 4.803291631105822e-06, 0.001988290809094906, 1.0229573490505572e-05, 4.333584911364596e-06, 6.526641300297342e-06, 5.901380973227788e-06, 4.49892877441016e-06, 4.4171870285936166e-06, 1.3481188034347724e-05, 4.632327545550652e-05, 8.851996426528785e-06, 8.715817966731265e-05, 2.8387244128680322e-06, 6.005408522469224e-06, 6.697454409732018e-06, 3.0296740078483708e-05, 6.106999990151962e-06, 4.594571237248601e-06]",1
swin_imagenet20_adv,pgd,0,4,0,0,,False,85.73352813720703,0.9999934434890748,1076072.75,results/adversarial_images/adv_pgd_src0_tgt4_idx2.png,"[0.999930739402771, 7.003839641583909e-07, 1.295852598559577e-06, 1.523568880656967e-05, 2.8131364615546772e-06, 2.1032117274444317e-06, 4.193979748379206e-06, 1.7588047285244102e-06, 7.030225788184907e-07, 6.77868229104206e-07, 1.8048062884190585e-06, 7.298968739632983e-06, 3.09194297187787e-06, 1.4438802281802054e-05, 5.013329200664884e-07, 1.6568359342272743e-06, 1.7684945987639367e-06, 5.8302553043176886e-06, 1.2780832321368507e-06, 2.083010713249678e-06]","[0.9997393488883972, 2.9755979085166473e-06, 4.284835995349567e-06, 4.391000038594939e-05, 1.631033592275344e-05, 8.688548405189067e-06, 1.3884605323255528e-05, 6.839141860837117e-06, 3.294004045528709e-06, 3.122301222902024e-06, 6.290180408541346e-06, 2.985317405546084e-05, 1.0964527064061258e-05, 5.514327858691104e-05, 2.5021513465617318e-06, 5.853650236531394e-06, 7.175257906055776e-06, 2.4361037503695115e-05, 5.851646619703388e-06, 9.349415449833032e-06]",2
swin_imagenet20_adv,pgd,0,9,0,0,,False,85.61820983886719,0.999994456768036,1335456.125,results/adversarial_images/adv_pgd_src0_tgt9_idx3.png,"[0.9999313354492188, 5.055983365309658e-07, 1.3765350104222307e-06, 1.5056401025503874e-05, 2.5561398615536746e-06, 2.2256024294620147e-06, 2.717825282161357e-06, 5.619047556137957e-07, 6.569081847374036e-07, 1.8537439245847054e-06, 1.9281035292806337e-06, 9.330989996669814e-06, 4.2658743950596545e-06, 1.5217922737065237e-05, 2.992441636706644e-07, 1.1536466217876296e-06, 1.8847005094357883e-06, 4.2841347749345005e-06, 6.468545734605868e-07, 2.1240514342935057e-06]","[0.9997954964637756, 1.6840577927723643e-06, 3.695831310324138e-06, 4.303902096580714e-05, 6.981383648962947e-06, 5.899926236452302e-06, 4.850333425565623e-06, 1.318524709859048e-06, 1.832104317145422e-06, 1.9092240108875558e-05, 4.3657146306941286e-06, 2.2862735931994393e-05, 1.9491411876515485e-05, 3.765723522519693e-05, 8.398246791330166e-07, 3.328905904709245e-06, 8.98862890608143e-06, 1.119197258958593e-05, 1.4866109268041328e-06, 5.962360773992259e-06]",3
swin_imagenet20_adv,pgd,0,10,0,0,,False,85.79611206054688,0.9999943971633912,754422.3125,results/adversarial_images/adv_pgd_src0_tgt10_idx4.png,"[0.999885082244873, 6.6572783907759e-07, 2.303692099303589e-06, 2.754650950009818e-06, 3.0861483537591994e-06, 3.1664471862313803e-06, 3.6618243939301465e-06, 1.4301178907771828e-06, 2.790877260849811e-06, 1.3857503518011072e-06, 2.5814867967710597e-06, 8.037584848352708e-06, 3.511889872243046e-06, 4.182084376225248e-05, 9.722821232571732e-07, 2.506578994143638e-06, 1.8266890720042284e-06, 2.350615250179544e-05, 9.640490361562115e-07, 8.088027243502438e-06]","[0.9993640780448914, 5.897357823414495e-06, 1.823742059059441e-05, 1.380709909426514e-05, 1.385009272780735e-05, 1.4382381777977571e-05, 1.8416025341139175e-05, 8.01954956841655e-06, 2.739986484812107e-05, 8.376752703043167e-06, 2.069049332931172e-05, 3.853589078062214e-05, 1.9754023014684208e-05, 0.00022062408970668912, 7.033170277281897e-06, 1.3743607269134372e-05, 1.3352278074307833e-05, 0.0001178915990749374, 6.541396487591555e-06, 4.9445690819993615e-05]",4
swin_imagenet20_adv,pgd,0,4,0,0,,False,85.64159393310547,0.999993622303009,1331866.125,results/adversarial_images/adv_pgd_src0_tgt4_idx5.png,"[0.9999145269393921, 7.193662554527691e-07, 1.8169990880778641e-06, 1.0490556633158121e-05, 3.1311924431065563e-06, 2.646129360073246e-06, 4.579511369229294e-06, 2.633795475048828e-06, 1.4899874258844648e-06, 1.1846383358715684e-06, 3.161377662763698e-06, 9.231530384568032e-06, 2.7188111744180787e-06, 1.909864840854425e-05, 7.954764669193537e-07, 4.096264092368074e-06, 1.329096448898781e-06, 1.1997021829301957e-05, 2.037882495642407e-06, 2.361545057283365e-06]","[0.999805748462677, 1.8016661442743498e-06, 4.11049268222996e-06, 2.2672007617074996e-05, 9.188221156364307e-06, 5.442501333163818e-06, 8.725737643544562e-06, 6.387777375493897e-06, 3.4908723591797752e-06, 3.0406322366616223e-06, 6.762013981642667e-06, 1.917575536936056e-05, 5.509907623491017e-06, 4.77965731988661e-05, 2.08146775548812e-06, 8.781913493294269e-06, 3.225141199436621e-06, 2.587082053651102e-05, 4.526469183474546e-06, 5.793909622298088e-06]",5
swin_imagenet20_adv,pgd,0,5,0,0,,False,85.71035766601562,0.999993860721588,1321364.5,results/adversarial_images/adv_pgd_src0_tgt5_idx6.png,"[0.9997885823249817, 4.0302941783920687e-07, 9.558634701534174e-07, 0.00010638582898536697, 3.8599278923356906e-05, 2.0271847915864782e-06, 1.613238850950438e-06, 2.1744556306657614e-06, 9.769636335477117e-07, 8.988991453406925e-07, 2.8408646812749794e-06, 9.662361662776675e-06, 1.7538400243211072e-06, 2.9973463824717328e-05, 6.952827789064031e-07, 1.1391088037271402e-06, 1.1121006764369668e-06, 8.033100129978266e-06, 6.999384822847787e-07, 1.5613056802976644e-06]","[0.9986566305160522, 1.366803189739585e-06, 3.196109219061327e-06, 0.0006572933052666485, 0.00041707768104970455, 9.056467206391972e-06, 3.496390490909107e-06, 9.130527359957341e-06, 3.427577439651941e-06, 3.7710472042817855e-06, 8.422544851782732e-06, 3.520506288623437e-05, 4.766563961311476e-06, 0.0001442508801119402, 2.799055209834478e-06, 2.7988523925159825e-06, 4.684983196057146e-06, 2.4571423637098633e-05, 2.599437038952601e-06, 5.565242645388935e-06]",6
swin_imagenet20_adv,pgd,0,9,0,0,,False,86.43757629394531,0.9999945759773254,1215237.5,results/adversarial_images/adv_pgd_src0_tgt9_idx7.png,"[0.9998514652252197, 1.4516388091578847e-06, 1.594270770510775e-06, 3.98454831156414e-05, 4.642259227694012e-06, 2.719270014495123e-06, 3.966287749790354e-06, 2.612899834275595e-06, 1.4649480135631165e-06, 1.4063300568523118e-06, 2.566737521192408e-06, 3.5013297747354954e-05, 3.7310744573915144e-06, 2.308156581420917e-05, 1.625730419618776e-06, 2.9136529064999195e-06, 2.0283991943870205e-06, 1.2744093510264065e-05, 1.7615860770092695e-06, 3.3168282698170515e-06]","[0.9991564750671387, 7.486421509383945e-06, 7.282384103746153e-06, 0.00026487698778510094, 2.6356554371886887e-05, 1.2623745533346664e-05, 1.373307441099314e-05, 1.3514478268916719e-05, 7.542455477960175e-06, 1.0529051905905362e-05, 1.0581325113889761e-05, 0.00021116989955771714, 1.8115355487680063e-05, 0.00011737715249182656, 9.902540114126168e-06, 1.2399547813402023e-05, 1.2445585525711067e-05, 6.466097693191841e-05, 8.220878044085111e-06, 1.485875418438809e-05]",7
swin_imagenet20_adv,pgd,0,19,0,0,,False,86.09000396728516,0.9999940395355223,728457.875,results/adversarial_images/adv_pgd_src0_tgt19_idx8.png,"[0.9995777010917664, 5.984717972751241e-06, 2.366683656873647e-05, 1.9633469491964206e-05, 9.406057870364748e-06, 6.967678928049281e-06, 6.4535634010098875e-06, 2.9361290216911584e-06, 6.862377631478012e-06, 1.678369335422758e-05, 6.544573807332199e-06, 2.3928258087835275e-05, 1.3138353097019717e-05, 0.0001943277893587947, 5.3386070248961914e-06, 1.4036359971214551e-05, 8.134793461067602e-06, 3.972830745624378e-05, 2.759816652542213e-06, 1.5617022654623725e-05]","[0.4214688241481781, 0.005239966791123152, 0.38123783469200134, 0.002021118998527527, 0.003202823456376791, 0.0021222010254859924, 0.002275890437886119, 0.0014762565260753036, 0.0015697046183049679, 0.016161078587174416, 0.0014359912602230906, 0.0033682086504995823, 0.013052890077233315, 0.059638191014528275, 0.004079880192875862, 0.03740096464753151, 0.0051599363796412945, 0.010709505528211594, 0.00142258545383811, 0.026956092566251755]",8
swin_imagenet20_adv,pgd,0,17,0,0,,False,85.81123352050781,0.9999945759773254,1306106.5,results/adversarial_images/adv_pgd_src0_tgt17_idx9.png,"[0.999976396560669, 2.255251416727333e-07, 3.752386419364484e-07, 4.6343234316736925e-06, 1.34005460949993e-06, 9.6200528787449e-07, 1.4121452522886102e-06, 5.51872346932214e-07, 2.9747724283879506e-07, 4.082206714883796e-07, 7.38096730401594e-07, 1.986519919228158e-06, 6.237665388653113e-07, 5.649437753163511e-06, 1.5991014379324042e-07, 4.409760947510222e-07, 3.535197663495637e-07, 2.7292335289530456e-06, 4.964646791449923e-07, 3.1052650228957646e-07]","[0.9999434947967529, 5.057646035311336e-07, 8.241940463449282e-07, 1.0249266779283062e-05, 2.941405455203494e-06, 2.047616135314456e-06, 2.810236310324399e-06, 1.2640442719202838e-06, 7.508990051974251e-07, 1.259225655303453e-06, 1.3687432556253043e-06, 4.629585873772157e-06, 1.32185630263848e-06, 1.2406002497300506e-05, 4.005879361557163e-07, 8.95235359621438e-07, 1.0010195410359302e-06, 1.014041481539607e-05, 9.946903674062924e-07, 6.982999707361159e-07]",9
