model,attack,true_class,target_class,original_pred_class,adversarial_pred_class,first_success_iter,attack_successful,psnr_score,ssim_score,ergas_score,adversarial_image_path,original_probs,adversarial_probs,dataset_index
swin_imagenet20,fgsm,0,10,0,10,2.0,True,85.88375091552734,0.9999961256980896,748492.0625,results/adversarial_images/adv_fgsm_src0_tgt10_idx0.png,"[0.9910911321640015, 0.00032780651235952973, 0.0003584793012123555, 0.0033279331400990486, 0.00037776472163386643, 0.0003462678287178278, 0.00028020786703564227, 7.902646029833704e-05, 0.0005506916786544025, 0.0002483318676240742, 0.00013938407937530428, 0.0005119422567076981, 0.0003491467796266079, 0.0008452335023321211, 0.000151626139995642, 0.00015039481513667852, 0.0003039812436327338, 0.00020603107986971736, 0.00014294199354480952, 0.00021158542949706316]","[0.018574003130197525, 0.00020991454948671162, 0.000325920176692307, 0.0010461281053721905, 0.0003489111550152302, 0.00028707709861919284, 0.00022821282618679106, 8.71393276611343e-05, 0.00030653830617666245, 0.0001641294511500746, 0.9756964445114136, 0.00026483481633476913, 0.00018937453569378704, 0.0007136536296457052, 0.0002256084990222007, 0.00021730705338995904, 0.00015829277981538326, 0.0002255809522466734, 0.0004338709986768663, 0.00029704958433285356]",0
swin_imagenet20,fgsm,0,7,0,7,2.0,True,85.98564910888672,0.9999963641166687,1280140.5,results/adversarial_images/adv_fgsm_src0_tgt7_idx1.png,"[0.9956595301628113, 0.00019769390928559005, 0.00014084689610172063, 0.002039940096437931, 0.00010550102160777897, 0.0001310965744778514, 0.00015205466479528695, 5.195213088882156e-05, 0.00012721300299745053, 0.00014253094559535384, 0.00012020211579510942, 0.00020418307394720614, 4.7639503463869914e-05, 0.00022347411140799522, 9.516853606328368e-05, 5.173769386601634e-05, 5.960557609796524e-05, 0.00015411827189382166, 0.00011746995005523786, 0.00017803120135795325]","[0.00025668361922726035, 6.802096777391853e-06, 1.594373861735221e-05, 1.9783801690209657e-05, 3.1455245334655046e-05, 2.1493862732313573e-05, 2.945931555586867e-05, 0.9993388056755066, 1.7099393517128192e-05, 1.3197996850067284e-05, 1.632324892852921e-05, 8.618107676738873e-05, 5.886336566618411e-06, 5.163786408957094e-05, 9.506024071015418e-06, 5.748916009906679e-06, 2.2206859284779057e-05, 1.8236401956528425e-05, 1.863155011960771e-05, 1.4948287571314722e-05]",1
swin_imagenet20,fgsm,0,8,0,0,5.0,False,85.63457489013672,0.9999959468841553,1087863.5,results/adversarial_images/adv_fgsm_src0_tgt8_idx2.png,"[0.9954026937484741, 0.0003203869273420423, 0.0002491366467438638, 0.0006904336041770875, 6.653132004430518e-05, 0.0003577934403438121, 0.00019244832219555974, 5.502842032001354e-05, 0.0001787686487659812, 0.0002874157507903874, 0.0001245150633621961, 0.0004705481987912208, 0.00020515442884061486, 0.0002365137479500845, 0.00015558952873107046, 0.0001340076414635405, 0.00020393970771692693, 0.00017317516903858632, 0.0001439803745597601, 0.0003518362937029451]","[0.31839698553085327, 0.006045680493116379, 0.006140937563031912, 0.08209574967622757, 0.01820252649486065, 0.008617835119366646, 0.027511505410075188, 0.015279662795364857, 0.2040891796350479, 0.00826454907655716, 0.0033961094450205564, 0.10080067068338394, 0.003145531052723527, 0.1487302929162979, 0.00533780874684453, 0.005663419608026743, 0.02162952534854412, 0.009140538051724434, 0.002719632815569639, 0.004791854415088892]",2
swin_imagenet20,fgsm,0,8,0,8,9.0,True,85.5373764038086,0.9999960064888,1347943.625,results/adversarial_images/adv_fgsm_src0_tgt8_idx3.png,"[0.9956361651420593, 0.0002599064609967172, 0.00013758514251094311, 0.0009304803679697216, 0.0002047023590421304, 0.000303170207189396, 0.00019321184663567692, 4.22158555011265e-05, 0.0001681112771620974, 0.0003052081447094679, 7.421135524054989e-05, 0.0004023178480565548, 0.000130819360492751, 0.0005080836708657444, 0.00015284914115909487, 9.050209337146953e-05, 0.00013764090545009822, 8.025453280424699e-05, 8.135604730341583e-05, 0.00016112859884742647]","[0.2295331507921219, 0.00410397769883275, 0.0012603566283360124, 0.006465471815317869, 0.0028491844423115253, 0.0012229358544573188, 0.0009728429722599685, 0.0006157711031846702, 0.7298650741577148, 0.0033795093186199665, 0.0011345449602231383, 0.003764818888157606, 0.0006513820262625813, 0.007245744578540325, 0.0018068519420921803, 0.0011812858283519745, 0.0006739923264831305, 0.0009017169359140098, 0.0007980922237038612, 0.0015732867177575827]",3
swin_imagenet20,fgsm,0,17,0,17,2.0,True,85.67951202392578,0.9999960064888,766276.1875,results/adversarial_images/adv_fgsm_src0_tgt17_idx4.png,"[0.9971898198127747, 0.0002834123733919114, 0.00011518483370309696, 7.280443969648331e-05, 2.827820753736887e-05, 0.00019361819431651384, 0.00017139411647804081, 4.4095926568843424e-05, 0.0002148193889297545, 0.00014022212417330593, 0.00010374908015364781, 0.00019432094995863736, 0.00010527551785344258, 0.00038779256283305585, 0.00011793503654189408, 4.664187872549519e-05, 0.00017767793906386942, 0.00011994405940640718, 0.00012621910718735307, 0.00016692269127815962]","[0.00028507018578238785, 7.756844570394605e-05, 0.0010025306837633252, 3.365429802215658e-05, 7.540314982179552e-05, 6.2078375776764e-05, 6.316357030300424e-05, 0.00025612887111492455, 0.00016970644355751574, 0.00021583338093478233, 8.108360634651035e-05, 0.00013383658370003104, 1.724109097267501e-05, 0.0003913367399945855, 0.0001022062569973059, 4.0781123971100897e-05, 0.00019574155157897621, 0.9953197836875916, 4.258165790815838e-05, 0.0014342059148475528]",4
swin_imagenet20,fgsm,0,5,0,5,4.0,True,85.854736328125,0.9999962449073792,1299581.0,results/adversarial_images/adv_fgsm_src0_tgt5_idx5.png,"[0.9973434805870056, 0.00018124499183613807, 9.712592145660892e-05, 0.0004009217373095453, 5.720432454836555e-05, 0.00011914550850633532, 0.000174775326740928, 3.760351683013141e-05, 0.0002152419474441558, 0.00015207278192974627, 8.73797107487917e-05, 0.00017740679322741926, 0.00011743196228053421, 0.00023469902225770056, 6.485697667812929e-05, 5.087455065222457e-05, 0.00010407288937130943, 0.00017799451597966254, 9.796174708753824e-05, 0.00010867902892641723]","[0.05615526810288429, 0.00022771270596422255, 0.0005399404908530414, 0.00023626020993106067, 0.0012444988824427128, 0.9400131702423096, 4.021043423563242e-05, 0.00017571155331097543, 5.7758916227612644e-05, 4.6441851736744866e-05, 3.821787322522141e-05, 5.9021698689321056e-05, 0.00010933072189800441, 0.00029108571470715106, 7.27268197806552e-05, 9.912281529977918e-05, 0.00019695318769663572, 5.7955618103733286e-05, 0.0001670919155003503, 0.0001714707032078877]",5
swin_imagenet20,fgsm,0,11,0,11,2.0,True,85.75127410888672,0.9999960064888,1315153.75,results/adversarial_images/adv_fgsm_src0_tgt11_idx6.png,"[0.9841408729553223, 0.000934228184632957, 0.00045392257743515074, 0.0025425744242966175, 0.0007807138608768582, 0.0009441711590625346, 0.0008514202199876308, 0.0003081230679526925, 0.0015069779474288225, 0.0007518870988860726, 0.000495438405778259, 0.0007732352241873741, 0.000547533854842186, 0.001071384409442544, 0.0004863661015406251, 0.00040053349221125245, 0.0009441009606234729, 0.0007565596024505794, 0.0003223360690753907, 0.0009876397671177983]","[0.040697574615478516, 0.034276556223630905, 0.0010807500220835209, 0.008559311740100384, 0.016543762758374214, 0.0028812317177653313, 0.0023510220926254988, 0.012780019082129002, 0.0018195449374616146, 0.0027235946618020535, 0.0019393510883674026, 0.8214628100395203, 0.0023207918275147676, 0.011915439739823341, 0.0016319258138537407, 0.0005062789423391223, 0.028578614816069603, 0.002340792678296566, 0.0015531722456216812, 0.004037526436150074]",6
swin_imagenet20,fgsm,0,4,0,4,2.0,True,85.96172332763672,0.9999963641166687,1283672.75,results/adversarial_images/adv_fgsm_src0_tgt4_idx7.png,"[0.9758196473121643, 0.001091578509658575, 0.0010196433868259192, 0.011325816623866558, 0.0007448329124599695, 0.00048181723104789853, 0.0004114385519642383, 0.0002671949623618275, 0.0011593400267884135, 0.0010681430576369166, 0.00037629733560606837, 0.0017825895920395851, 0.00032344841747544706, 0.0013545574620366096, 0.00041870929999276996, 0.00020740812760777771, 0.0004260111600160599, 0.0006408042390830815, 0.00035358124296180904, 0.000727261183783412]","[0.023452337831258774, 0.0002612833632156253, 0.001456503989174962, 0.002348390407860279, 0.9689250588417053, 0.00022833005641587079, 0.00014597855624742806, 3.3545013138791546e-05, 0.00013704174489248544, 0.0002455087087582797, 0.00021212206047493964, 0.0004609682655427605, 5.344067540136166e-05, 0.0011455569183453918, 0.0001699927670415491, 0.00012760046229232103, 8.896986400941387e-05, 0.00038239473360590637, 7.829946116544306e-05, 4.656455712392926e-05]",7
swin_imagenet20,fgsm,0,14,0,14,2.0,True,85.91996002197266,0.9999963641166687,744880.0,results/adversarial_images/adv_fgsm_src0_tgt14_idx8.png,"[0.9806129336357117, 0.0021543989423662424, 0.0004948196583427489, 0.0007680302951484919, 0.0006537677254527807, 0.001061220420524478, 0.0008953078067861497, 0.0001978241780307144, 0.0003854036040138453, 0.0015146225923672318, 0.0007000932819209993, 0.0011820093495771289, 0.0005101661081425846, 0.0051540182903409, 0.0007130749872885644, 0.000811464327853173, 0.000914151081815362, 0.0004893012228421867, 0.0003968562523368746, 0.000390529225114733]","[0.0005678922170773149, 3.3769552828744054e-05, 3.9603204641025513e-05, 7.3885407800844405e-06, 2.2531981812790036e-05, 1.6607909856247716e-05, 5.1428232836769894e-05, 1.3494051017914899e-05, 1.6731240975786932e-05, 5.3447634854819626e-05, 1.6484751540701836e-05, 0.00016291275096591562, 1.3551918527809903e-05, 8.395937038585544e-05, 0.9987857937812805, 3.143127469229512e-05, 2.9716813514824025e-05, 3.738102168426849e-05, 9.397252142662182e-06, 6.4207197283394635e-06]",8
swin_imagenet20,fgsm,0,16,0,0,4.0,False,86.05525970458984,0.9999964237213135,1269922.75,results/adversarial_images/adv_fgsm_src0_tgt16_idx9.png,"[0.9946711659431458, 0.00030203067581169307, 0.00022446189541369677, 0.0013038947945460677, 0.00016715211677365005, 0.0004055831814184785, 0.00021615871810354292, 8.637773134978488e-05, 0.0003021110314875841, 0.00028388609644025564, 0.00017819044296629727, 0.00022725792950950563, 0.00016338564455509186, 0.0004346793284639716, 0.00017706293147057295, 0.00012943075853399932, 0.0001389356330037117, 0.00019181217066943645, 0.00014155784447211772, 0.00025480848853476346]","[0.8113910555839539, 0.0112507538869977, 0.0037230132147669792, 0.027370605617761612, 0.012485777027904987, 0.005864507984369993, 0.005033822264522314, 0.002210871083661914, 0.00881193857640028, 0.01896354742348194, 0.007947606965899467, 0.006380483973771334, 0.0049793412908911705, 0.028918743133544922, 0.0022707649040967226, 0.0030564318876713514, 0.020280515775084496, 0.005200936459004879, 0.005999620538204908, 0.007859604433178902]",9
